,NTAN1 (123803)
ACH-000004,-0.2474615236841623
ACH-000005,-0.10157977269282258
ACH-000007,-0.13543078181306553
ACH-000009,-0.007678520800803007
ACH-000011,0.044794395184268254
ACH-000012,0.032225288187806365
ACH-000013,-0.12485641453629474
ACH-000014,-0.17701627527202404
ACH-000015,-0.1722058040217926
ACH-000017,-0.2564386376654105
ACH-000018,-0.30782499204263186
ACH-000019,-0.15911462338233498
ACH-000021,-0.10512938633897786
ACH-000022,-0.1515726277902099
ACH-000025,-0.260429480889677
ACH-000028,-0.2923494821985595
ACH-000030,-0.04106506788646535
ACH-000035,-0.20366072495442827
ACH-000036,-0.03686725248677025
ACH-000037,-0.18112736448909814
ACH-000039,0.1400399577645075
ACH-000040,-0.14807206677670742
ACH-000041,-0.07047886206628899
ACH-000042,-0.015182529396942937
ACH-000045,-0.013306099318455469
ACH-000047,-0.09006507455971742
ACH-000052,-0.12015552725313015
ACH-000053,-0.10502611605319677
ACH-000054,-0.062302665108790414
ACH-000055,-0.30011012985618984
ACH-000060,0.03792311728402508
ACH-000067,-0.05694263338909654
ACH-000070,-0.33360501555798583
ACH-000075,0.0850002128754484
ACH-000078,-0.05379072362489799
ACH-000082,-0.0968059961638607
ACH-000085,0.11963905921077618
ACH-000086,-0.04501829567338956
ACH-000087,-0.4558880725738904
ACH-000092,-0.1261491923501464
ACH-000095,-0.08495920365479995
ACH-000097,-0.18227444461271025
ACH-000098,-0.17980140636718608
ACH-000099,-0.1164299106609566
ACH-000108,-0.12167761584663647
ACH-000113,-0.15451573657963116
ACH-000116,-0.13269400717958252
ACH-000118,-0.022216280649024492
ACH-000120,-0.14071711409076645
ACH-000123,-0.28718709315866964
ACH-000127,-0.0837896150343442
ACH-000128,-0.05077855419904009
ACH-000132,-0.07711807952332105
ACH-000133,-0.1572031823975345
ACH-000137,-0.13201549963629788
ACH-000138,0.03300565974144948
ACH-000142,-0.11336781512820117
ACH-000143,-0.15313081033849016
ACH-000146,-0.20236873580462145
ACH-000148,-0.14712141137679113
ACH-000150,0.13151684750774467
ACH-000152,-0.13941814863770718
ACH-000153,-0.4094756445894836
ACH-000159,-0.1661637040018634
ACH-000160,0.04965292147039392
ACH-000163,-0.24120154818045236
ACH-000167,-0.1373649105409189
ACH-000168,-0.3936137083259324
ACH-000169,0.02376663588148328
ACH-000178,-0.10973514425994578
ACH-000183,-0.3393017593713777
ACH-000188,0.05273345031677689
ACH-000189,-0.06646641731012866
ACH-000190,-0.1530467035256977
ACH-000198,-0.07996763401866967
ACH-000203,-0.2590695679481894
ACH-000204,-0.4862832136822792
ACH-000206,0.12162570818502047
ACH-000207,-0.1137291969582033
ACH-000208,0.2737760368925212
ACH-000210,-0.17466091850122212
ACH-000211,-0.22077886662607693
ACH-000215,-0.05863805938837768
ACH-000221,0.016194857897780537
ACH-000222,0.19621435445610247
ACH-000223,-0.08894603702259296
ACH-000226,-0.11449797777430565
ACH-000227,-0.2129679069920813
ACH-000228,-0.1506074667781023
ACH-000231,-0.19395359966445527
ACH-000232,-0.1894695759634828
ACH-000233,-0.13553228739658746
ACH-000234,-0.05642731074090846
ACH-000235,-0.19461752853182399
ACH-000237,-0.027597761194918552
ACH-000238,-0.04323298285783665
ACH-000242,-0.1500770478283699
ACH-000243,-0.17581757381079965
ACH-000244,-0.20850931515813426
ACH-000246,-0.09193785531716074
ACH-000248,-0.34248069151564026
ACH-000250,-0.07768228897410841
ACH-000251,0.09673638836305756
ACH-000252,0.25530364768130204
ACH-000253,-0.13994798754803614
ACH-000255,-0.04250092577775171
ACH-000256,-0.07057877686257097
ACH-000257,-0.2583539048580836
ACH-000258,-0.016856014059999962
ACH-000259,-0.016950090113110456
ACH-000260,-0.09067760934916633
ACH-000261,-0.10895227255651098
ACH-000262,-0.0567575279840938
ACH-000263,-0.0065459290944002635
ACH-000264,-0.06371180920992853
ACH-000265,-0.12913523825270926
ACH-000266,-0.02250053376629801
ACH-000272,-0.00708874631490984
ACH-000274,-0.15613241079267115
ACH-000277,-0.09061756891698183
ACH-000278,-0.03705246644189507
ACH-000279,-0.21660635664195835
ACH-000280,-0.16187681303477755
ACH-000281,-0.0336069202508495
ACH-000288,-0.047570594145871434
ACH-000291,-0.08299589696960756
ACH-000293,-0.14765363699151182
ACH-000294,-0.1290648191953284
ACH-000295,-0.24716847123853755
ACH-000296,-0.15973633788446712
ACH-000302,-0.18565745897013106
ACH-000304,-0.2441726725954228
ACH-000307,-0.1174944740353127
ACH-000308,-0.1485849777655302
ACH-000310,-0.15977757377750007
ACH-000311,-0.07058166672749469
ACH-000312,-0.045313809470948284
ACH-000315,-0.26160672216678177
ACH-000316,-0.18411165903294505
ACH-000317,-0.2020854315386992
ACH-000318,0.05522432365301599
ACH-000319,-0.20603548004651984
ACH-000320,0.02833037561113168
ACH-000322,-0.10496213293731783
ACH-000323,-0.2562639821782819
ACH-000324,-0.1107830079081313
ACH-000329,-0.1831080831358813
ACH-000330,-0.07222590543845694
ACH-000331,-0.08206186602218084
ACH-000332,-0.1121828705647691
ACH-000334,-0.3399586732190116
ACH-000335,-0.18481024414509184
ACH-000336,-0.1403812970209611
ACH-000337,0.12327506355550155
ACH-000338,-0.14001217313846193
ACH-000339,-0.06146240073074046
ACH-000341,-0.03501712096476578
ACH-000348,-0.1800064177541654
ACH-000350,-0.0620147639513174
ACH-000352,-0.2159016706824849
ACH-000356,-0.3901440791139711
ACH-000361,-0.3507883778799272
ACH-000362,-0.18313893382890106
ACH-000363,-0.2438596455445236
ACH-000364,-0.04673548188681372
ACH-000365,-0.12444516795068025
ACH-000366,-0.08969797621699828
ACH-000368,-0.13870519427461306
ACH-000374,-0.034445036834852207
ACH-000375,-0.02140639339922176
ACH-000376,-0.06478355032546221
ACH-000381,-0.3089728877853733
ACH-000383,-0.10065536496050727
