,OR2T34 (127068)
ACH-000004,0.20503223742469331
ACH-000005,0.4632236355804787
ACH-000007,0.048538328608013416
ACH-000009,0.02731160968605428
ACH-000011,0.01209958397638853
ACH-000012,0.10602257266990522
ACH-000013,0.0594846539802471
ACH-000014,0.021426957579557458
ACH-000015,0.01256683948135203
ACH-000017,0.1671090155286049
ACH-000018,0.08418940237003047
ACH-000019,0.049852353512211685
ACH-000021,-0.02835290658731185
ACH-000022,0.10916574172942653
ACH-000025,0.015787889188830045
ACH-000028,0.10851101879592112
ACH-000030,-0.015432164359140544
ACH-000035,0.10008269021203528
ACH-000036,0.051176169856498206
ACH-000037,0.14118433399506705
ACH-000039,0.22574801257480376
ACH-000040,-0.03306339414859675
ACH-000041,0.15340333151700858
ACH-000042,0.08344079467605367
ACH-000045,0.0503598304165142
ACH-000047,0.14796383932294654
ACH-000052,-0.0072977409276002185
ACH-000053,0.1263052129397848
ACH-000054,-0.07723513897273876
ACH-000055,0.12574423018299774
ACH-000060,0.020504130699420645
ACH-000067,-0.10113363191133108
ACH-000070,-0.0049523995252100635
ACH-000075,0.1135928196478438
ACH-000078,0.20316355342916187
ACH-000082,-0.0078026481904969434
ACH-000085,0.019406581430534097
ACH-000086,-0.051719156465120715
ACH-000087,-0.034557741501644285
ACH-000092,0.059543304953412673
ACH-000095,0.2010935988463788
ACH-000097,0.03991094186832958
ACH-000098,0.08579416781484804
ACH-000099,0.03618850527834445
ACH-000108,-0.003602113252588815
ACH-000113,0.029835572914733374
ACH-000116,-0.0401506767137013
ACH-000118,0.03534234113680143
ACH-000120,0.0999005633080802
ACH-000123,0.15398978010173156
ACH-000127,0.05633289750351452
ACH-000128,0.12041459606153125
ACH-000132,0.09115688859907208
ACH-000133,0.06282627778980968
ACH-000137,0.12104255138964412
ACH-000138,0.10320802451945356
ACH-000142,0.03164520339150391
ACH-000143,0.1775607526617305
ACH-000146,0.0007088950296208488
ACH-000148,-0.023629979152200616
ACH-000150,0.07126358504642842
ACH-000152,0.10496735946060988
ACH-000153,-0.16140102923299246
ACH-000159,0.1160767812129241
ACH-000160,0.2676698275798248
ACH-000163,-0.003123619051900359
ACH-000167,-0.11186776201854856
ACH-000168,0.018464580814849956
ACH-000169,0.014532942700902466
ACH-000178,0.07026089391850855
ACH-000183,0.12603096548173795
ACH-000188,0.016986751941656313
ACH-000189,-0.27905441403944314
ACH-000190,0.08689325335119605
ACH-000198,0.0014357573005314686
ACH-000203,0.1601920888801281
ACH-000204,-0.1253118906979295
ACH-000206,0.3545367987869228
ACH-000207,0.009248736434387214
ACH-000208,-0.2471865792752888
ACH-000210,-0.008368552417667506
ACH-000211,0.011101368559785576
ACH-000215,0.07813341104603426
ACH-000221,0.17312685691459048
ACH-000222,-0.011179242226014059
ACH-000223,-0.07330371497208263
ACH-000226,0.15568981565002618
ACH-000227,0.11951110879386127
ACH-000228,0.14107853132816914
ACH-000231,0.1367171419625934
ACH-000232,0.028209955698320056
ACH-000233,0.09567595123450176
ACH-000234,0.05599956069473856
ACH-000235,0.02642789306910327
ACH-000237,0.05581771829698312
ACH-000238,-0.02354679751993385
ACH-000242,0.2515707917602737
ACH-000243,0.07464809256255102
ACH-000244,0.24441651974508
ACH-000246,0.009601546722726069
ACH-000248,0.0034947481975411763
ACH-000250,-0.012726861465068188
ACH-000251,0.06933158889648043
ACH-000252,-0.1382614234362584
ACH-000253,0.06969102241990037
ACH-000255,0.09215241216839416
ACH-000256,-0.04723525837851097
ACH-000257,-0.0358714772242301
ACH-000258,-0.14598189654234273
ACH-000259,0.11495906596989278
ACH-000260,0.1226980550801834
ACH-000261,-0.11351493625821032
ACH-000262,0.0876720230700569
ACH-000263,0.2975552015719429
ACH-000264,-0.06637634323356158
ACH-000265,0.19643394334209646
ACH-000266,-0.02478089043697412
ACH-000272,0.054235639634711036
ACH-000274,0.03683648916340988
ACH-000277,0.015295178907893416
ACH-000278,-0.10693667422368368
ACH-000279,0.17073782712633578
ACH-000280,0.1003215462127268
ACH-000281,0.0005110620707116962
ACH-000288,0.011086736287303826
ACH-000291,0.11201068260921213
ACH-000293,-0.06749525140570964
ACH-000294,0.17385455497509894
ACH-000295,0.04206041706756642
ACH-000296,0.06142770661953845
ACH-000302,0.1617027559777946
ACH-000304,0.12320523869064162
ACH-000307,0.029004779248781764
ACH-000308,0.022228529791209338
ACH-000310,0.17311895111681147
ACH-000311,-0.07160890133858062
ACH-000312,0.05832245798525275
ACH-000315,0.09325569173885644
ACH-000316,-0.08061268606037426
ACH-000317,0.15976214368406494
ACH-000318,0.01887590038859259
ACH-000319,0.15033606279230372
ACH-000320,0.06307536491128113
ACH-000322,-0.08476957383556594
ACH-000323,0.11045962995650438
ACH-000324,-0.005611521252178439
ACH-000329,-0.04331206169188924
ACH-000330,0.2485371850695824
ACH-000331,0.021640550366939425
ACH-000332,-0.009923059638044606
ACH-000334,-0.089377493381275
ACH-000335,-0.02709114239540225
ACH-000336,0.10025739045931502
ACH-000337,-0.02216865014777341
ACH-000338,-0.17904226581346874
ACH-000339,0.13444900670887686
ACH-000341,0.040537801633434
ACH-000348,0.06333548375430352
ACH-000350,0.11676482865907807
ACH-000352,-0.08450266962677465
ACH-000356,0.09734920164915913
ACH-000361,0.043477723046983184
ACH-000362,0.19423796770710447
ACH-000363,0.0061111856290871356
ACH-000364,-0.1049639267167379
ACH-000365,0.029912492758601094
ACH-000366,0.019231620510740618
ACH-000368,0.014819883657626837
ACH-000374,0.07714692195204363
ACH-000375,-0.025898129900248947
ACH-000376,0.038353439072388376
ACH-000381,0.1905670786745852
ACH-000383,0.03527809471660605
ACH-000387,0.0018318846801887688
ACH-000389,-0.2097016708014987
ACH-000390,0.00189415634499689
ACH-000393,-0.08638847480995884
ACH-000395,-0.0614183093557896
ACH-000396,0.04923253956871055
ACH-000397,0.08627399150131827
ACH-000401,-0.07167759945989823
ACH-000402,0.16935449718725298
ACH-000403,-0.10052286622126506
ACH-000404,-0.017330888230573476
ACH-000406,0.07435632568202051
ACH-000407,0.018480488242967517
ACH-000408,0.14098905153303687
ACH-000410,-0.07894194181846398
ACH-000411,0.017065360284002483
ACH-000414,0.02208498342879966
ACH-000415,0.04610930932818485
ACH-000416,0.07616651088521602
ACH-000420,-0.098524972045608
ACH-000421,-0.14370929631422344
ACH-000424,-0.0301682258943822
ACH-000425,-0.042208297032099495
ACH-000426,-0.010604031831152206
ACH-000427,0.045365125956319086
ACH-000433,-0.09528508000629188
ACH-000435,-0.11891331236882492
ACH-000436,0.0557989041518021
ACH-000444,0.09211969678974824
ACH-000445,0.16514671195666009
ACH-000448,0.08411527387261261
ACH-000450,0.011226204834494574
ACH-000452,0.07602940547848726
ACH-000454,0.1397454245072897
ACH-000458,-0.01565568990736323
ACH-000459,0.19337697018163988
ACH-000460,0.06329294652028529
ACH-000461,0.11780934634040427
ACH-000463,0.07429461578795478
ACH-000464,0.009839887814742666
ACH-000466,0.002952129821418118
ACH-000467,-0.007867245079238291
ACH-000468,0.04772851836912319
ACH-000469,0.0650841331922453
ACH-000470,0.08712965936710293
ACH-000471,0.03467477756646471
ACH-000472,-0.02910896446687172
ACH-000473,-0.11385888711318115
ACH-000475,-0.0058057968986885535
ACH-000476,-0.07010213552207978
ACH-000477,0.13801110237136727
ACH-000479,0.1141185843358786
ACH-000480,0.1174393265232405
ACH-000481,0.17530734198641618
ACH-000483,0.2016671938034618
ACH-000484,-0.08353370365272017
ACH-000485,0.03840160875350533
ACH-000486,0.06864328769120231
ACH-000487,-0.01237859509664708
ACH-000488,0.12501571838620013
ACH-000490,-0.009290912826847228
ACH-000491,0.12436752130071466
ACH-000495,-0.02052633595805976
ACH-000496,0.028442516098664536
ACH-000499,-0.04870253645736601
ACH-000500,-0.0015806878437313369
ACH-000502,-0.004895263118695485
ACH-000503,-0.04412044337804097
ACH-000505,0.05660560763088816
ACH-000507,0.07185157795698313
ACH-000510,0.05309022155154867
ACH-000511,-0.050268258090118235
ACH-000512,0.1378082206460819
ACH-000516,0.07587257194395992
ACH-000517,0.017672053238814867
ACH-000518,0.11529760576690465
ACH-000520,0.047607923454417715
ACH-000521,0.13911777130042216
ACH-000522,-0.0011443397005974846
ACH-000524,0.01896368557053529
ACH-000527,-0.12703337480745994
ACH-000528,0.10112341822139362
ACH-000537,0.11870359209425732
ACH-000541,-0.12203973636157668
ACH-000542,0.11907182697033165
ACH-000544,0.13469989875185048
ACH-000545,0.12714599633768894
ACH-000547,-0.18913304651290236
ACH-000548,-0.05843424805762641
ACH-000549,0.06376459638750823
ACH-000550,-0.024226712114362125
ACH-000552,0.12458111392771082
ACH-000556,0.18314521583354407
ACH-000557,0.06920789992766288
ACH-000569,-0.3283499625557352
ACH-000570,0.08149579866761791
ACH-000571,-0.011817481834319445
ACH-000573,0.15237368899390466
ACH-000576,-0.08197176272783176
ACH-000579,0.16724317191570542
ACH-000580,-0.10914720412237493
ACH-000584,0.08814550364032922
ACH-000585,0.048311009013354785
ACH-000588,0.0460981990498782
ACH-000589,-0.002622681068932365
ACH-000591,0.1385117250856472
ACH-000593,0.11623532003399438
ACH-000600,0.0353730358406487
ACH-000601,0.08129588451955086
ACH-000605,0.05388449896198053
ACH-000606,0.09565062004761968
ACH-000608,0.07230011033715722
ACH-000614,-0.0962318763755855
ACH-000616,0.07323487668504698
ACH-000618,0.08546803181652303
ACH-000619,0.057242953871366985
ACH-000620,0.027237767508216788
ACH-000621,0.18143042598227505
ACH-000622,0.12635965487573456
ACH-000623,-0.030795380566330983
ACH-000624,0.02500859595924746
ACH-000627,-0.017332257129079615
ACH-000630,0.13589525068688715
ACH-000631,0.11217224335337256
ACH-000632,0.09720120524319624
ACH-000633,-0.06771986795911991
ACH-000637,0.08090200279363892
ACH-000638,0.1164410262403762
ACH-000646,0.0834842901508167
ACH-000647,0.023871428543244245
ACH-000648,0.07339213432087571
ACH-000649,0.08413173649651735
ACH-000651,0.16624288022377925
ACH-000652,0.05764995045454741
ACH-000653,0.0121632981722398
ACH-000657,0.10569699464320706
ACH-000658,0.03098272057905643
ACH-000661,0.12326561185778677
ACH-000662,0.027670316127873167
ACH-000663,-0.033392209172205284
ACH-000665,0.12503258235434045
ACH-000671,-0.006472718292323679
ACH-000672,0.1895575930976025
ACH-000673,0.0569549839343904
ACH-000676,0.011453341366929295
ACH-000677,-0.0021837787265534233
ACH-000681,-0.029658226315784714
ACH-000683,0.05988336555969331
ACH-000684,0.2032301631101384
ACH-000688,0.13186110190881933
ACH-000693,0.0979491194663142
ACH-000694,0.12856130581767722
ACH-000695,0.055493425751418635
ACH-000696,-0.0020405999231746428
ACH-000697,0.08897604187096901
ACH-000699,0.08122874721613141
ACH-000701,-0.11149948956381864
ACH-000706,0.09537824696543916
ACH-000711,0.025612955647904983
ACH-000713,-0.057603511517939625
ACH-000714,-0.08260769395268427
ACH-000718,-0.013800478539460988
ACH-000720,0.03754238753953685
ACH-000721,0.12496265813315605
ACH-000724,0.08141041601394425
ACH-000725,-0.018379570109480558
ACH-000732,0.017234488761008752
ACH-000734,0.09658037822967888
ACH-000735,0.0905227020790764
ACH-000736,-0.12834187103929104
ACH-000738,0.07124604987417486
ACH-000746,-0.00510642621518841
ACH-000747,0.0017533354047317244
ACH-000748,0.02081641332755845
ACH-000753,0.10596226966718536
ACH-000756,-0.004192308457551515
ACH-000757,0.004677781639600764
ACH-000758,-0.12676841397448732
ACH-000760,0.06110266412654256
ACH-000762,0.1822804501437791
ACH-000763,-0.06971123022675244
ACH-000764,0.029521754067407518
ACH-000765,0.05409350697590851
ACH-000766,-0.03646665758264823
ACH-000767,0.13713436710620153
ACH-000768,0.014657818864821785
ACH-000769,0.09451650281552436
ACH-000770,0.07109442873435429
ACH-000771,-0.026362710549702163
ACH-000773,0.16650506545382587
ACH-000776,0.05684159022860001
ACH-000777,0.14724588767169206
ACH-000778,0.20552579873690272
ACH-000781,0.1268331522268198
ACH-000782,0.21853794512555552
ACH-000783,-0.027184699565368096
ACH-000784,0.11580928645916135
ACH-000785,-0.140571782011817
ACH-000787,0.035234216534200516
ACH-000788,-0.07492804245884171
ACH-000791,-0.07316284259876489
ACH-000792,0.002982050281326289
ACH-000794,-0.02167716111478311
ACH-000796,0.05042866718346428
ACH-000798,-0.05816887645151617
ACH-000799,-0.08220287734603414
ACH-000800,0.1528172056836176
ACH-000802,0.03539029642165984
ACH-000804,0.2466517516822541
ACH-000805,0.1426597599746598
ACH-000809,0.10622228896774824
ACH-000810,-0.012754375023575052
ACH-000811,-0.03417447494515972
ACH-000817,0.182763996620874
ACH-000819,0.10712180836118088
ACH-000820,0.1729498638356377
ACH-000821,0.0071534587779622984
ACH-000822,-0.07873487228049739
ACH-000823,0.04470776964236914
ACH-000824,0.052144900793869166
ACH-000827,-0.051062632262111066
ACH-000829,0.0685412163008611
ACH-000831,0.05495218128776022
ACH-000832,0.03929039958131225
ACH-000833,0.05140038839145339
ACH-000834,0.07327444885636428
ACH-000835,0.08365333398661988
ACH-000836,0.025340969100961157
ACH-000837,0.06501405477234602
ACH-000838,-0.12116334056944653
ACH-000839,0.0391991241615192
ACH-000840,-0.020457242140594252
ACH-000841,0.013975099934738644
ACH-000843,0.1194718467816205
ACH-000846,0.10856040834585676
ACH-000847,0.1429616662852458
ACH-000848,-0.030786227327614418
ACH-000849,0.0026508139652389336
ACH-000851,0.02143615948552129
ACH-000855,0.16917897078410893
ACH-000856,0.0681744189561194
ACH-000858,0.051422909582448655
ACH-000859,-0.01724191913441632
ACH-000861,0.08576954351770764
ACH-000862,0.01583143344723678
ACH-000865,0.08052574542117341
ACH-000866,-0.000188916058008325
ACH-000867,0.12679994000976255
ACH-000869,-0.08756252489898694
ACH-000872,0.051098744052664236
ACH-000873,-0.033052644575262136
ACH-000876,0.005049332994538865
ACH-000878,0.1172187140221866
ACH-000880,0.13502250042375633
ACH-000881,0.08712978188227105
ACH-000882,-0.06197575283099304
ACH-000884,0.13177137407923945
ACH-000885,0.032420970609814484
ACH-000887,0.014840245198900797
ACH-000889,0.15886408799297247
ACH-000896,0.033667770010651035
ACH-000898,-0.0039600346970496
ACH-000900,-0.10450504726106286
ACH-000901,0.09822360884682488
ACH-000905,0.0140459411542093
ACH-000906,0.013476090663142185
ACH-000907,-0.01568933202561078
ACH-000910,0.045609113880900734
ACH-000911,0.10713385601013396
ACH-000912,0.08295358490902788
ACH-000913,0.13935883043656982
ACH-000915,0.1769784772728969
ACH-000916,-0.01927975017520064
ACH-000917,0.1946191697805374
ACH-000920,0.2939452548203253
ACH-000921,-0.1067880138317358
ACH-000924,0.04036243713530037
ACH-000926,-0.04920348976787774
ACH-000928,-0.029922312062771076
ACH-000929,0.19727032520543225
ACH-000932,-0.005114049961092959
ACH-000935,-0.1938709455094443
ACH-000936,-0.006716716680787556
ACH-000937,0.05735903078468915
ACH-000938,0.27127911331772964
ACH-000939,0.11027166725998802
ACH-000941,0.13051112384353214
ACH-000943,0.008792358621579465
ACH-000946,0.12515646865263222
ACH-000947,0.008973687060247322
ACH-000948,0.0768348634367822
ACH-000950,0.1675071489203945
ACH-000953,0.024019098951905453
ACH-000954,0.22059904683773146
ACH-000957,0.10148383125105054
ACH-000958,0.1321957247031842
ACH-000960,0.01052716498828925
ACH-000963,0.1320419966601787
ACH-000968,-0.08618701174482263
ACH-000969,0.048467905365939916
ACH-000972,-0.08321294246544922
ACH-000973,-0.021026396819580368
ACH-000974,0.05952599113817611
ACH-000978,-0.052797250197191566
ACH-000984,-0.009453490347235995
ACH-000986,0.04916391467891632
ACH-000988,0.059947271707413465
ACH-000993,-0.03511506439577622
ACH-000994,-0.11868207135079685
ACH-000996,0.039191515231104236
ACH-001001,-0.0011259381352361714
ACH-001020,-0.05578769599465545
ACH-001028,-0.00686872996980015
ACH-001031,0.10093313931455768
ACH-001038,0.13490908580579894
ACH-001048,0.012338819272660886
ACH-001050,-0.011843850652149818
ACH-001053,-0.048769522397274515
ACH-001054,-0.15484774373064955
ACH-001061,0.07863626031314397
ACH-001067,-0.016301383794166492
ACH-001075,0.16496000633922148
ACH-001096,0.09916802738360772
ACH-001111,-0.11537761258680865
ACH-001119,0.07262942479847337
ACH-001128,0.02645386052617769
ACH-001134,-0.007810256964417887
ACH-001151,0.074124280877927
ACH-001163,0.08739905591262237
ACH-001164,-0.014115239957962763
ACH-001183,0.016791804686902025
ACH-001192,0.19311778483627373
ACH-001193,-0.05941085950289909
ACH-001196,0.18009473888349864
ACH-001197,0.15674661017145164
ACH-001205,-0.0352926691904626
ACH-001211,0.14543719304469122
ACH-001212,0.0294596752218708
ACH-001228,0.04799928347118408
ACH-001232,-0.04321797571444599
ACH-001239,0.1219407489336668
ACH-001270,-0.0791474220780417
ACH-001274,0.11424412925006686
ACH-001275,0.06686730111467715
ACH-001277,-0.10612140654924364
ACH-001278,-0.03475448154453677
ACH-001280,-0.02030918038677481
ACH-001283,0.0131515557385632
ACH-001289,0.1933575655893494
ACH-001300,0.05056658191075174
ACH-001301,0.1407654114508181
ACH-001302,-0.23902204656094456
ACH-001306,-0.01675230226021306
ACH-001318,0.06392352169837252
ACH-001322,0.11394441813918417
ACH-001328,0.029790630920820425
ACH-001332,0.29217274203839033
ACH-001336,0.03185404344104849
ACH-001346,0.09619109246184956
ACH-001353,0.01370771901288065
ACH-001354,-0.012361984700281813
ACH-001367,0.13048980644041666
ACH-001368,0.06714113650486378
ACH-001374,-0.2948267656737523
ACH-001377,-0.0201469598803318
ACH-001380,0.0240973860040977
ACH-001391,0.0999437522398756
ACH-001408,0.0530511307821191
ACH-001430,-0.12700322237121578
ACH-001431,0.0009428914824993977
ACH-001450,0.11267073303443498
ACH-001496,0.10278964883074214
ACH-001500,0.0575057325947811
ACH-001523,0.01422663418241344
ACH-001532,0.0020768619749672004
ACH-001550,0.16503996206114374
ACH-001552,0.11474438732765667
ACH-001554,0.06744843522092077
ACH-001654,0.10147546326842492
ACH-001735,0.06182175894832818
ACH-001736,0.0739423530146452
ACH-001737,0.05062093066240048
ACH-001740,-0.12099799066497205
ACH-001745,0.005213976480036303
ACH-001765,0.049531607250109036
