,DepMap_ID
62468,ACH-000200
127992,ACH-000386
218901,ACH-000603
228207,ACH-000622
281255,ACH-000722
284732,ACH-000728
302162,ACH-000759
388850,ACH-000827
398681,ACH-000841
410728,ACH-000855
444423,ACH-000886
458970,ACH-000899
470068,ACH-000909
502668,ACH-000927
541564,ACH-000943
563888,ACH-000951
660057,ACH-000978
735891,ACH-000990
824074,ACH-000993
889559,ACH-000999
919459,ACH-001065
964005,ACH-001205
1042906,ACH-001546
1061763,ACH-001570
1081755,ACH-001655
1110547,ACH-002100
1116277,ACH-002121
1117197,ACH-002123
1145158,ACH-002189
1162673,ACH-002225
1180224,ACH-002256
1187549,ACH-002261
1204532,ACH-002290
1223358,ACH-002341
1229344,ACH-002362
