,DepMap_ID
2561,ACH-000009
4858,ACH-000015
34682,ACH-000097
60873,ACH-000196
117938,ACH-000359
121976,ACH-000371
141879,ACH-000422
157079,ACH-000459
173677,ACH-000501
178860,ACH-000513
224528,ACH-000615
224529,ACH-000615
237682,ACH-000641
238502,ACH-000643
250109,ACH-000665
251360,ACH-000667
254201,ACH-000672
288553,ACH-000735
294759,ACH-000747
296408,ACH-000750
296409,ACH-000750
297160,ACH-000751
315113,ACH-000779
370698,ACH-000805
387919,ACH-000826
409225,ACH-000853
458768,ACH-000899
509116,ACH-000930
606715,ACH-000964
636585,ACH-000972
665613,ACH-000979
717993,ACH-000988
733285,ACH-000990
822371,ACH-000993
822372,ACH-000993
849849,ACH-000996
861381,ACH-000997
871844,ACH-000998
884792,ACH-000999
936884,ACH-001127
962069,ACH-001203
1028073,ACH-001517
1045399,ACH-001550
1045400,ACH-001550
1092876,ACH-001740
1107878,ACH-002097
1116138,ACH-002121
1150064,ACH-002201
1151950,ACH-002208
1211257,ACH-002309
1231890,ACH-002374
