,P2RX3 (5024)
ACH-000004,-0.16915318929410156
ACH-000005,-0.1410116877710065
ACH-000007,-0.3549557559707839
ACH-000009,-0.09701412111362352
ACH-000011,-0.10503318418756832
ACH-000012,-0.035153348567521274
ACH-000013,-0.11276721983319535
ACH-000014,0.22498337023962853
ACH-000015,0.05594926143521151
ACH-000017,-0.2638771694210244
ACH-000018,-0.3361634938682251
ACH-000019,0.03371159802396199
ACH-000021,-0.214475897017666
ACH-000022,-0.007943971018505098
ACH-000025,-0.14320150449032573
ACH-000028,-0.03093094680091825
ACH-000030,-0.2176652778895124
ACH-000035,-0.07758543721146798
ACH-000036,-0.11039866804341088
ACH-000037,-0.2495423077732724
ACH-000039,-0.0693529292558899
ACH-000040,-0.18521678343300596
ACH-000041,-0.02214355025947293
ACH-000042,-0.16125419649604875
ACH-000045,0.005747121755472303
ACH-000047,-0.15117785751314627
ACH-000052,-0.07189968335065297
ACH-000053,-0.270218869015064
ACH-000054,-0.017872200899869392
ACH-000055,-0.07508071992264162
ACH-000060,-0.1921145776680151
ACH-000067,0.14076541449056768
ACH-000070,-0.08167041010148741
ACH-000075,-0.07861104839602852
ACH-000078,-0.2760473053343526
ACH-000082,-0.0830826308459929
ACH-000085,0.10451038973760672
ACH-000086,-0.23260599800948964
ACH-000087,-0.2543208345479496
ACH-000092,-0.15118342359328604
ACH-000095,-0.0038040297129309218
ACH-000097,-0.05682034960095049
ACH-000098,-0.14453911351131293
ACH-000099,-0.1195809973028713
ACH-000108,-0.13853450467777806
ACH-000113,-0.11030284612321213
ACH-000116,-0.08404262089273434
ACH-000118,-0.2050079753353354
ACH-000120,-0.18962221632783796
ACH-000123,-0.2229153311313424
ACH-000127,-0.205577831308184
ACH-000128,0.04629782243453592
ACH-000132,-0.2869040483135586
ACH-000133,-0.19957253179883355
ACH-000137,-0.19948386991868824
ACH-000138,-0.11744429690367016
ACH-000142,-0.24949258151953946
ACH-000143,-0.033970373664898336
ACH-000146,-0.14189528352514733
ACH-000148,-0.15681623470504213
ACH-000150,-0.1460368475593406
ACH-000152,-0.13084984288813556
ACH-000153,-0.2913700520110272
ACH-000159,-0.1990034140468785
ACH-000160,-0.11583250412202918
ACH-000163,0.04182763669731178
ACH-000167,0.14717457387752772
ACH-000168,-0.3414465624475079
ACH-000169,-0.05991172626480616
ACH-000178,-0.07868207507866785
ACH-000183,-0.03617732159554565
ACH-000188,-0.1901993619263884
ACH-000189,-0.023374913268795657
ACH-000190,-0.16060939032703486
ACH-000198,-0.0206908526208414
ACH-000203,-0.03451780320254616
ACH-000204,0.06000064738818731
ACH-000206,-0.06997368306331463
ACH-000207,-0.33261670321769243
ACH-000208,-0.29195958879644823
ACH-000210,-0.15614937338588294
ACH-000211,-0.1946700314096257
ACH-000215,-0.054583864796265966
ACH-000221,-0.31631293633940577
ACH-000222,-0.07140697262725045
ACH-000223,-0.03663386689410916
ACH-000226,-0.1391735590541589
ACH-000227,-0.1741980773711602
ACH-000228,-0.16783769381920505
ACH-000231,-0.11894653066304665
ACH-000232,-0.1547387232913711
ACH-000233,-0.11797367362922245
ACH-000234,0.016952898712042662
ACH-000235,-0.15730738776979888
ACH-000237,-0.08368770772660387
ACH-000238,-0.031472883785654174
ACH-000242,-0.13941055989748605
ACH-000243,-0.12255448739381294
ACH-000244,-0.17336768525545132
ACH-000246,-0.12482563756618074
ACH-000248,0.05856012833249188
ACH-000250,-0.15859634293350125
ACH-000251,0.1083840203997536
ACH-000252,-0.26100764843682883
ACH-000253,-0.08535999052008035
ACH-000255,-0.026522523931155163
ACH-000256,-0.2055216780223495
ACH-000257,-0.11250725275303784
ACH-000258,-0.07332919628164006
ACH-000259,-0.3223949994013063
ACH-000260,-0.089783958703878
ACH-000261,-0.13763085556583982
ACH-000262,-0.11826373412549887
ACH-000263,0.14238122353332394
ACH-000264,-0.20576401159010024
ACH-000265,-0.09317503520574597
ACH-000266,-0.08836083371753316
ACH-000272,-0.15799129832288294
ACH-000274,-0.057616624375203214
ACH-000277,-0.043052239226036584
ACH-000278,-0.04295193685195748
ACH-000279,-0.1477587861616983
ACH-000280,-0.04390575266793437
ACH-000281,-0.22628778790301865
ACH-000288,-0.048901408188649034
ACH-000291,-0.056054476410375385
ACH-000293,-0.04282121357734304
ACH-000294,-0.3466871939092756
ACH-000295,-0.09535427265472952
ACH-000296,-0.08594870214773746
ACH-000302,-0.0042262188074114115
ACH-000304,-0.1859299621698312
ACH-000307,-0.2214371701026509
ACH-000308,-0.16975421235643112
ACH-000310,-0.01679758255496606
ACH-000311,-0.25940417602944515
ACH-000312,-0.070317428463886
ACH-000315,-0.060613541440472936
ACH-000316,-0.22668399724516675
ACH-000317,-0.3730307740734171
ACH-000318,-0.32510929941588856
ACH-000319,-0.0943535982065126
ACH-000320,-0.08203777408553177
