,DepMap_ID
14734,ACH-000037
14735,ACH-000037
14736,ACH-000037
14737,ACH-000037
26629,ACH-000065
212483,ACH-000588
236952,ACH-000639
255103,ACH-000673
271926,ACH-000703
351763,ACH-000786
351764,ACH-000786
351765,ACH-000786
351766,ACH-000786
351767,ACH-000786
351768,ACH-000786
351769,ACH-000786
351770,ACH-000786
351771,ACH-000786
351772,ACH-000786
399202,ACH-000841
521538,ACH-000936
544036,ACH-000943
567665,ACH-000952
601956,ACH-000962
639872,ACH-000972
650796,ACH-000975
743954,ACH-000990
753409,ACH-000991
753410,ACH-000991
813872,ACH-000992
813873,ACH-000992
813874,ACH-000992
813875,ACH-000992
813876,ACH-000992
813877,ACH-000992
813878,ACH-000992
813879,ACH-000992
813880,ACH-000992
813881,ACH-000992
813882,ACH-000992
813883,ACH-000992
813884,ACH-000992
813885,ACH-000992
828662,ACH-000993
858858,ACH-000996
869501,ACH-000997
951032,ACH-001145
1050033,ACH-001550
1161688,ACH-002222
1193992,ACH-002272
