,PENK (5179)
ACH-000004,-0.05355000666353739
ACH-000005,0.049044977769429225
ACH-000007,-0.014407243060172848
ACH-000009,0.07517725156114892
ACH-000011,-0.034210168310412
ACH-000012,0.0933746018341948
ACH-000013,0.0401319131092668
ACH-000014,0.020007683125009897
ACH-000015,0.03220172084200014
ACH-000017,0.0016686317996824664
ACH-000018,0.07090264428953365
ACH-000019,0.08332105224931614
ACH-000021,0.09269359970245204
ACH-000022,-0.033079495089370886
ACH-000025,-0.0233162524448106
ACH-000028,-0.03592888802897004
ACH-000030,-0.013072662195286052
ACH-000035,-0.16136421527023767
ACH-000036,0.04719623740414275
ACH-000037,-0.03543812333241581
ACH-000039,-0.12180935840774193
ACH-000040,0.1453680014275551
ACH-000041,-0.0668436288369077
ACH-000042,0.09916676226600524
ACH-000045,0.08682659617991445
ACH-000047,-0.0640024409367628
ACH-000052,0.1842754141484964
ACH-000053,-0.012747963477369496
ACH-000054,-0.0524279373837778
ACH-000055,0.1190235524974788
ACH-000060,-0.09435745571867164
ACH-000067,0.1287257826080127
ACH-000070,-0.10442389683989008
ACH-000075,0.15019122432073612
ACH-000078,0.08179908219354486
ACH-000082,0.05740548928622235
ACH-000085,-0.19988215304572451
ACH-000086,0.1505105079906152
ACH-000087,0.015038131612034385
ACH-000092,-0.20282401105014666
ACH-000095,0.20867800410537424
ACH-000097,-0.0566749260106479
ACH-000098,-0.06395013402897294
ACH-000099,-0.05568386455550129
ACH-000108,-0.0846734045076608
ACH-000113,0.09743965161262293
ACH-000116,-0.07120971898362194
ACH-000118,-0.057748701171775815
ACH-000120,0.05340751755811986
ACH-000123,0.0027288259361295023
ACH-000127,-0.03168336538524133
ACH-000128,0.017390036263119708
ACH-000132,0.018156834914963716
ACH-000133,-0.014204073737828109
ACH-000137,-0.07794431634570327
ACH-000138,0.05599871995020018
ACH-000142,0.024226340616024238
ACH-000143,-0.19758879600149432
ACH-000146,-0.0006774315495608995
ACH-000148,0.11375274906313775
ACH-000150,-0.2169439153195016
ACH-000152,-0.01141810440136881
ACH-000153,0.08350738831902389
ACH-000159,0.017803675540621434
ACH-000160,0.13821018655240716
ACH-000163,0.02773073987741949
ACH-000167,-0.11273197372259712
ACH-000168,0.1916877580907863
ACH-000169,0.06927246641535997
ACH-000178,-0.015270398053455375
ACH-000183,-0.08631557041716838
ACH-000188,-0.0006792623109737617
ACH-000189,0.014835412660820575
ACH-000190,-0.08211971926944622
ACH-000198,0.18958598442400987
ACH-000203,0.05367691942239208
ACH-000204,0.12471013219327955
ACH-000206,0.018931181717990988
ACH-000207,0.008312173877676299
ACH-000208,0.056490821930296524
ACH-000210,-0.0061690917509403965
ACH-000211,-0.051001033166119855
ACH-000215,0.031931944464439616
ACH-000221,-0.1485141026878891
ACH-000222,0.06751723239127527
ACH-000223,0.06370024254319999
ACH-000226,-0.13218728689539294
ACH-000227,0.13864007091744449
ACH-000228,0.0222083982918482
ACH-000231,0.019193644344212092
ACH-000232,0.07544733094260392
ACH-000233,-0.0278121112087003
ACH-000234,0.07062010641329625
ACH-000235,-0.10105523395921527
ACH-000237,-0.018793569707014804
ACH-000238,-0.05798150911912558
ACH-000242,0.4091723471682955
ACH-000243,0.01403776440882554
ACH-000244,0.006568610624261294
ACH-000246,0.08615891856157695
ACH-000248,0.07534569842515226
ACH-000250,-0.056082823418186815
ACH-000251,0.017238797652174058
ACH-000252,0.03566121290109412
ACH-000253,0.0027024613955558808
ACH-000255,0.09252660638028963
ACH-000256,-0.06331861317598228
ACH-000257,0.1535876650976772
