,PLA2G4C (8605)
ACH-000004,0.2064973165966865
ACH-000005,0.1930506209961944
ACH-000007,0.1283669960129144
ACH-000009,0.02403683946856089
ACH-000011,0.2620025440947701
ACH-000012,0.19795434591933928
ACH-000013,-0.0064026318790658746
ACH-000014,0.3030889071813702
ACH-000015,0.01721053029611208
ACH-000017,0.11936864881502318
ACH-000018,0.167637068467039
ACH-000019,0.2435688276044133
ACH-000021,0.09895723857265992
ACH-000022,0.09116798196079333
ACH-000025,0.17585316213414465
ACH-000028,0.11683108219688915
ACH-000030,0.06781600338474862
ACH-000035,-0.06146612780168879
ACH-000036,0.0954844396983932
ACH-000037,0.2023963078512506
ACH-000039,-0.046990738641609145
ACH-000040,0.1751352049634542
ACH-000041,0.03623332070990876
ACH-000042,0.17242789211384751
ACH-000045,0.02231295976805729
ACH-000047,0.17485542171186708
ACH-000052,0.2260221224385662
ACH-000053,-0.05421384496291546
ACH-000054,0.13266719573944755
ACH-000055,0.05269870208578588
ACH-000060,0.26896381791087376
ACH-000067,0.1599638677532673
ACH-000070,0.07420801685895627
ACH-000075,0.17301344492385926
ACH-000078,0.21478141166527973
ACH-000082,0.1636874020106092
ACH-000085,0.15770421578009172
ACH-000086,0.1143755325304472
ACH-000087,0.1745507666375872
ACH-000092,0.0643371958154269
ACH-000095,0.1949339300389865
ACH-000097,0.11684533395168888
ACH-000098,0.06889712419203002
ACH-000099,0.03372402165551805
ACH-000108,0.06102989291662765
ACH-000113,0.15422349613069572
ACH-000116,0.10823772800105493
ACH-000118,0.20472140513401946
ACH-000120,0.07776273763678541
ACH-000123,0.14366281047600665
ACH-000127,0.0817939672426132
ACH-000128,0.23590706579224885
ACH-000132,0.1710529338144987
ACH-000133,0.0713980920053898
ACH-000137,0.08687206381949149
ACH-000138,0.0439062660146125
ACH-000142,0.10407154984107476
ACH-000143,0.08418008618271039
ACH-000146,0.14400450296986902
ACH-000148,0.2003875144206784
ACH-000150,0.16909958845948522
ACH-000152,-0.02215660482766073
ACH-000153,0.3117748746181493
ACH-000159,0.07119281441202888
ACH-000160,0.07145145866756826
ACH-000163,0.19636218520873586
ACH-000167,0.2740840280306332
ACH-000168,0.07395403155367836
ACH-000169,0.103685731605839
ACH-000178,0.041962007833152286
ACH-000183,-0.03681333543054585
ACH-000188,0.2312249980026479
ACH-000189,0.3510988260566492
ACH-000190,0.06181595796727121
ACH-000198,0.14233021845152666
ACH-000203,-0.12960668898388095
ACH-000204,-0.028873204930419612
ACH-000206,0.2006543148390244
ACH-000207,0.2209236437191876
ACH-000208,0.046626166262402784
ACH-000210,0.025087156652651942
ACH-000211,0.13978610559824944
ACH-000215,0.11288399183993407
ACH-000221,0.1244500554973771
ACH-000222,0.0509463539555592
ACH-000223,0.1583084736207045
ACH-000226,0.1411363108446392
ACH-000227,0.2660254867047754
ACH-000228,0.06131193541826065
ACH-000231,0.2004305863359706
ACH-000232,0.06349261568769199
ACH-000233,0.11427980943645502
ACH-000234,0.17466984833813795
ACH-000235,0.07602003622342053
ACH-000237,-0.005526546421925362
ACH-000238,0.17699544529309472
ACH-000242,0.26727754021715755
ACH-000243,0.18447164050798184
ACH-000244,-0.005958467196591317
ACH-000246,0.16945498405262865
ACH-000248,0.19470704695984736
ACH-000250,0.13319313693813012
ACH-000251,0.0495555168981699
ACH-000252,0.303006582042616
ACH-000253,0.07151678714678789
ACH-000255,0.20601127825873192
ACH-000256,0.07718332629988764
ACH-000257,0.033496717463633384
ACH-000258,0.13992032113367953
ACH-000259,0.024024432724739773
ACH-000260,0.13922777274806789
ACH-000261,0.18375357394169564
ACH-000262,0.11230169485680473
ACH-000263,0.12772044320679588
ACH-000264,0.14350328652945404
ACH-000265,0.06720151381778851
ACH-000266,0.11049697577453596
ACH-000272,0.12670729309879875
ACH-000274,0.1838417556936327
ACH-000277,0.17806901813165366
ACH-000278,0.15812178413605665
ACH-000279,0.15051143237112122
ACH-000280,0.07955628044484142
ACH-000281,0.05886690441994386
ACH-000288,0.2816950690643661
ACH-000291,-0.11533152423935215
ACH-000293,0.2530424159293613
ACH-000294,-0.2907384245643625
ACH-000295,0.12727668378091286
ACH-000296,0.2402893812807663
ACH-000302,0.041509030917476084
ACH-000304,0.02625450467153921
ACH-000307,0.2407142978358356
ACH-000308,0.1127464098709297
ACH-000310,0.023931273196598903
ACH-000311,0.11494112702875385
ACH-000312,0.1848301292608199
ACH-000315,-0.016017439474069056
ACH-000316,0.2487227576944797
ACH-000317,0.3318195302685977
ACH-000318,0.043446500335976836
ACH-000319,0.11737056476060898
ACH-000320,0.24654650596760005
ACH-000322,0.25160829121260125
ACH-000323,0.2444452075498561
ACH-000324,0.13664791688162045
ACH-000329,0.07563284882409499
ACH-000330,0.08553712346345223
ACH-000331,0.14709897167777405
ACH-000332,0.14038571582111153
ACH-000334,0.16079832788749568
ACH-000335,0.055863521894918
ACH-000336,0.3289979062206216
ACH-000337,0.3035667781179492
ACH-000338,-0.11597935773084014
ACH-000339,0.06877242615272339
ACH-000341,0.12481356756508673
ACH-000348,0.12304314276792633
ACH-000350,0.2123591017195762
ACH-000352,0.1339620906368122
ACH-000356,-0.06618180722770252
ACH-000361,0.17965939196962796
ACH-000362,0.1422100993527571
ACH-000363,0.015897883781801427
ACH-000364,0.12336069767214546
ACH-000365,0.20661702783375932
ACH-000366,0.12961960567207134
ACH-000368,0.23159360225738354
ACH-000374,0.10191985778292917
ACH-000375,0.03499624162718264
ACH-000376,0.19184865956693212
ACH-000381,0.15928993974889016
ACH-000383,0.055904515016830685
ACH-000387,0.16721446991925473
ACH-000389,0.22574711670302106
ACH-000390,0.09653361625100693
ACH-000393,0.14990767120174933
ACH-000395,-0.0833314376845449
ACH-000396,0.10634369309174403
ACH-000397,0.09181730677535001
ACH-000401,-0.24251764436264034
ACH-000402,-0.1788652814731459
ACH-000403,0.2448867045506311
ACH-000404,0.4438281047638711
ACH-000406,0.09181386464724743
ACH-000407,0.2063050978801824
ACH-000408,0.07479493531697297
ACH-000410,0.1143353923922966
ACH-000411,0.13396739926368578
ACH-000414,0.10181646023723122
ACH-000415,0.2169336286979935
ACH-000416,0.20231982244904795
ACH-000420,0.006402868065811543
ACH-000421,0.12555443210358874
ACH-000424,0.11155102021847096
ACH-000425,0.05503944810494253
ACH-000426,0.20028816086282056
ACH-000427,0.2350581534280756
ACH-000433,0.09273449943994393
ACH-000435,0.046531618319009975
ACH-000436,0.0902945884003694
ACH-000444,0.1238077893338324
ACH-000445,0.21005962817158727
ACH-000448,0.003947239577171659
ACH-000450,0.23518044148565875
ACH-000452,0.155343469603643
ACH-000454,0.16358597472562872
ACH-000458,0.15716071917773514
ACH-000459,0.2024338229066168
ACH-000460,0.050234810421793584
ACH-000461,0.1163522221737176
ACH-000463,0.21372568590861013
ACH-000464,0.27469452179763604
ACH-000466,0.14958134237059284
ACH-000467,0.1795057085819057
ACH-000468,0.13299715047973742
ACH-000469,0.21963112086539746
ACH-000470,-0.005417729462395205
ACH-000471,0.11812845672802158
ACH-000472,0.05023068007758586
ACH-000473,0.09300731344676412
ACH-000475,0.17070470214032746
ACH-000476,0.2022895407372745
ACH-000477,0.10448391750594857
ACH-000479,0.09815539683417797
ACH-000480,0.07602583309489115
ACH-000481,0.1297951364198878
ACH-000483,0.11841997928612798
ACH-000484,0.05339327917080977
ACH-000485,0.08995067423174215
ACH-000486,0.0680310116233122
ACH-000487,0.12842718731564542
ACH-000488,0.15830357998990138
ACH-000490,0.1791174608137856
ACH-000491,0.3140186129082692
ACH-000495,0.276959931997852
ACH-000496,0.19849649804444056
ACH-000499,0.0759045609481972
ACH-000500,-0.06720305652728538
ACH-000502,0.11013214116182228
ACH-000503,0.1882540428040963
ACH-000505,0.08684062281506776
ACH-000507,-0.07184173762094544
ACH-000510,0.10177757465722397
ACH-000511,0.2337069859496833
ACH-000512,0.2154260241106235
ACH-000516,0.10489697368370587
ACH-000517,0.06982140735004805
ACH-000518,0.25439393105007424
ACH-000520,0.22637290820746545
ACH-000521,0.2612976919275423
ACH-000522,0.16165648981468536
ACH-000524,0.06133863327351857
ACH-000527,0.15488902130725726
ACH-000528,0.1642291248914818
ACH-000537,0.21366299480816545
ACH-000541,-0.06289139569575973
ACH-000542,0.17650617809884342
ACH-000544,0.1893602172723527
ACH-000545,0.10636376344095856
ACH-000547,0.18773927208860736
ACH-000548,0.09198199195877743
ACH-000549,0.12961936251946646
ACH-000550,0.14224813916244533
ACH-000552,0.15070701327752786
ACH-000556,0.11911165950922828
ACH-000557,0.12542690446198512
ACH-000569,0.02240754263299536
ACH-000570,0.1241870217363865
ACH-000571,0.10127093850229267
ACH-000573,0.029159991253317457
ACH-000576,0.21694788022307912
ACH-000579,0.3152831962365367
ACH-000580,0.16755522854041036
ACH-000584,0.13341122623708124
ACH-000585,0.12107332730736042
ACH-000588,0.0826480655945326
ACH-000589,0.0004727282297828046
ACH-000591,0.171869542965311
ACH-000593,0.17760994269288224
ACH-000600,0.1777187847700289
ACH-000601,0.13694014809356855
ACH-000605,0.0061926255550133966
ACH-000606,0.24023918100352645
ACH-000608,0.03295408246663787
ACH-000614,0.2179864290241426
ACH-000616,0.1436118013513479
ACH-000618,0.13517944341659374
ACH-000619,0.2789287986026445
ACH-000620,-0.02527180458417157
ACH-000621,0.0434171455813256
ACH-000622,0.2275036003799594
ACH-000623,0.15906998775211267
ACH-000624,0.09229910022086277
ACH-000627,0.13578531701467592
ACH-000630,0.19025783623106254
ACH-000631,0.17907623590058194
ACH-000632,0.12619746810524127
ACH-000633,0.14452763167844926
ACH-000637,0.11599750742310773
ACH-000638,0.2059137681286445
ACH-000646,-0.031084485851762524
ACH-000647,0.2239802464453768
ACH-000648,0.15487883794539015
ACH-000649,0.11381995423874793
ACH-000651,0.20964344285449596
ACH-000652,0.2387863040028295
ACH-000653,0.0723345205846917
ACH-000657,0.18036811335069566
ACH-000658,0.14894298174016235
ACH-000661,0.12410427651636145
ACH-000662,0.18698621956346886
ACH-000663,-0.04363901794385253
ACH-000665,0.19326784776724207
ACH-000671,0.06961793392760379
ACH-000672,0.1835858029687496
ACH-000673,0.1630738448077588
ACH-000676,0.1891208030615528
ACH-000677,0.001027163343442574
ACH-000681,0.0570711721598612
ACH-000683,0.17823311203352266
ACH-000684,0.16690137093148635
ACH-000688,0.3963954628549936
ACH-000693,0.09018764361068103
ACH-000694,0.08863100361197107
ACH-000695,0.041679234603892015
ACH-000696,0.228397710565997
ACH-000697,0.2554783988812174
ACH-000699,0.03280386996158003
ACH-000701,0.024060514057385542
ACH-000706,0.20908408789350785
ACH-000711,0.15617087952911513
ACH-000713,0.15679575063160933
ACH-000714,0.1258204017062744
ACH-000718,0.039787760126782035
ACH-000720,0.2601069841840411
ACH-000721,0.25416000620813844
ACH-000724,0.036466473944371934
ACH-000725,0.1101179460053013
ACH-000732,-0.01472029130351775
ACH-000734,0.10708704028897277
ACH-000735,0.16488436376741444
ACH-000736,0.18779687128522973
ACH-000738,0.07593092120606312
ACH-000746,0.0955321444229834
ACH-000747,0.1285218922093118
ACH-000748,0.19427579061930925
ACH-000753,0.20382533789711796
ACH-000756,-0.0963901978130656
ACH-000757,0.09549707595832188
ACH-000758,0.12706896622806466
ACH-000760,0.055974171065841564
ACH-000762,0.1680678715517171
ACH-000763,0.0862013281675708
ACH-000764,0.16837260898315573
ACH-000765,0.027817739015861258
ACH-000766,0.09141625666549927
ACH-000767,0.08114900338513009
ACH-000768,0.2427503348229856
