,PLD5 (200150)
ACH-000004,0.2083418294997285
ACH-000005,0.2493783150323006
ACH-000007,0.15011925769368145
ACH-000009,0.15373455984791598
ACH-000011,0.02231052487020833
ACH-000012,0.08877763188459993
ACH-000013,0.11912068444915445
ACH-000014,0.12819411139394818
ACH-000015,0.06168271677211224
ACH-000017,0.019479618271308848
ACH-000018,0.09813885203914637
ACH-000019,-0.026161051198648425
ACH-000021,0.008134941050537218
ACH-000022,0.1469904980862621
ACH-000025,-0.06923226105742174
ACH-000028,0.16548093492983154
ACH-000030,0.1318858142725956
ACH-000035,0.019346040769381498
ACH-000036,0.2283761531208882
ACH-000037,0.10545144823157826
ACH-000039,0.13395145524558538
ACH-000040,0.09483827820670092
ACH-000041,0.097654622308413
ACH-000042,0.05663195553685906
ACH-000045,0.1815800341006109
ACH-000047,0.028551962011522814
ACH-000052,0.093784926362468
ACH-000053,0.09065244013636854
ACH-000054,0.0039022418889975313
ACH-000055,-0.024371374652378226
ACH-000060,-0.03379109096571792
ACH-000067,0.13058383501101908
ACH-000070,0.048315917125753005
ACH-000075,0.1832526734119076
ACH-000078,-0.014490379354339725
ACH-000082,0.04786270971965178
ACH-000085,0.26805538222248604
ACH-000086,-0.05736626788324047
ACH-000087,-0.2044863225248572
ACH-000092,0.011081032314694999
ACH-000095,0.08092871872820978
ACH-000097,0.07111334109759151
ACH-000098,0.02468333813863374
ACH-000099,0.12449405192708045
ACH-000108,0.14267415743293738
ACH-000113,0.2546122450521344
ACH-000116,0.1271253477430917
ACH-000118,0.09802557575379038
ACH-000120,0.04024010089276793
ACH-000123,0.005016352462417841
ACH-000127,0.12651082787684795
ACH-000128,0.1913698340666212
ACH-000132,0.02310863005644499
ACH-000133,0.19068859780356825
ACH-000137,0.16943489139959542
ACH-000138,0.20450426143781275
ACH-000142,0.14854227100963754
ACH-000143,-0.0377942588316039
ACH-000146,0.1370087023193844
ACH-000148,-0.039519308437045916
ACH-000150,0.07870536457718369
ACH-000152,0.058001623819294336
ACH-000153,0.16765549111536318
ACH-000159,0.09847189402441116
ACH-000160,0.1526848270756199
ACH-000163,0.0981241392314477
ACH-000167,0.42256418042082733
ACH-000168,0.27820149642749925
ACH-000169,0.1291714460890837
ACH-000178,0.07617271884919141
ACH-000183,0.053004596597508405
ACH-000188,0.10763045665434386
ACH-000189,0.16131804827631013
ACH-000190,0.07325868193889817
ACH-000198,0.1134977051310163
ACH-000203,0.07982791723905608
ACH-000204,0.07883726320606563
ACH-000206,0.05159991028937401
ACH-000207,0.16563015542315224
ACH-000208,-0.0882871217386495
ACH-000210,0.11196153056787388
ACH-000211,0.036116401115558215
ACH-000215,0.04085919910200227
ACH-000221,0.06688078678908832
ACH-000222,0.16756133053459768
