,DepMap_ID
1277,ACH-000005
64012,ACH-000204
65072,ACH-000207
69911,ACH-000221
70222,ACH-000222
99886,ACH-000312
137699,ACH-000410
166304,ACH-000481
167158,ACH-000483
173541,ACH-000500
190586,ACH-000542
195465,ACH-000552
197512,ACH-000556
200529,ACH-000562
210720,ACH-000585
214970,ACH-000594
217086,ACH-000598
219233,ACH-000603
219234,ACH-000603
223414,ACH-000611
225445,ACH-000616
238155,ACH-000641
256309,ACH-000675
257039,ACH-000676
284299,ACH-000727
288389,ACH-000734
288802,ACH-000735
298630,ACH-000753
298631,ACH-000753
298632,ACH-000753
317724,ACH-000781
320924,ACH-000785
357342,ACH-000787
364967,ACH-000797
393129,ACH-000832
393130,ACH-000832
399131,ACH-000841
402097,ACH-000844
472044,ACH-000910
511158,ACH-000930
526014,ACH-000937
554068,ACH-000947
575379,ACH-000954
598298,ACH-000961
605648,ACH-000963
615680,ACH-000966
631134,ACH-000970
656404,ACH-000977
663787,ACH-000978
668569,ACH-000979
693744,ACH-000984
708330,ACH-000986
715773,ACH-000987
730162,ACH-000989
742970,ACH-000990
828087,ACH-000993
847031,ACH-000995
847032,ACH-000995
858019,ACH-000996
858020,ACH-000996
868795,ACH-000997
879225,ACH-000998
879226,ACH-000998
902969,ACH-000999
902970,ACH-000999
902971,ACH-000999
902972,ACH-000999
935498,ACH-001119
964272,ACH-001206
965167,ACH-001211
980058,ACH-001333
994936,ACH-001363
1004300,ACH-001379
1013999,ACH-001412
1024810,ACH-001496
1073108,ACH-001628
1080010,ACH-001650
1105828,ACH-002089
1105829,ACH-002089
1108888,ACH-002097
1115018,ACH-002117
1118179,ACH-002128
1139473,ACH-002176
1146704,ACH-002193
1155597,ACH-002217
1161425,ACH-002222
1161426,ACH-002222
1161427,ACH-002222
1171122,ACH-002238
1174577,ACH-002248
1174844,ACH-002249
1203264,ACH-002287
1215557,ACH-002309
1217252,ACH-002311
1224642,ACH-002341
1224643,ACH-002341
1224644,ACH-002341
1235678,ACH-002388
