,DepMap_ID
3343,ACH-000011
4486,ACH-000014
55490,ACH-000176
70725,ACH-000224
86515,ACH-000273
91442,ACH-000289
161286,ACH-000469
168631,ACH-000487
210546,ACH-000585
214822,ACH-000594
222543,ACH-000610
236050,ACH-000638
237284,ACH-000640
246276,ACH-000658
276942,ACH-000714
291750,ACH-000741
293074,ACH-000744
297881,ACH-000752
305260,ACH-000764
310814,ACH-000773
359608,ACH-000790
402798,ACH-000845
427140,ACH-000872
436278,ACH-000880
450656,ACH-000891
457952,ACH-000898
495038,ACH-000922
507491,ACH-000929
510150,ACH-000930
654716,ACH-000977
691826,ACH-000984
705893,ACH-000986
749763,ACH-000991
749764,ACH-000991
825420,ACH-000993
825421,ACH-000993
825422,ACH-000993
844877,ACH-000995
854229,ACH-000996
875974,ACH-000998
917602,ACH-001063
925491,ACH-001081
925492,ACH-001081
954876,ACH-001184
974405,ACH-001318
993521,ACH-001362
1115842,ACH-002120
1145258,ACH-002189
1165112,ACH-002232
1197953,ACH-002280
1206351,ACH-002296
1223816,ACH-002341
1223817,ACH-002341
1242636,ACH-002397
