,PLXNB2 (23654)
ACH-000004,0.10118416410905844
ACH-000005,-0.09526359005670704
ACH-000007,0.12787235937444225
ACH-000009,0.0729969843430132
ACH-000011,-0.14265524316357836
ACH-000012,0.24186203745394896
ACH-000013,0.03260367259879457
ACH-000014,0.2389977461665359
ACH-000015,0.08378027682872688
ACH-000017,-0.023233195507176008
ACH-000018,0.1466829022400222
ACH-000019,0.07660097022033535
ACH-000021,0.11105654738608987
ACH-000022,0.016136310125348708
ACH-000025,0.15884677034174094
ACH-000028,-0.012945201624308374
ACH-000030,0.04728940939143921
ACH-000035,0.1309891686743614
ACH-000036,0.13713869268792964
ACH-000037,0.059045486844156926
ACH-000039,-0.08662972899704685
ACH-000040,-0.012587730629227505
ACH-000041,0.1660349473774792
ACH-000042,0.00679658226674609
ACH-000045,0.14660371462500568
ACH-000047,0.011325706834774909
ACH-000052,0.023056484068483717
ACH-000053,0.09573753671389452
ACH-000054,0.0855304836939159
ACH-000055,-0.13676982696826853
ACH-000060,0.0892240527674702
ACH-000067,0.011601737910312626
ACH-000070,0.16830252165028525
ACH-000075,0.063742910394386
ACH-000078,0.16510780416815138
ACH-000082,0.14417314694380287
ACH-000085,0.01257632130267336
ACH-000086,0.2556408224500273
ACH-000087,-0.012303591224225564
ACH-000092,0.15861686029305014
ACH-000095,0.01359988078422865
ACH-000097,-0.06498990171020251
ACH-000098,0.048935732297522634
ACH-000099,0.048229125683380704
ACH-000108,0.025341161553902147
ACH-000113,0.01525758550348094
ACH-000116,0.2405446339815906
ACH-000118,0.10171943664913308
ACH-000120,-0.04848599936816502
ACH-000123,0.09688729618754582
ACH-000127,0.21254833833850267
ACH-000128,0.1893560236199857
ACH-000132,0.27360988581759504
ACH-000133,-0.018459519566887368
ACH-000137,0.2748163410719112
ACH-000138,0.18940193484111015
ACH-000142,0.3073524367700549
ACH-000143,0.3073147929845113
ACH-000146,0.1946736671243185
ACH-000148,0.09706686826262396
ACH-000150,0.3082115648446764
ACH-000152,0.12685585547588976
ACH-000153,0.19647808436261666
ACH-000159,0.06744076410567464
ACH-000160,0.0369886438469664
ACH-000163,-0.00304514064118722
ACH-000167,0.1216393902564797
ACH-000168,0.04415895374985036
ACH-000169,0.08920157711468
ACH-000178,0.13124732540754475
ACH-000183,-0.014318383694383856
ACH-000188,0.10019635456972177
ACH-000189,0.004307754539048903
ACH-000190,0.17007469760608945
ACH-000198,0.0886154193096058
ACH-000203,0.14451915254447065
ACH-000204,0.001193173818089316
ACH-000206,0.24082181054969906
ACH-000207,0.0988731854731004
ACH-000208,0.11553762899259355
ACH-000210,0.21766733088214876
ACH-000211,0.1159233494104396
ACH-000215,0.08224289257699854
ACH-000221,0.15056767272233118
ACH-000222,0.05680037154482428
ACH-000223,0.1832941375757907
ACH-000226,0.10581686461507367
ACH-000227,0.12876608997390282
ACH-000228,0.12367486856937895
ACH-000231,0.029675112671714788
ACH-000232,0.10997762313574197
ACH-000233,0.020935673293099727
ACH-000234,0.12775494530585746
ACH-000235,0.07449699327348648
ACH-000237,0.19016411339478032
ACH-000238,0.04070723857959446
ACH-000242,0.17793330830270745
ACH-000243,0.15330956961255487
ACH-000244,0.08672146285664617
ACH-000246,0.1298145165767379
ACH-000248,0.13419397298442928
ACH-000250,0.14963258511615346
ACH-000251,0.029605664965532942
ACH-000252,0.20437989187473446
ACH-000253,0.0825207764700622
ACH-000255,0.12863843402397593
ACH-000256,0.16095790808790533
ACH-000257,0.0684704634514451
ACH-000258,-0.12179308943377637
ACH-000259,0.0511787554253909
ACH-000260,0.08837920859164727
ACH-000261,0.099496675657386
ACH-000262,0.12119479450188525
ACH-000263,0.2947312965367089
ACH-000264,0.13514684855328565
ACH-000265,0.2100686843007466
ACH-000266,0.027163762294368163
ACH-000272,0.1636112611678336
ACH-000274,0.06084868858316005
ACH-000277,0.02697209202653672
ACH-000278,0.11855430374660413
ACH-000279,0.039024026149653335
ACH-000280,0.13836901438872326
ACH-000281,-0.13585202176413333
ACH-000288,0.20351948873057832
ACH-000291,0.0572638132738672
ACH-000293,-0.11827059023959904
ACH-000294,0.1278500755181554
ACH-000295,0.01895572686513242
ACH-000296,0.17394462725536464
ACH-000302,0.32525321522071715
ACH-000304,0.2966658046297741
ACH-000307,0.13922438251807534
ACH-000308,0.0853835991724027
ACH-000310,-0.0016190077916415394
ACH-000311,0.16528661879660034
ACH-000312,0.010354656068140351
ACH-000315,0.1367906536753962
ACH-000316,0.09962392985064147
ACH-000317,0.03652982528611026
ACH-000318,0.19844642143191554
ACH-000319,0.2417419944635347
ACH-000320,0.27675662949655033
ACH-000322,0.08023109428132875
ACH-000323,0.26467048588817993
ACH-000324,0.1485845162683801
ACH-000329,0.08553109976166849
ACH-000330,0.07762443508029232
ACH-000331,0.2719855776409282
ACH-000332,0.13474352169408738
ACH-000334,0.21248293571979573
ACH-000335,0.138107971915542
ACH-000336,0.5182142649202317
ACH-000337,0.18655671331903267
ACH-000338,0.22021463073031386
ACH-000339,0.12552711707476127
ACH-000341,0.1140993390396372
ACH-000348,0.11567289076698747
ACH-000350,0.028098867399352318
ACH-000352,0.13769952557834514
ACH-000356,-0.05747853616158372
ACH-000361,-0.012606792748356773
ACH-000362,0.08735040879217343
ACH-000363,0.115389532056256
ACH-000364,0.30929417251799635
ACH-000365,0.1100956378351305
ACH-000366,0.1573558109517689
ACH-000368,-0.0921611440703186
ACH-000374,0.2355464624204887
ACH-000375,0.08881385460786749
ACH-000376,0.14526860790129278
ACH-000381,0.1298576415306707
ACH-000383,0.1534368472509569
ACH-000387,0.2036207679034322
ACH-000389,0.05804386201593484
ACH-000390,0.1010261833448503
ACH-000393,0.20073516408536105
ACH-000395,0.3375773021012794
ACH-000396,-0.023302460044680118
ACH-000397,-0.02635240850118376
ACH-000401,-0.09241366299507002
ACH-000402,0.2078942073287323
ACH-000403,0.2182938666378028
ACH-000404,0.36539588455909977
ACH-000406,0.08359420821896613
ACH-000407,0.051571139721899424
ACH-000408,0.18340109861442766
