,POLR2M (81488)
ACH-000004,-0.19029713512197047
ACH-000005,-0.3079559785478981
ACH-000007,-0.02015550648183015
ACH-000009,-0.1694160264268475
ACH-000011,-0.12822133228054114
ACH-000012,0.007190620081669077
ACH-000013,-0.10809650510454268
ACH-000014,-0.21093407168164627
ACH-000015,-0.2243581070078965
ACH-000017,-0.23237877533484105
ACH-000018,-0.3354624514906827
ACH-000019,-0.19030646239042973
ACH-000021,-0.06419544710012015
ACH-000022,-0.14655749874812124
ACH-000025,-0.17355104511286887
ACH-000028,-0.2102304135479596
ACH-000030,-0.15595516750761432
ACH-000035,-0.2167293493093196
ACH-000036,-0.01851465214332841
ACH-000037,-0.27322193581119336
ACH-000039,-0.06746972114900282
ACH-000040,0.06646845221477407
ACH-000041,-0.2851319159764095
ACH-000042,-0.10399696311655576
ACH-000045,-0.08784437126363531
ACH-000047,-0.03046169737451959
ACH-000052,-0.17548617225672986
ACH-000053,-0.20600918478904276
ACH-000054,-0.08463195810280344
ACH-000055,-0.1495863832892205
ACH-000060,-0.11191924882665936
ACH-000067,-0.20979981312472856
ACH-000070,-0.17861102466595896
ACH-000075,-0.24161405038850095
ACH-000078,-0.021060047528640508
ACH-000082,-0.15111735951580182
ACH-000085,-0.4336291117591039
ACH-000086,-0.04535263757384729
ACH-000087,-0.4150470967610901
ACH-000092,-0.0407392531736065
ACH-000095,-0.03273294318846586
ACH-000097,-0.2626625239886552
ACH-000098,-0.09675637174981172
ACH-000099,-0.17485452127255166
ACH-000108,-0.2586286084192889
ACH-000113,-0.31049772153953104
ACH-000116,-0.4564568216149082
ACH-000118,-0.2603023478235829
ACH-000120,-0.22557632715088044
ACH-000123,0.1359853828054265
ACH-000127,-0.2864828082375444
ACH-000128,-0.10091473711854272
ACH-000132,-0.2605822827986308
ACH-000133,-0.06679222060477359
ACH-000137,-0.1480296214864824
ACH-000138,-0.06389937434342008
ACH-000142,-0.1390963790964889
ACH-000143,-0.3543537510512866
ACH-000146,-0.0782824468732362
ACH-000148,-0.14567325295270614
ACH-000150,-0.2748949677524048
ACH-000152,-0.17330315266351254
ACH-000153,-0.015224261954126763
ACH-000159,-0.10004451835051452
ACH-000160,-0.3524310215117049
ACH-000163,0.022116791051182264
ACH-000167,-0.30602290218526
ACH-000168,-0.046976569703985616
ACH-000169,-0.15403940170167402
ACH-000178,-0.0967121284293159
ACH-000183,-0.3345384337233083
ACH-000188,-0.04895851666957555
ACH-000189,0.10918282654454793
ACH-000190,-0.3042584627765642
ACH-000198,0.0245156527819473
ACH-000203,-0.5623834947130365
ACH-000204,-0.3282562473745594
ACH-000206,-0.1539706693506231
ACH-000207,-0.1514661608578327
ACH-000208,-0.2590443962354009
ACH-000210,-0.218727468358848
ACH-000211,-0.11000306124260137
ACH-000215,-0.09858631507770448
ACH-000221,-0.454848401252103
ACH-000222,-0.3336965956412811
ACH-000223,-0.3905279183881869
ACH-000226,-0.19883069424149488
ACH-000227,-0.16747907543213705
ACH-000228,-0.1626581359138388
ACH-000231,-0.10993892695529756
ACH-000232,-0.1313978944703199
ACH-000233,-0.1919410342154714
ACH-000234,-0.28047826421972955
ACH-000235,-0.18376249714020995
ACH-000237,-0.15312358843702464
ACH-000238,-0.12687909157621255
ACH-000242,-0.13101423964925238
ACH-000243,-0.3522370579269308
ACH-000244,0.16111888762482074
ACH-000246,-0.006794848382746186
ACH-000248,-0.3072484985256703
ACH-000250,-0.05378523140299663
ACH-000251,0.06770062356260884
ACH-000252,-0.24120098220491
ACH-000253,-0.18210429398385952
ACH-000255,-0.061876110135810986
