,PROK1 (84432)
ACH-000004,-0.12680153562777002
ACH-000005,0.1876921686591792
ACH-000007,0.05077330455381982
ACH-000009,-0.02428065377230214
ACH-000011,0.0030203156857874537
ACH-000012,-0.17750212227231973
ACH-000013,-0.11435706642644144
ACH-000014,-0.10822218078648578
ACH-000015,-0.09073026283790307
ACH-000017,-0.06474236597100465
ACH-000018,-0.04934754256324912
ACH-000019,-0.151361290187887
ACH-000021,-0.07925880929595132
ACH-000022,-0.12880874194689804
ACH-000025,-0.20967131565661293
ACH-000028,-0.24167060648458785
ACH-000030,-0.09744059694643403
ACH-000035,-0.31854995272940434
ACH-000036,0.003946500945403426
ACH-000037,-0.023111439539211232
ACH-000039,-0.13089483034849084
ACH-000040,-0.1433051452018457
ACH-000041,-0.10500707549791763
ACH-000042,-0.0669978934001034
ACH-000045,-0.08586827607756993
ACH-000047,-0.08973713376302203
ACH-000052,-0.1086124334351306
ACH-000053,-0.05947473361292487
ACH-000054,-0.00712451112448685
ACH-000055,0.06348336653568531
ACH-000060,-0.15117040181308075
ACH-000067,-0.18286731653119448
ACH-000070,-0.12193478386594803
ACH-000075,-0.2350077395665221
ACH-000078,-0.04757715635337971
ACH-000082,-0.07861268330072782
ACH-000085,0.07315103088934613
ACH-000086,-0.19676043720407568
ACH-000087,0.10061605187512204
ACH-000092,-0.17331283895412902
ACH-000095,-0.011410518941108626
ACH-000097,-0.02481395080635749
ACH-000098,-0.1429327935147225
ACH-000099,-0.039501728731423616
ACH-000108,-0.08199569530345885
ACH-000113,-0.11826313867164925
ACH-000116,0.006836585247626097
ACH-000118,-0.09563978448720964
ACH-000120,-0.12522602753358086
ACH-000123,-0.04623887084712778
ACH-000127,-0.08783696073107693
ACH-000128,-0.031625803301703836
ACH-000132,-0.028844615278286682
ACH-000133,-0.09096829924341082
ACH-000137,-0.19161136847969729
ACH-000138,-0.047991385486057615
ACH-000142,-0.009892462006070484
ACH-000143,0.0841908364604648
ACH-000146,-0.11652381662788505
ACH-000148,-0.07809538713084098
ACH-000150,0.07015578806579408
ACH-000152,-0.14910017452758664
ACH-000153,-0.2734614010382744
ACH-000159,-0.1414223997923548
ACH-000160,0.03198205582528077
ACH-000163,0.0016595788127386926
ACH-000167,-0.4115432496996488
ACH-000168,-0.08749624931821358
ACH-000169,-0.22215992766563547
ACH-000178,-0.1005250690130835
ACH-000183,-0.05173704279358884
ACH-000188,-0.08463881042313469
ACH-000189,-0.12454668112614806
ACH-000190,0.040178204272898414
ACH-000198,-0.18500978049527
ACH-000203,-0.06565291788063449
ACH-000204,-0.15840909380693335
ACH-000206,-0.08035722667692458
ACH-000207,-0.3042467469108581
ACH-000208,-0.07916304083634527
ACH-000210,-0.13611807275335236
ACH-000211,-0.08260657555128413
ACH-000215,-0.1806718104902553
ACH-000221,-0.392844738934891
ACH-000222,8.636046000760924e-06
ACH-000223,-0.030640733865506264
ACH-000226,-0.11109931094621804
ACH-000227,-0.16133176493077392
ACH-000228,-0.09005328908340572
ACH-000231,-0.08311208153381061
ACH-000232,-0.1743292389807475
ACH-000233,0.015622184981400718
ACH-000234,-0.1435019836913302
ACH-000235,-0.12083118313574412
ACH-000237,-0.029518558911174306
ACH-000238,-0.10167413085372937
ACH-000242,-0.3446852741338968
ACH-000243,-0.08868515151151515
ACH-000244,0.14701200459133326
ACH-000246,-0.07552787395614262
ACH-000248,-0.015982037832729213
