,DepMap_ID
23731,ACH-000065
23732,ACH-000065
44060,ACH-000133
44667,ACH-000136
169038,ACH-000488
335660,ACH-000786
335661,ACH-000786
335662,ACH-000786
335663,ACH-000786
509859,ACH-000930
519005,ACH-000935
520514,ACH-000936
649031,ACH-000975
660531,ACH-000978
674592,ACH-000981
704982,ACH-000986
726771,ACH-000989
783327,ACH-000992
783328,ACH-000992
783329,ACH-000992
783330,ACH-000992
783331,ACH-000992
843439,ACH-000995
891460,ACH-000999
1029511,ACH-001517
1102804,ACH-002059
1119663,ACH-002139
1141341,ACH-002179
1148216,ACH-002197
1227031,ACH-002350
