,RCOR1 (23186)
ACH-000004,-0.8509561586291482
ACH-000005,-0.9195201797889409
ACH-000007,-0.8214674347387398
ACH-000009,-0.2970305746933287
ACH-000011,-0.3928253150907529
ACH-000012,-0.2420522147876429
ACH-000013,-0.10870289057718993
ACH-000014,-0.4720835363893737
ACH-000015,-0.3413745150245417
ACH-000017,-0.44255403955623707
ACH-000018,-0.4074948913100789
ACH-000019,-1.0317793473107315
ACH-000021,-0.4762814220390799
ACH-000022,-0.4540775979208295
ACH-000025,-0.5528000970602727
ACH-000028,-0.8691066886704437
ACH-000030,-0.30553334254705583
ACH-000035,-0.1924687788689137
ACH-000036,-0.34255216696396285
ACH-000037,-0.2637302322527283
ACH-000039,-0.10868962206354656
ACH-000040,-0.3232034260908727
ACH-000041,-0.5343926840959545
ACH-000042,-0.4556018222716479
ACH-000045,-0.4321860335235031
ACH-000047,-0.366962967925344
ACH-000052,-0.5432354609395329
ACH-000053,-0.5746925468083275
ACH-000054,-0.3420889094777085
ACH-000055,-0.6095427163996964
ACH-000060,-0.4930770965300023
ACH-000067,-0.4018424052024788
ACH-000070,-0.5113766075076369
ACH-000075,-0.3009116581597577
ACH-000078,-0.30080632512124794
ACH-000082,-0.4470107991078589
ACH-000085,-0.4123938786796411
ACH-000086,-0.6385930079859682
ACH-000087,-0.40839771632915656
ACH-000092,-0.4155264329346223
ACH-000095,-0.3837495848557886
ACH-000097,-0.7130780582978518
ACH-000098,-0.2271105912114703
ACH-000099,-0.21292962829032325
ACH-000108,-0.5095433356114059
ACH-000113,-0.4081993443419582
ACH-000116,-0.3982625838606632
ACH-000118,-0.7644340363559853
ACH-000120,-0.4090156559199229
ACH-000123,-0.5559868085031441
ACH-000127,-0.6554376522760287
ACH-000128,-0.7230931328586748
ACH-000132,-0.3444300397527236
ACH-000133,-0.6881357630591417
ACH-000137,-0.2711166264378932
ACH-000138,-0.5317115498334569
ACH-000142,-0.5475995439235554
ACH-000143,-0.8312378133777574
ACH-000146,-0.29881302757244943
ACH-000148,-0.5379094394764886
ACH-000150,-0.6200922163829748
ACH-000152,-0.5983366812485372
ACH-000153,-0.9007493012422212
ACH-000159,-0.3758819570757092
ACH-000160,-0.2615211455780119
ACH-000163,-0.5763583993813147
ACH-000167,-0.02204415176504742
ACH-000168,-0.2838755905031828
ACH-000169,-0.5397879451504983
ACH-000178,-0.456967719564201
ACH-000183,-0.6071860446845834
ACH-000188,-0.4031531403334375
ACH-000189,-0.043974895984431266
ACH-000190,-0.22610143594097806
ACH-000198,-1.1499549156106261
ACH-000203,-0.7857395963733247
ACH-000204,-0.6843237547743618
ACH-000206,-0.5451627310912971
ACH-000207,-0.7594602434182531
ACH-000208,-0.3684298237592046
ACH-000210,-0.05978928375776981
ACH-000211,-0.4112910359771863
ACH-000215,-0.3382311318980966
ACH-000221,-0.5100539558916366
ACH-000222,-0.4659095759987021
ACH-000223,-0.4708090258795896
ACH-000226,-0.30320023338241364
ACH-000227,-0.4773458061532726
ACH-000228,-0.6745514269918259
ACH-000231,-0.15788651370000056
ACH-000232,-0.3518313465826992
ACH-000233,-0.7780244376367883
ACH-000234,-0.4019975754321665
ACH-000235,-0.5445662046587535
ACH-000237,-0.29357270976731065
ACH-000238,-0.5334623797695409
ACH-000242,-0.24983785337075884
ACH-000243,-0.7133692027250764
ACH-000244,-0.4643098988490666
ACH-000246,-0.2899467601616024
ACH-000248,-0.4971879430406351
ACH-000250,-0.4263726818585571
ACH-000251,-0.2854376463367605
ACH-000252,-0.6426652070094783
ACH-000253,-0.7395115860408745
ACH-000255,-0.3929701321147273
ACH-000256,-0.37355223661013903
ACH-000257,-0.6433757788340024
ACH-000258,-0.43357093565466426
ACH-000259,-0.2347941192537984
ACH-000260,-0.4136451829561111
ACH-000261,-0.3958941914892327
ACH-000262,-0.4291873771355605
ACH-000263,-0.5191821497666236
ACH-000264,-0.24987756913256676
ACH-000265,-0.19816249982761971
ACH-000266,-0.4924220904010654
ACH-000272,-0.4690545016207239
ACH-000274,-0.4679787860425285
ACH-000277,-0.8535626626938988
ACH-000278,-0.3905540374395795
ACH-000279,-0.4894430115373912
ACH-000280,-0.4579138593674269
ACH-000281,-0.4891572267298625
ACH-000288,-0.3238966056033949
ACH-000291,-0.8100796129659084
ACH-000293,-0.27716933490815204
ACH-000294,-0.4541763736058663
ACH-000295,-0.8709155138775789
ACH-000296,-0.16028844034922704
ACH-000302,-0.4188005990055706
ACH-000304,-0.5027368806737824
ACH-000307,-0.4876843003989864
ACH-000308,-0.6174486600691612
ACH-000310,-0.4154420970845333
ACH-000311,-0.5950685045982186
ACH-000312,-0.2849726177612532
ACH-000315,-0.2705026876805143
ACH-000316,-0.389441057954495
ACH-000317,-0.3810497023478308
ACH-000318,-0.461724338199637
ACH-000319,-0.3049107666029913
ACH-000320,-0.3881166990085644
ACH-000322,-0.2527494694965033
ACH-000323,-0.4684807600325077
ACH-000324,-0.4204190467638361
ACH-000329,-0.2848998133893117
ACH-000330,-0.4741957677907363
ACH-000331,-0.26601221086901183
ACH-000332,-0.5498639867375377
ACH-000334,-0.7265500402823712
ACH-000335,-0.4245553763316914
ACH-000336,-0.6632881851512872
ACH-000337,-0.7398430038190917
ACH-000338,-0.5170234339242772
ACH-000339,-0.3337619375229555
ACH-000341,-0.5315682691047942
ACH-000348,-0.26505596562768474
ACH-000350,-0.4616288244925386
ACH-000352,-0.43360342436757215
ACH-000356,-0.3616515421249318
ACH-000361,-0.31951486563763803
ACH-000362,-0.8184025844658573
ACH-000363,-0.3937871919867399
ACH-000364,-0.13320372184150653
ACH-000365,-0.6389397172168689
ACH-000366,-0.25301307148465435
ACH-000368,-0.5153979037460535
ACH-000374,-0.5315768919774335
ACH-000375,-0.4852617378201958
ACH-000376,-0.5382461626381312
ACH-000381,-0.8841185718339222
ACH-000383,-0.6116988881030951
ACH-000387,-0.6743790016016115
ACH-000389,-0.4178146213997805
ACH-000390,-0.28142549058945104
ACH-000393,-0.3460249353261332
ACH-000395,-0.7476336109644586
ACH-000396,-0.5424092151369413
ACH-000397,-0.551841284594477
ACH-000401,-0.26587488509166435
ACH-000402,-0.3336174291309332
ACH-000403,-0.5560604278861108
ACH-000404,-0.4881573643923832
ACH-000406,-0.3658470092305192
ACH-000407,-0.6233626267255944
ACH-000408,-0.1172255849595663
ACH-000410,-0.4676134310652625
ACH-000411,-0.4577265653448555
ACH-000414,-0.5098203053185366
ACH-000415,-0.25218639517154484
ACH-000416,-0.4199056225500745
ACH-000420,-0.2313397204942832
ACH-000421,-0.5659495610196368
ACH-000424,-0.32230649122796395
ACH-000425,-0.4094603191668803
ACH-000426,-0.3876984013971686
ACH-000427,-0.5304293508181256
ACH-000433,-0.08559776148995485
ACH-000435,-0.7818290624349751
ACH-000436,-0.4478292201719621
ACH-000444,-0.29011887731157804
ACH-000445,-0.2912151877966801
ACH-000448,-0.4814425304578325
ACH-000450,-0.3139367894046117
ACH-000452,-0.06902932376603321
ACH-000454,-0.5491557815170314
ACH-000458,-0.31654306881318817
ACH-000459,-0.2952206415240793
ACH-000460,-0.3845682884096788
ACH-000461,-0.5085821821416752
ACH-000463,-0.4474677013594575
ACH-000464,-0.6314403837676705
ACH-000466,-0.7393000233672294
ACH-000467,-0.5773443657353355
ACH-000468,-0.34304457079928485
ACH-000469,-0.25389682139990205
ACH-000470,-0.5734215840145779
ACH-000471,-0.3147981843832077
ACH-000472,-0.5406028659389296
ACH-000473,-0.33628562622107105
ACH-000475,-0.6532883231499834
ACH-000476,-0.3950224048067742
ACH-000477,-0.9451134328577327
ACH-000479,-0.34187532706521023
ACH-000480,-0.3665191422532397
ACH-000481,-0.6445320904230938
ACH-000483,-0.4009560435620879
ACH-000484,-0.5683461958009128
ACH-000485,-0.462267854080514
ACH-000486,-0.5472814332027346
ACH-000487,-0.8878376056289718
ACH-000488,-0.4548068966699565
ACH-000490,-0.06985075288922178
ACH-000491,-0.5977826473388133
ACH-000495,-0.416788879482022
ACH-000496,-0.7673539359710293
ACH-000499,-0.4964793932959074
ACH-000500,-0.8801845919408507
ACH-000502,-0.34661221587590946
ACH-000503,-0.5515758284588946
ACH-000505,-0.5452826183943664
ACH-000507,-0.38071786747940217
ACH-000510,-0.5806767886568719
ACH-000511,-0.4549210377241471
ACH-000512,-0.7843952261964914
ACH-000516,-0.32484230251675944
ACH-000517,-0.5132246195828535
ACH-000518,-0.5830723038241232
ACH-000520,-0.35154261730455144
ACH-000521,-0.4893580743861794
ACH-000522,-0.3530197704081677
ACH-000524,-0.324318901019195
