,RGS7BP (401190)
ACH-000004,-0.041880973281638055
ACH-000005,-0.06097668218296115
ACH-000007,-0.09610863586618368
ACH-000009,0.0006365450714167775
ACH-000011,-0.0010093422566150544
ACH-000012,0.06623457815333594
ACH-000013,0.040424957388885886
ACH-000014,0.01867792763967357
ACH-000015,-0.2650631924975692
ACH-000017,0.054167487141372005
ACH-000018,0.2142925738525189
ACH-000019,0.006363313117296406
ACH-000021,-0.059819293104044186
ACH-000022,-0.05291263530445059
ACH-000025,0.08745600862679669
ACH-000028,-0.12402691079386514
ACH-000030,0.0075028701784456515
ACH-000035,0.02823544341802032
ACH-000036,0.021124839935734864
ACH-000037,-0.07161162961570441
ACH-000039,0.0934182007821565
ACH-000040,0.17764699234649148
ACH-000041,-0.04151053148339785
ACH-000042,0.01110153692233875
ACH-000045,-0.021554980277014676
ACH-000047,0.012820179375302094
ACH-000052,-0.1136369784230251
ACH-000053,0.05157198842340752
ACH-000054,0.03504735522531331
ACH-000055,0.06996198811316412
ACH-000060,0.08773316759268347
ACH-000067,-0.006900491902851086
ACH-000070,0.02059192525840286
ACH-000075,0.10552265491862008
ACH-000078,0.13512921677190914
ACH-000082,-0.038047556758030274
ACH-000085,0.027728610548786416
ACH-000086,0.01936847207828148
ACH-000087,0.11531773624247682
ACH-000092,-0.060707672153209574
ACH-000095,0.10030742605060897
ACH-000097,0.024599743651392586
ACH-000098,-0.07136281416076297
ACH-000099,0.0674919918009827
ACH-000108,-0.09909455346984412
ACH-000113,-0.04794366383179113
ACH-000116,0.014798010292912243
ACH-000118,-0.03215242989232836
ACH-000120,-0.08131652887903996
ACH-000123,0.11310366241226108
ACH-000127,0.02106209488748794
ACH-000128,0.009759384450566427
ACH-000132,0.01232917431477107
ACH-000133,-0.02953605675570912
ACH-000137,-0.046538224064526006
ACH-000138,0.0784220975855271
ACH-000142,0.10903231125006592
ACH-000143,-0.026338412204222075
ACH-000146,0.10537084621634824
ACH-000148,-0.07299138008097407
ACH-000150,0.07518708034860239
ACH-000152,-0.03351134059272198
ACH-000153,0.06927106547001732
ACH-000159,-0.05141065252040725
ACH-000160,0.060349057842394874
ACH-000163,-0.07303594378473009
ACH-000167,-0.022607627471210243
ACH-000168,0.09085206034413633
ACH-000169,-0.09285830537724443
ACH-000178,-0.04941863786325311
ACH-000183,-0.17039677689486776
ACH-000188,-0.1134972417264518
ACH-000189,0.2828224485874916
ACH-000190,-0.12740075794131425
ACH-000198,0.016174565178429842
ACH-000203,-0.15205541270615408
ACH-000204,-0.09678745712352728
ACH-000206,-0.026639256331980696
ACH-000207,0.17724067463479354
ACH-000208,-0.23049193490006606
ACH-000210,-0.12061026956086025
ACH-000211,-0.014366693111708602
ACH-000215,0.05246348518460313
ACH-000221,0.0009750531344474836
ACH-000222,0.1450960250617998
ACH-000223,0.08559529640448776
ACH-000226,0.05944343206994486
ACH-000227,0.04853832459736214
ACH-000228,-0.10933848126544016
ACH-000231,-0.02180087856676112
ACH-000232,-0.04929699469161356
ACH-000233,0.06553064354986411
ACH-000234,-0.0236840744880406
ACH-000235,0.013345708633706923
ACH-000237,-0.011322433659739436
ACH-000238,-0.2114219488178935
ACH-000242,-0.06066569680974484
ACH-000243,0.055768443688967335
ACH-000244,0.17420897800941404
ACH-000246,-0.05511579929249985
ACH-000248,0.06880195082397156
ACH-000250,0.05777955848899855
ACH-000251,0.14039633687190975
ACH-000252,-0.05952832669116665
ACH-000253,0.031369716725531564
ACH-000255,-0.03182108731728631
ACH-000256,0.060353298778916785
ACH-000257,0.25825019013893824
ACH-000258,0.19220883836219388
ACH-000259,0.05318229616303968
ACH-000260,-0.0016344338759267465
ACH-000261,-0.052473439888547684
ACH-000262,0.00878951958511311
ACH-000263,0.09546676947675396
ACH-000264,-0.07826426748085505
ACH-000265,0.09671568055063838
ACH-000266,-0.005511877917477628
ACH-000272,-0.10479331631955834
ACH-000274,0.05329387758995294
ACH-000277,0.022616164011658942
ACH-000278,0.0407845201659252
ACH-000279,0.005090308470202555
ACH-000280,-0.06203987657162404
ACH-000281,0.06312035130125862
ACH-000288,0.07350082949879448
ACH-000291,-0.14820856664784365
ACH-000293,-0.2063269269726391
ACH-000294,0.12185545178128628
ACH-000295,0.0007149235948669673
ACH-000296,0.2275103068794364
ACH-000302,-0.059995361389455965
ACH-000304,-0.10563868835282446
ACH-000307,-0.07466015083125459
ACH-000308,0.08823874304969333
ACH-000310,0.03200250240852047
ACH-000311,0.01926927522528462
ACH-000312,0.17302400823535094
ACH-000315,-0.028037258096761414
ACH-000316,0.028088620137260732
ACH-000317,-0.18266488877149664
ACH-000318,0.11199578864495688
ACH-000319,-0.08668688098704194
ACH-000320,0.0984855017736186
ACH-000322,0.0802864351610164
ACH-000323,-0.17945575942703412
ACH-000324,-0.008569967109129549
ACH-000329,0.04225859213135783
ACH-000330,0.03491202180453808
ACH-000331,-0.04780638929883911
ACH-000332,0.07708884769147914
ACH-000334,0.012095667022594821
ACH-000335,-0.10258404574613583
ACH-000336,-0.04797570258639455
ACH-000337,-0.08284396519154681
ACH-000338,0.3686941996282068
ACH-000339,-0.04135199075066752
