,RIPK2 (8767)
ACH-000004,-0.049656226223549
ACH-000005,-0.07297972476453922
ACH-000007,0.025851550714299305
ACH-000009,0.033856168661097884
ACH-000011,0.11205521008917492
ACH-000012,-0.1290560993331255
ACH-000013,-0.04056313718197799
ACH-000014,-0.08017435011690259
ACH-000015,-0.01675315413580487
ACH-000017,0.047675896375588174
ACH-000018,-0.07235345236655008
ACH-000019,0.004227687773686941
ACH-000021,-0.022267067492763408
ACH-000022,-0.07895151200410515
ACH-000025,0.01600106506342237
ACH-000028,-0.055061830914307386
ACH-000030,-0.04869530407119044
ACH-000035,-0.09521291168745276
ACH-000036,0.03260599529578743
ACH-000037,-0.02499609474392284
ACH-000039,0.007018000373958261
ACH-000040,-0.16787831836269326
ACH-000041,0.0916050132992259
ACH-000042,-0.021000142942828003
ACH-000045,0.10911725455287673
ACH-000047,0.02362182562078524
ACH-000052,0.1964089059322993
ACH-000053,0.005485700620005999
ACH-000054,-0.02705664820682917
ACH-000055,-0.1868026302782932
ACH-000060,-0.16783020627078996
ACH-000067,0.019822074970329024
ACH-000070,0.07623413888105475
ACH-000075,-0.2976685007407314
ACH-000078,0.07842812106738564
ACH-000082,0.04401880813448397
ACH-000085,-0.07803192599470901
ACH-000086,0.09398969916038362
ACH-000087,-0.09247770901159737
ACH-000092,-0.046187602197860285
ACH-000095,0.03551045743925973
ACH-000097,0.033464519027698134
ACH-000098,-0.025048219062056357
ACH-000099,-0.014471580211528069
ACH-000108,-0.018995036413192355
ACH-000113,0.04604426451155599
ACH-000116,-0.004562955117482004
ACH-000118,0.003245213028283788
ACH-000120,0.0626422961283121
ACH-000123,0.041958287658617324
ACH-000127,-0.013029183737123272
ACH-000128,0.08201048228383696
ACH-000132,0.011001679326045262
ACH-000133,0.033079300977285224
ACH-000137,0.03291491426027236
ACH-000138,0.07325985692941847
ACH-000142,0.1109527314810626
ACH-000143,0.015006282421612732
ACH-000146,-8.79693019023396e-05
ACH-000148,0.005314595701997072
ACH-000150,-0.0658350867480884
ACH-000152,-0.1259503147569281
ACH-000153,-0.14577842665197305
ACH-000159,-0.010852437364109185
ACH-000160,0.083195288482509
ACH-000163,-0.13810784693575345
ACH-000167,-0.4350376432057495
ACH-000168,0.0003675224428136639
ACH-000169,-0.039237796653406
ACH-000178,-0.12398390686795152
ACH-000183,-0.005127114851713038
ACH-000188,0.038101636528046594
ACH-000189,0.21665729069857745
ACH-000190,-0.21593649669393136
ACH-000198,0.010908756058642164
ACH-000203,0.3628977970892172
ACH-000204,-0.03072331079209008
ACH-000206,-0.09536995676696496
ACH-000207,-0.028799519616899312
ACH-000208,0.16223945353215222
ACH-000210,-0.3667967793297962
ACH-000211,-0.09545833950459899
ACH-000215,-0.06678977495116754
ACH-000221,0.07205819302384643
ACH-000222,0.026188610920274902
ACH-000223,-0.1615918610383236
ACH-000226,-0.042585131505798283
ACH-000227,-0.029930020288872032
ACH-000228,0.1284099061961496
ACH-000231,-0.06697079184931258
ACH-000232,-0.021357894955931832
ACH-000233,0.05947483933494482
ACH-000234,-0.03289596979480207
ACH-000235,-0.07496072832267077
ACH-000237,-0.02627590970500569
ACH-000238,-0.12447163924933452
ACH-000242,-0.16140552996612506
ACH-000243,-0.07395725129271964
ACH-000244,-0.11695879970149067
ACH-000246,0.017031026791855534
ACH-000248,-0.11985780563989153
ACH-000250,-0.01928478996622749
ACH-000251,0.0051539488617239745
ACH-000252,-0.02272120367092948
ACH-000253,-0.03890841649568698
ACH-000255,0.16478240855390947
ACH-000256,-0.13804438235708014
ACH-000257,-0.15229230667590982
ACH-000258,-0.3822634375216133
ACH-000259,0.02185869932622046
ACH-000260,0.05130618346798063
ACH-000261,-0.040129116626613885
ACH-000262,-0.2211776790961169
ACH-000263,0.03644368676569764
ACH-000264,-0.11247823084057508
ACH-000265,-0.14240206790815169
ACH-000266,-0.03780102250573136
ACH-000272,0.04049949024921781
ACH-000274,-0.04896742737596165
ACH-000277,-0.6079100232206093
ACH-000278,0.015600174304754685
ACH-000279,-0.04264236813357193
ACH-000280,-0.023247751687653338
ACH-000281,0.028305714978266824
ACH-000288,0.20682395540581036
ACH-000291,0.01996081184201746
ACH-000293,0.07668598311415177
ACH-000294,-0.1159130708127913
ACH-000295,-0.10118869296529544
ACH-000296,-0.05131879719790527
ACH-000302,-0.036195235380549785
ACH-000304,-0.0074982984035199965
ACH-000307,-0.0315186099633446
ACH-000308,-0.1366907375513696
ACH-000310,-0.1516674185702782
ACH-000311,-0.07880831158794936
ACH-000312,-0.024409669854174438
ACH-000315,0.04538679035389088
ACH-000316,0.011868696525953872
ACH-000317,0.02644170095852226
ACH-000318,0.11304699871052573
ACH-000319,-0.10171141778451323
ACH-000320,0.09811463810401826
ACH-000322,0.036579934760586165
