,RPL26 (6154)
ACH-000004,-0.7081804528934973
ACH-000005,-0.8890557206539687
ACH-000007,-1.1955353484451217
ACH-000009,-1.0037524780551559
ACH-000011,-0.9751599908265852
ACH-000012,-0.7660870727203332
ACH-000013,-0.9773992882312312
ACH-000014,-0.8195603583734806
ACH-000015,-0.9703982715021072
ACH-000017,-0.8259836660741685
ACH-000018,-1.0274690734358205
ACH-000019,-0.7509534417856799
ACH-000021,-0.826370165628871
ACH-000022,-1.018712719887409
ACH-000025,-0.806948378741001
ACH-000028,-1.1373809229220773
ACH-000030,-0.8618273615064475
ACH-000035,-0.9398398811026516
ACH-000036,-0.9409348641187044
ACH-000037,-1.463573489326021
ACH-000039,-0.913769017392372
ACH-000040,-1.0638509051220515
ACH-000041,-0.9965782000333496
ACH-000042,-0.8133205532278801
ACH-000045,-0.8173039964855028
ACH-000047,-0.79636683658537
ACH-000052,-0.6599184528434249
ACH-000053,-0.9360001530065232
ACH-000054,-0.8536412721163092
ACH-000055,-1.2265249809702674
ACH-000060,-0.9849574275387468
ACH-000067,-1.1144065836877377
ACH-000070,-0.9464373228861516
ACH-000075,-0.7835500674292298
ACH-000078,-1.1440406760990782
ACH-000082,-0.9558097954385804
ACH-000085,-0.9984813394461696
ACH-000086,-1.045230585434779
ACH-000087,-1.1365348490786016
ACH-000092,-0.8766355050202639
ACH-000095,-0.7840975713345858
ACH-000097,-0.9271874386238474
ACH-000098,-0.8762905085898676
ACH-000099,-0.863744056181081
ACH-000108,-0.9338802248124476
ACH-000113,-0.6774677941926761
ACH-000116,-0.9672552056289292
ACH-000118,-1.0174534048321884
ACH-000120,-1.01277002624283
ACH-000123,-0.898729727271235
ACH-000127,-0.7542114647366971
ACH-000128,-0.8416435469529558
ACH-000132,-1.1303370235181125
ACH-000133,-0.7091804186254081
ACH-000137,-0.7324049555857599
ACH-000138,-1.1936412204835092
ACH-000142,-0.9787398657618648
ACH-000143,-1.0958733477906717
ACH-000146,-1.1733458659616676
ACH-000148,-0.7084972247191506
ACH-000150,-0.9102968789243164
ACH-000152,-1.0838241083804416
ACH-000153,-1.0972374621898675
ACH-000159,-0.7964910545285215
ACH-000160,-0.8542330964834826
ACH-000163,-1.0685405542598585
ACH-000167,0.2296968974357932
ACH-000168,-1.1417961925935125
ACH-000169,-0.9240930481438636
ACH-000178,-0.7819682905098527
ACH-000183,-0.9921746209170288
ACH-000188,-1.0189699538143016
ACH-000189,-0.7163925732246704
ACH-000190,-1.1075764195842628
ACH-000198,-0.8652661776555189
ACH-000203,-0.7451673456027904
ACH-000204,-1.0621014507303899
ACH-000206,-0.7043532639493921
ACH-000207,-0.9720295110119382
ACH-000208,-1.099523539388219
ACH-000210,-1.1008556300371857
ACH-000211,-0.8372255081003187
ACH-000215,-0.9503735040516752
ACH-000221,-0.8477554390632203
ACH-000222,-1.058644385438581
ACH-000223,-0.7135611818251797
ACH-000226,-0.9299311427601088
ACH-000227,-0.9450392474086786
ACH-000228,-0.8703244061562276
ACH-000231,-1.0161769111433008
ACH-000232,-0.6997810676119884
ACH-000233,-0.8836952147497061
ACH-000234,-0.5809474030094189
ACH-000235,-0.9574558168498172
ACH-000237,-0.805668874983367
ACH-000238,-0.8731920835482734
ACH-000242,-1.3692456317449448
ACH-000243,-1.1171788243755454
ACH-000244,-1.020331661838065
ACH-000246,-0.9911469158833198
ACH-000248,-0.8742651915981318
ACH-000250,-0.98163673376463
ACH-000251,-0.7550066295207872
ACH-000252,-0.9593437037374191
ACH-000253,-0.8776036632011592
ACH-000255,-0.8184034493589458
ACH-000256,-0.9477510648568338
ACH-000257,-1.0801999650653509
ACH-000258,-0.9345244680089556
ACH-000259,-0.8919089827810855
ACH-000260,-1.086534991074121
ACH-000261,-1.0455340480133943
ACH-000262,-0.9288955167285096
ACH-000263,-1.0002592990979955
ACH-000264,-0.9687048018308492
ACH-000265,-0.7857089539725461
ACH-000266,-1.0056728630421574
ACH-000272,-1.1197737328061848
ACH-000274,-0.8076220499988948
ACH-000277,-0.9069312107836563
ACH-000278,-1.000762733598503
ACH-000279,-1.004990472109532
ACH-000280,-1.1189246625034917
ACH-000281,-1.1331350274880359
ACH-000288,-0.8708659999326531
ACH-000291,-1.1272412547949315
ACH-000293,-0.8875817600825003
ACH-000294,-0.9355356236046918
ACH-000295,-0.9915069056623634
ACH-000296,-0.8517725988711672
ACH-000302,-0.8959911516730485
ACH-000304,-0.7258850985612135
ACH-000307,-0.8808483651583731
ACH-000308,-0.8219126832543829
ACH-000310,-0.8877575805708559
ACH-000311,-0.7652840015451144
ACH-000312,-0.9807269593072172
ACH-000315,-0.7318227023290267
ACH-000316,-1.013775300357621
ACH-000317,-0.8903210285127315
ACH-000318,-0.8827185737101388
ACH-000319,-0.966197683936304
ACH-000320,-1.0300555552692572
ACH-000322,-0.9185501875572404
ACH-000323,-1.2610039589696629
ACH-000324,-1.0223492257887508
ACH-000329,-0.9984161157969562
ACH-000330,-0.9318562161545496
ACH-000331,-0.9253259939709534
ACH-000332,-1.0005167393803882
ACH-000334,-0.3680884743799423
ACH-000335,-1.1530814153929048
ACH-000336,-1.2781130310326998
ACH-000337,-1.1229958743117414
ACH-000338,-1.0046232216603794
ACH-000339,-0.9952086949097396
ACH-000341,-0.8209419818311602
ACH-000348,-0.7983776622403342
ACH-000350,-1.0278262909905422
ACH-000352,-0.8793706828627635
ACH-000356,-0.9252515707013522
ACH-000361,-1.2828619147763347
ACH-000362,-1.0311304753405026
ACH-000363,-1.0453797078510974
ACH-000364,-0.7532334713551727
ACH-000365,-0.6720145776175706
ACH-000366,-0.8127649702676554
ACH-000368,-0.9712576084950352
ACH-000374,-0.9547696687187298
ACH-000375,-1.0379763068721723
ACH-000376,-0.9363814624469716
ACH-000381,-0.9160977919986852
ACH-000383,-0.9152287456349412
ACH-000387,-0.9962905343607822
ACH-000389,-0.954567944083361
ACH-000390,-1.203413274898559
ACH-000393,-0.9618522729676692
ACH-000395,-1.020600373471912
