,SARDH (1757)
ACH-000004,-0.06680095044377526
ACH-000005,-0.19117032402130085
ACH-000007,0.0006210850233220107
ACH-000009,-0.2587324687767021
ACH-000011,-0.06292956875405123
ACH-000012,-0.16902691057987196
ACH-000013,-0.1514366532954711
ACH-000014,0.02487712816702264
ACH-000015,-0.14094944622354655
ACH-000017,-0.10993404158979407
ACH-000018,-0.4078169285139249
ACH-000019,-0.07377800738495867
ACH-000021,-0.15483482411279312
ACH-000022,-0.06492253878221448
ACH-000025,-0.2113840003581476
ACH-000028,0.1353299578731464
ACH-000030,-0.12827538156472493
ACH-000035,0.09880568832617302
ACH-000036,-0.08354233978114811
ACH-000037,-0.11677041863167027
ACH-000039,-0.13613490918874727
ACH-000040,-0.06642726435188552
ACH-000041,-0.22484969752352976
ACH-000042,-0.2386917452703105
ACH-000045,-0.2718794124219912
ACH-000047,-0.07177948292435801
ACH-000052,-0.3368047039390623
ACH-000053,-0.09122636665249632
ACH-000054,-0.16063969709102838
ACH-000055,-0.17539294558573135
ACH-000060,-0.040564317813802965
ACH-000067,0.0441784390253922
ACH-000070,0.02229787013002317
ACH-000075,-0.02887101359197292
ACH-000078,-0.11640384912001217
ACH-000082,0.052305282336298456
ACH-000085,0.055998721239210535
ACH-000086,-0.0363898408125537
ACH-000087,-0.12129111232966268
ACH-000092,-0.0015523169342507152
ACH-000095,-0.11342735086937325
ACH-000097,-0.02082273860079916
ACH-000098,-0.03918271863447368
ACH-000099,-0.13705461468547958
ACH-000108,-0.26948647408920284
ACH-000113,-0.16048021201000764
ACH-000116,-0.10570782258096552
ACH-000118,-0.09640568621218136
ACH-000120,-0.12933921332790596
ACH-000123,-0.17764301429698287
ACH-000127,-0.07653378403603862
ACH-000128,-0.1923161416160548
ACH-000132,-0.10540396960836576
ACH-000133,0.02463665658450741
ACH-000137,-0.009549292512456209
ACH-000138,-0.2310471350073996
ACH-000142,0.10048994758778948
ACH-000143,-0.10892852756794334
ACH-000146,-0.050642453687954
ACH-000148,-0.164377393299844
ACH-000150,-0.14689351810390708
ACH-000152,-0.07868169780425555
ACH-000153,-0.05537053003695337
ACH-000159,-0.08818845531896001
ACH-000160,-0.0725073922516757
ACH-000163,-0.0958819487270296
ACH-000167,-0.0427008574766731
ACH-000168,-0.04934432659266864
ACH-000169,-0.16698062957020374
ACH-000178,-0.03496560035038622
ACH-000183,-0.20159198061908526
ACH-000188,-0.21409758378385332
ACH-000189,-0.15877097443699867
ACH-000190,-0.0629711740882918
ACH-000198,-0.07645594671107121
ACH-000203,-0.153282421518319
ACH-000204,-0.03977185332982487
ACH-000206,-0.08029679756023235
ACH-000207,-0.010038436531263687
ACH-000208,-0.16726109181728058
ACH-000210,0.10790329320446844
ACH-000211,-0.031484383461387176
ACH-000215,-0.10702296969708884
ACH-000221,-0.18559409070531785
ACH-000222,0.05282013268912752
ACH-000223,-0.05214254598134647
ACH-000226,0.14614749326014073
ACH-000227,-0.2479972879542761
ACH-000228,-0.12359679144595816
ACH-000231,-0.1260524539772439
ACH-000232,0.04216293437893241
ACH-000233,-0.10175506746383926
ACH-000234,0.03977209916953398
ACH-000235,-0.0921950137183868
ACH-000237,-0.0599825671732832
ACH-000238,-0.054837829069307766
ACH-000242,-0.09714957466986184
ACH-000243,-0.020655172468934863
ACH-000244,-0.025970635264997745
ACH-000246,-0.18076746614309874
ACH-000248,-0.06293060865025282
ACH-000250,-0.1705624472193148
ACH-000251,-0.2341693940649588
ACH-000252,-0.2492731527185293
ACH-000253,-0.20462468828373787
ACH-000255,-0.07030037528772771
ACH-000256,-0.04177504234525017
ACH-000257,-0.27957368961728746
ACH-000258,-0.1421718912470673
ACH-000259,-0.1681126093449781
ACH-000260,-0.0727000831556632
ACH-000261,-0.045318867068212434
ACH-000262,-0.3030381309182503
ACH-000263,-0.13829378466297354
ACH-000264,-0.06192490115464625
ACH-000265,-0.13197279125489295
ACH-000266,-0.09810807975768987
ACH-000272,-0.11404296408595553
ACH-000274,-0.1473209581916444
ACH-000277,-0.2046244188418668
ACH-000278,-0.10100957500733396
ACH-000279,-0.10112080346221942
ACH-000280,-0.2847295913136727
ACH-000281,-0.38546610487208505
ACH-000288,0.1452140979508874
ACH-000291,-0.06208294418376216
ACH-000293,0.14200794507038728
ACH-000294,-0.2454468543866285
ACH-000295,-0.09290907194400244
ACH-000296,-0.02454220649287097
ACH-000302,-0.022833026751382438
ACH-000304,-0.43249493408435147
ACH-000307,-0.08245013252293028
ACH-000308,-0.07570897823646522
ACH-000310,-0.07108585672918973
ACH-000311,-0.02694120840108131
ACH-000312,-0.09076221547589476
ACH-000315,-0.2207999495859253
ACH-000316,-0.1330170582658056
ACH-000317,-0.12885703280962266
ACH-000318,-0.09146082228289204
ACH-000319,0.058156558220252765
ACH-000320,-0.14110854278755014
ACH-000322,0.10946774325251499
ACH-000323,-0.17562598429554316
ACH-000324,-0.05065819712923903
ACH-000329,-0.08800128001212368
ACH-000330,-0.08057110958057875
ACH-000331,-0.030692067804086967
ACH-000332,-0.12467481895830605
ACH-000334,0.04502055635183348
ACH-000335,-0.07757550033237777
ACH-000336,0.0040103804156833185
ACH-000337,-0.08364623033855953
ACH-000338,0.18028389159504948
ACH-000339,-0.037880456618732065
ACH-000341,-0.1940760754229062
ACH-000348,-0.03737257652112043
ACH-000350,-0.18082939930916586
ACH-000352,0.042175228622876634
ACH-000356,0.1444748164959387
ACH-000361,0.06303640086515333
ACH-000362,-0.1056362063067976
ACH-000363,-0.13364778333695046
ACH-000364,-0.158862378128061
ACH-000365,-0.1440430035324087
ACH-000366,-0.23744730613697546
ACH-000368,-0.029783321688711777
ACH-000374,0.10718243777573204
ACH-000375,-0.10672612546809848
ACH-000376,-0.08290072379414715
ACH-000381,-0.13833892551037374
ACH-000383,-0.0800181954350958
ACH-000387,-0.0976974901371668
ACH-000389,-0.14486859932350218
ACH-000390,-0.14627267898504673
ACH-000393,-0.14821854515738855
ACH-000395,-0.2446912733800145
ACH-000396,-0.2297652027055169
ACH-000397,-0.2028875925787352
ACH-000401,-0.12269245624912704
ACH-000402,-0.22780527362412065
ACH-000403,-0.05536836576883277
ACH-000404,-0.06193572293520368
ACH-000406,-0.07637865723520793
ACH-000407,-0.1290013041426187
ACH-000408,-0.2839335030360787
ACH-000410,-0.042693360259295696
ACH-000411,0.022034977067621773
ACH-000414,-0.09730861847858392
ACH-000415,0.010790015411978836
ACH-000416,-0.058343344586379076
ACH-000420,-0.17620846323476694
ACH-000421,-0.039569960199829037
ACH-000424,-0.23792615155966726
ACH-000425,-0.07329833241486322
ACH-000426,-0.129482184678867
ACH-000427,-0.09192063034150393
ACH-000433,-0.1595601883164212
ACH-000435,-0.019468808654890167
ACH-000436,-0.07586520241840984
ACH-000444,-0.007009344817661397
ACH-000445,-0.2451140600133248
ACH-000448,-0.14251590010285406
ACH-000450,-0.03226149957033915
ACH-000452,-0.059064589256751884
ACH-000454,-0.06185826127046159
ACH-000458,-0.10412329328374048
ACH-000459,-0.0836727948270632
ACH-000460,-0.09592046307594658
ACH-000461,0.021018629678994982
ACH-000463,-0.2393242822467897
ACH-000464,-0.0570011988166305
ACH-000466,-0.016224735585078785
ACH-000467,-0.07372528046601552
ACH-000468,-0.1901797239274342
ACH-000469,-0.10234573793526082
ACH-000470,-0.05589865720479692
ACH-000471,-0.0967565847825442
ACH-000472,-0.061006559632346025
ACH-000473,-0.1876809052392747
ACH-000475,-0.08035489488370344
ACH-000476,-0.0971810612224073
ACH-000477,-0.0864652557572607
ACH-000479,-0.02012397680746502
ACH-000480,-0.06813766515450917
ACH-000481,-0.008485236485297502
ACH-000483,0.06323445685304578
ACH-000484,-0.04675518206912426
ACH-000485,-0.1063186970608306
ACH-000486,-0.03140236639199867
ACH-000487,-0.06819969746711718
ACH-000488,-0.10442344794292804
ACH-000490,-0.13981759174812508
ACH-000491,-0.02199086729419833
ACH-000495,-0.12013747677945068
ACH-000496,-0.1386552977808821
ACH-000499,-0.007452272073528173
ACH-000500,0.2521433187310961
ACH-000502,0.01962717048812901
ACH-000503,0.03567779642777065
ACH-000505,-0.06401516214588979
ACH-000507,-0.06782009621534799
ACH-000510,-0.1298434166401968
ACH-000511,-0.07848594213414449
ACH-000512,0.004834299295463904
ACH-000516,-0.016505289967758855
ACH-000517,-0.1225800751828872
ACH-000518,-0.03275446472572265
ACH-000520,-0.055709830978540965
ACH-000521,-0.16361818251543078
ACH-000522,0.004694456082734871
ACH-000524,-0.10459363270949312
ACH-000527,-0.12338203737213416
ACH-000528,-0.0853380202846041
ACH-000537,-0.0610109814551574
ACH-000541,0.08624077482081655
ACH-000542,-0.06458047838785627
ACH-000544,0.05501989812846789
ACH-000545,-0.07993425604859386
ACH-000547,-0.037846770041898126
ACH-000548,-0.04834537567062574
ACH-000549,-0.18178093302322826
ACH-000550,-0.15986482444553854
ACH-000552,-0.14973975614205334
ACH-000556,-0.1753438297580595
ACH-000557,-0.08271365637672735
ACH-000569,-0.019915054611520815
ACH-000570,-0.017431164481896296
ACH-000571,-0.0506306311715737
ACH-000573,-0.0130552223507576
ACH-000576,0.013873385389199595
ACH-000579,-0.15485546640462575
ACH-000580,0.11982555057831805
ACH-000584,-0.19086014582563648
ACH-000585,-0.1116120246789596
ACH-000588,-0.2098407939364208
ACH-000589,0.003314279097485389
ACH-000591,-0.08965349919478482
ACH-000593,-0.31203641293490353
ACH-000600,-0.017369803812464862
ACH-000601,-0.10417857318455304
ACH-000605,0.0586278587375857
ACH-000606,-0.09088723694604854
ACH-000608,-0.1481139065287394
ACH-000614,-0.13190672300479905
ACH-000616,-0.07340020279356761
ACH-000618,-0.026777332300908008
ACH-000619,-0.4586767281626721
ACH-000620,-0.047537182932148335
ACH-000621,-0.20046574816178056
ACH-000622,-0.20342727825471493
ACH-000623,0.017146086598864973
ACH-000624,-0.03547188124253519
ACH-000627,-0.10602318133584343
ACH-000630,-0.09314919068722692
ACH-000631,-0.23336858984403985
ACH-000632,-0.007930067895802199
ACH-000633,-0.10308032791985997
ACH-000637,-0.215067598492837
ACH-000638,0.033034128935038924
ACH-000646,-0.03813904386926615
ACH-000647,-0.01805810366718449
ACH-000648,-0.08199346881161257
ACH-000649,-0.1217559677816223
ACH-000651,-0.1870238769577135
ACH-000652,-0.17659759149750087
ACH-000653,-0.07882900347879457
ACH-000657,-0.11332098909797288
ACH-000658,-0.203061194657548
ACH-000661,-0.030165007177172014
ACH-000662,0.07127349131322523
ACH-000663,-0.04717639154342515
ACH-000665,-0.09759067539218223
ACH-000671,-0.2519013614508588
ACH-000672,-0.025406853818838702
ACH-000673,-0.04769919468641582
ACH-000676,-0.15358188442476622
ACH-000677,0.04227568863100285
ACH-000681,-0.17772490089502546
ACH-000683,-0.1601986802390075
ACH-000684,0.05436079922859642
ACH-000688,-0.1944454976473126
ACH-000693,-0.08827582185641465
ACH-000694,-0.16427411454370128
ACH-000695,-0.12790270545337604
ACH-000696,-0.03894799079986663
ACH-000697,-0.05236521890363526
