,DepMap_ID
6321,ACH-000019
29570,ACH-000074
54719,ACH-000173
105964,ACH-000327
124410,ACH-000377
159466,ACH-000465
190411,ACH-000542
200800,ACH-000563
202398,ACH-000566
214079,ACH-000592
238590,ACH-000643
239043,ACH-000644
264844,ACH-000693
275713,ACH-000712
276669,ACH-000714
303793,ACH-000762
314552,ACH-000778
316345,ACH-000780
358531,ACH-000789
382305,ACH-000819
425380,ACH-000871
436025,ACH-000880
446149,ACH-000888
517376,ACH-000934
546898,ACH-000945
596332,ACH-000961
653387,ACH-000977
711793,ACH-000987
747811,ACH-000991
842241,ACH-000995
851692,ACH-000996
851693,ACH-000996
851694,ACH-000996
851695,ACH-000996
862915,ACH-000997
862916,ACH-000997
862917,ACH-000997
888585,ACH-000999
912201,ACH-001033
969174,ACH-001275
982605,ACH-001341
1008050,ACH-001399
1042871,ACH-001546
1053618,ACH-001554
1059601,ACH-001568
1077700,ACH-001650
1088945,ACH-001736
1138229,ACH-002175
1169060,ACH-002238
1212140,ACH-002309
1223281,ACH-002341
1227460,ACH-002352
