,SHC4 (399694)
ACH-000004,-0.18706725413707367
ACH-000005,-0.23341079945735094
ACH-000007,0.06847786455576729
ACH-000009,-0.33023120630432057
ACH-000011,-0.26157935048377795
ACH-000012,-0.08289997659332833
ACH-000013,-0.09225171971111212
ACH-000014,-0.1562024299537716
ACH-000015,-0.13404318878582394
ACH-000017,-0.2054290174539259
ACH-000018,-0.08050297298457326
ACH-000019,-0.18985174693197046
ACH-000021,-0.09133983591631464
ACH-000022,-0.14780256689444835
ACH-000025,-0.1275464220832884
ACH-000028,0.12448094939450766
ACH-000030,-0.08890996053087558
ACH-000035,-0.07006669387332654
ACH-000036,-0.020196361199461492
ACH-000037,-0.06326883873990409
ACH-000039,0.09625028345098482
ACH-000040,-0.24771579757401516
ACH-000041,-0.02947952550971286
ACH-000042,-0.09084801063454746
ACH-000045,-0.083637846884818
ACH-000047,-0.10604219884210957
ACH-000052,-0.12739407869624006
ACH-000053,-0.12300352598703068
ACH-000054,-0.13994982833893685
ACH-000055,-0.13641545767433494
ACH-000060,-0.10591086168692604
ACH-000067,-0.08947268171415394
ACH-000070,0.066017226942104
ACH-000075,-0.08269458090492113
ACH-000078,0.03849068906093614
ACH-000082,-0.04502367890699625
ACH-000085,-0.05697323633554556
ACH-000086,-0.2041916212825156
ACH-000087,-0.10061999516385994
ACH-000092,-0.13149197598204326
ACH-000095,0.035942396199742134
ACH-000097,0.010125770722262357
ACH-000098,-0.10378497196830742
ACH-000099,-0.14036632838879418
ACH-000108,-0.06389389352624343
ACH-000113,-0.07282438517773622
ACH-000116,-0.045910054786126364
ACH-000118,-0.004686915068962343
ACH-000120,-0.0803247374809727
ACH-000123,-0.1908415956934532
ACH-000127,-0.1307775951346906
ACH-000128,0.03616737676397724
ACH-000132,-0.24557276866652306
ACH-000133,0.037925399230352784
ACH-000137,-0.1951314243520532
ACH-000138,-0.037637720615412734
ACH-000142,0.01276331255458877
ACH-000143,-0.19894712773317247
ACH-000146,-0.10897270099759224
ACH-000148,-0.16542102620271984
ACH-000150,0.0032694572591527326
ACH-000152,-0.007373151722355495
ACH-000153,-0.2289111332184481
ACH-000159,-0.07754151165389107
ACH-000160,-0.11348388473650099
ACH-000163,-0.03753979801158604
ACH-000167,-0.095595921262521
ACH-000168,-0.1715258655959641
ACH-000169,0.03152406298481207
ACH-000178,-0.11212902288414972
ACH-000183,-0.2483860234850224
ACH-000188,-0.085894115807386
ACH-000189,-0.058037607783645764
ACH-000190,-0.17918471545332346
ACH-000198,-0.1865165756103448
ACH-000203,-0.06448100570732218
ACH-000204,-0.6558622214226271
ACH-000206,-0.06280467954080575
ACH-000207,-0.03650757553159456
ACH-000208,0.029178212326885805
ACH-000210,0.11802829626024088
ACH-000211,-0.10168572082901678
ACH-000215,-0.09692384605615856
ACH-000221,-0.19267323902766675
ACH-000222,0.008402825300742175
ACH-000223,-0.13388041213171775
ACH-000226,-0.05344803733295588
ACH-000227,-0.13287764689799308
ACH-000228,-0.06588681486936045
ACH-000231,-0.0635849636312419
ACH-000232,-0.1335011524563921
ACH-000233,-0.2172292175378516
ACH-000234,0.026506097748064474
ACH-000235,-0.11594299818670707
ACH-000237,-0.020804718293326755
ACH-000238,-0.07147947628035269
ACH-000242,0.12832012831600104
ACH-000243,-0.14746635965819474
ACH-000244,-0.20531523932551726
ACH-000246,-0.06089861951887347
ACH-000248,-0.06340153500440056
ACH-000250,-0.10465794488581212
ACH-000251,0.039839674745203786
ACH-000252,-0.15570338986639504
ACH-000253,-0.1825913944185339
ACH-000255,-0.1279035194253963
ACH-000256,0.011692231515511159
ACH-000257,-0.26824243406040604
ACH-000258,-0.27294508186465044
ACH-000259,-0.12469537038478395
ACH-000260,-0.06517658847464765
ACH-000261,-0.09393568862089352
ACH-000262,-0.2631619693715915
ACH-000263,-0.1414404771102167
ACH-000264,-0.14451136054006108
ACH-000265,-0.2076806000208007
ACH-000266,-0.1442854926956592
ACH-000272,-0.2343806659344992
ACH-000274,-0.1247226962542702
ACH-000277,-0.08131510896837832
ACH-000278,0.029023471811190107
ACH-000279,-0.1974781299890012
ACH-000280,-0.07733417571522297
ACH-000281,0.03328047181268014
ACH-000288,-0.12131540354710495
ACH-000291,-0.10268294007731801
ACH-000293,-0.04548375995716375
ACH-000294,-0.28516121237368514
ACH-000295,-0.011720745304802237
ACH-000296,-0.2335635607322116
ACH-000302,-0.14027691579951393
ACH-000304,0.10283281807690756
ACH-000307,-0.24586517146104986
ACH-000308,-0.12365289631646666
ACH-000310,-0.12286871896084195
ACH-000311,-0.32149731102142337
ACH-000312,-0.12357897958135446
ACH-000315,-0.11727327644453935
ACH-000316,-0.0640545258194632
