,SLCO1B1 (10599)
ACH-000004,0.17357430642930605
ACH-000005,0.22949737335884535
ACH-000007,0.275441980165693
ACH-000009,0.19000294624418373
ACH-000011,0.20763397693167399
ACH-000012,0.2899243760143909
ACH-000013,0.1896346532589288
ACH-000014,0.1283536651510243
ACH-000015,0.2448105421988964
ACH-000017,0.12123414232489133
ACH-000018,0.16596546267855947
ACH-000019,0.19034311469786144
ACH-000021,0.20854716617397787
ACH-000022,0.18984382246308884
ACH-000025,0.2766328583498785
ACH-000028,0.3054706254267516
ACH-000030,0.2236596710249626
ACH-000035,0.2604513998898581
ACH-000036,0.11944963767696705
ACH-000037,0.3024717870028721
ACH-000039,0.18680169828163584
ACH-000040,0.053073999331477134
ACH-000041,0.2291217818725382
ACH-000042,0.1616295856404926
ACH-000045,0.19125151212844066
ACH-000047,0.12571277949305534
ACH-000052,0.16554268905423938
ACH-000053,0.21764369991634716
ACH-000054,0.11344942860223832
ACH-000055,0.09230425933603026
ACH-000060,0.15204158370140022
ACH-000067,0.2679602048754593
ACH-000070,0.1870516268234121
ACH-000075,0.2593234117989521
ACH-000078,0.3829159523540511
ACH-000082,0.1841313337595996
ACH-000085,0.2357564033604931
ACH-000086,0.1850141296618452
ACH-000087,0.21141623734186069
ACH-000092,0.1781275169653816
ACH-000095,0.22230504177201327
ACH-000097,0.2404810245735839
ACH-000098,0.1947510536087436
ACH-000099,0.21710848578157588
ACH-000108,0.29027606277014234
ACH-000113,0.13414881230075096
ACH-000116,0.2733840652855776
ACH-000118,0.1637870279875798
ACH-000120,0.22134247310921326
ACH-000123,0.2939671391101385
ACH-000127,0.11244950279354332
ACH-000128,0.2510851442610238
ACH-000132,0.10734301128727107
ACH-000133,0.09572682948895722
ACH-000137,0.1140192930332454
ACH-000138,0.10960704379410252
ACH-000142,0.21395541357473824
ACH-000143,0.0994442659496693
ACH-000146,0.16428428956522614
ACH-000148,0.1592601453912128
ACH-000150,0.060676742225933215
ACH-000152,0.23468884864707096
ACH-000153,-0.06206641105477567
ACH-000159,0.15813390773271158
ACH-000160,0.16161185613183146
ACH-000163,0.11964778614065576
ACH-000167,0.10458030435449292
ACH-000168,0.20093792331452404
ACH-000169,0.1514112499743103
ACH-000178,0.20173651061064568
ACH-000183,0.12738362551263835
ACH-000188,0.2982779093076698
ACH-000189,0.16436097720836226
ACH-000190,0.2277725356588171
ACH-000198,0.20670207863364093
ACH-000203,-0.10270809673796368
ACH-000204,0.07996030902703499
ACH-000206,0.14831787064623775
ACH-000207,0.2479025649461257
ACH-000208,0.3020511168223799
ACH-000210,-0.03247189716922722
ACH-000211,0.23528903862040815
ACH-000215,0.20109431084540824
ACH-000221,0.09246541084799634
ACH-000222,0.1581817243077373
ACH-000223,0.1180287600756776
ACH-000226,0.13001789248099327
ACH-000227,0.07532585066006622
ACH-000228,0.2052475737802651
ACH-000231,0.10127446906805218
ACH-000232,0.11862891038784765
ACH-000233,0.1812616390397296
ACH-000234,0.12101307278669607
ACH-000235,0.14705358100593593
ACH-000237,0.15706240629006704
ACH-000238,0.10742237330452074
ACH-000242,0.20781237506415448
ACH-000243,0.17041400690004055
ACH-000244,-0.028577294475858217
ACH-000246,0.1211025934857992
ACH-000248,0.17681217992792722
ACH-000250,0.15158030659255284
ACH-000251,0.18897214228293666
ACH-000252,0.2253071081556185
ACH-000253,0.04787226948863992
ACH-000255,-0.06791155008351639
ACH-000256,0.11894729866667235
ACH-000257,0.2077962353088113
ACH-000258,0.19773463291755689
ACH-000259,0.07593453059133398
ACH-000260,0.2385494044534383
ACH-000261,0.16093815343797496
ACH-000262,0.281002212553646
ACH-000263,0.19189107977255013
ACH-000264,0.15417059608468653
ACH-000265,0.1649107477672714
ACH-000266,0.14440089272934828
ACH-000272,0.20800599092574887
ACH-000274,0.0889564656503066
ACH-000277,0.18826031707534135
ACH-000278,0.18620872659687332
ACH-000279,0.22228597721211185
ACH-000280,0.2187358235376264
ACH-000281,0.2209847219096092
ACH-000288,0.09924654261131396
ACH-000291,0.24736927704729364
ACH-000293,0.19395080128704456
ACH-000294,0.1179562647604711
ACH-000295,0.3588662386503624
ACH-000296,0.21410469909056287
ACH-000302,0.18677616981675865
ACH-000304,0.12679929186819353
ACH-000307,0.13829731260346256
ACH-000308,0.1285281589023652
ACH-000310,0.02269682788471403
ACH-000311,-0.02512487702557276
ACH-000312,0.1534795342176064
ACH-000315,0.3354825947962298
ACH-000316,0.19445757905166647
ACH-000317,0.14574086594595667
ACH-000318,0.2450675075468328
ACH-000319,0.12411094939250855
ACH-000320,-0.009163905207560488
ACH-000322,0.02571111942042636
ACH-000323,0.08735469219408036
ACH-000324,0.21550505104458573
ACH-000329,0.21734322564803912
ACH-000330,0.14860801024585685
ACH-000331,0.10687095567654913
ACH-000332,0.07545452209595885
ACH-000334,0.2789710080778057
ACH-000335,0.1454375726684974
ACH-000336,0.16935390594682068
ACH-000337,0.2453364415600492
ACH-000338,0.2318382318095477
ACH-000339,0.14161621218740802
ACH-000341,0.199911397127272
ACH-000348,0.17484392501227586
ACH-000350,0.15172489970763664
ACH-000352,0.2170504906511269
ACH-000356,0.1471389355112508
ACH-000361,0.1799206050061236
ACH-000362,0.09904456744492908
ACH-000363,0.14940349449446885
ACH-000364,0.08891268020750287
ACH-000365,0.22112038660760494
ACH-000366,0.25604235616750715
ACH-000368,0.32418983282397423
ACH-000374,0.200577550395305
ACH-000375,0.2357056531940797
ACH-000376,0.2505098073461466
ACH-000381,0.15433271888367547
ACH-000383,0.1790305555488367
ACH-000387,0.09667003478820456
ACH-000389,0.20424687787049572
ACH-000390,0.1373074569699941
ACH-000393,0.3043835907833925
ACH-000395,0.14592697599425894
ACH-000396,0.3743658940396739
ACH-000397,0.21669485062790012
ACH-000401,0.09561424692612534
ACH-000402,0.4378866672397564
ACH-000403,0.2208410466521441
ACH-000404,-0.02840549587932925
ACH-000406,0.13391965315267054
ACH-000407,0.13377331980710708
ACH-000408,0.24172813844106594
ACH-000410,0.13681766261778985
ACH-000411,0.1830202796541104
ACH-000414,0.14150817888927644
ACH-000415,0.13928038851721536
ACH-000416,0.20714450365540926
ACH-000420,0.1451585272112448
ACH-000421,0.2298086593699012
ACH-000424,0.2273579182294483
ACH-000425,0.1533070937976579
ACH-000426,0.053128226589463486
ACH-000427,0.10133384256281394
ACH-000433,0.12586004742228105
ACH-000435,0.223250646220472
ACH-000436,0.0986651706379904
ACH-000444,0.20615399962093325
ACH-000445,0.1492040306673375
ACH-000448,0.0860755881770162
ACH-000450,0.4317799457113264
ACH-000452,0.09421291933021098
ACH-000454,0.11696141380392545
ACH-000458,0.21617397883121692
ACH-000459,0.06534915588101428
ACH-000460,0.1892899994096304
ACH-000461,0.1999723964193114
ACH-000463,0.09664933397035852
ACH-000464,0.2029643936807076
ACH-000466,0.2428140355227956
ACH-000467,0.14826148378827325
ACH-000468,0.17295284331007452
ACH-000469,0.16988266865333793
ACH-000470,0.1175170871035046
ACH-000471,0.2122571578776894
ACH-000472,0.2493672727360408
ACH-000473,0.2189624659338293
ACH-000475,0.16824515051316008
ACH-000476,0.209556153949275
ACH-000477,0.12420491527391045
ACH-000479,0.25529327762724724
ACH-000480,0.1373997112941228
ACH-000481,0.296453420200799
ACH-000483,0.20414639589676814
ACH-000484,0.31413347763763
ACH-000485,0.1755904177936518
ACH-000486,0.12409439155073318
ACH-000487,0.10237839311544336
ACH-000488,0.130706934600768
ACH-000490,0.16210773260276845
ACH-000491,0.20489417253725029
ACH-000495,0.04451313710025254
ACH-000496,0.11224880594269457
ACH-000499,-0.0445781578327186
ACH-000500,0.13574141568105355
ACH-000502,0.10666931471843497
ACH-000503,0.2784474595702444
ACH-000505,0.15556440617661668
ACH-000507,0.20396758790068625
ACH-000510,0.1652773877921368
ACH-000511,0.06417494642407982
ACH-000512,0.1971786500223279
ACH-000516,0.2082397141028468
ACH-000517,0.1070890675561958
ACH-000518,0.14751635616499664
ACH-000520,0.05735075521535539
ACH-000521,0.19082546892764007
ACH-000522,0.11921771826827884
ACH-000524,0.1383229240352325
ACH-000527,0.14620079948567105
ACH-000528,0.1811616597023918
ACH-000537,0.16604574790641866
ACH-000541,0.16208992047445805
ACH-000542,0.24118174078534566
ACH-000544,0.07427322104090303
ACH-000545,0.1189516623371339
ACH-000547,0.2086976161914592
ACH-000548,0.08914773888370779
ACH-000549,0.2025484699405205
ACH-000550,0.1495409726967741
ACH-000552,0.11628652957393767
ACH-000556,0.05845144759068481
ACH-000557,0.14106032705220334
ACH-000569,-0.05847575323201814
ACH-000570,0.22045128085159385
ACH-000571,0.18136949522641635
ACH-000573,0.10907821195879347
ACH-000576,0.1527155076465206
ACH-000579,0.19691983046163955
ACH-000580,0.20096267993937508
ACH-000584,0.2965901043516732
ACH-000585,0.13483193985213454
