,DepMap_ID
2856,ACH-000009
63996,ACH-000204
64753,ACH-000206
85576,ACH-000269
93238,ACH-000294
99862,ACH-000312
106591,ACH-000328
122684,ACH-000372
145733,ACH-000430
158892,ACH-000463
165684,ACH-000480
192538,ACH-000546
201084,ACH-000563
211299,ACH-000586
220692,ACH-000606
225947,ACH-000617
249274,ACH-000663
287680,ACH-000733
298039,ACH-000752
305437,ACH-000764
314087,ACH-000777
319193,ACH-000783
319972,ACH-000784
319973,ACH-000784
348092,ACH-000786
348093,ACH-000786
348094,ACH-000786
348095,ACH-000786
348096,ACH-000786
348097,ACH-000786
348098,ACH-000786
348099,ACH-000786
348100,ACH-000786
359829,ACH-000790
362109,ACH-000793
403082,ACH-000845
442045,ACH-000884
454943,ACH-000895
475388,ACH-000912
479019,ACH-000914
482774,ACH-000916
495412,ACH-000922
503312,ACH-000927
505563,ACH-000928
511004,ACH-000930
525793,ACH-000937
528869,ACH-000938
534425,ACH-000940
543512,ACH-000943
543513,ACH-000943
548333,ACH-000945
570385,ACH-000953
582216,ACH-000956
594644,ACH-000960
627056,ACH-000969
630957,ACH-000970
635182,ACH-000971
646716,ACH-000974
650350,ACH-000975
650351,ACH-000975
668351,ACH-000979
668352,ACH-000979
683247,ACH-000982
693386,ACH-000984
707915,ACH-000986
722527,ACH-000988
729768,ACH-000989
729769,ACH-000989
806861,ACH-000992
806862,ACH-000992
806863,ACH-000992
806864,ACH-000992
837827,ACH-000994
837828,ACH-000994
846618,ACH-000995
846619,ACH-000995
857352,ACH-000996
878627,ACH-000998
901661,ACH-000999
901662,ACH-000999
988602,ACH-001345
988603,ACH-001345
1003358,ACH-001377
1011956,ACH-001408
1011957,ACH-001408
1018560,ACH-001433
1038499,ACH-001529
1043445,ACH-001546
1092415,ACH-001738
1100027,ACH-002043
1128171,ACH-002159
1142438,ACH-002180
1151057,ACH-002205
1200666,ACH-002286
1220399,ACH-002336
