,DepMap_ID
5861,ACH-000018
20123,ACH-000060
20355,ACH-000061
20356,ACH-000061
21258,ACH-000065
21259,ACH-000065
36728,ACH-000105
37394,ACH-000108
38435,ACH-000111
38972,ACH-000113
38973,ACH-000113
40802,ACH-000121
41013,ACH-000122
42124,ACH-000127
46573,ACH-000144
47596,ACH-000147
50596,ACH-000158
55630,ACH-000177
56015,ACH-000178
57798,ACH-000184
58872,ACH-000189
60447,ACH-000195
64823,ACH-000207
68366,ACH-000219
70281,ACH-000223
73407,ACH-000234
75771,ACH-000242
76589,ACH-000245
76925,ACH-000246
77111,ACH-000247
78408,ACH-000249
86916,ACH-000275
88210,ACH-000279
91987,ACH-000291
114454,ACH-000351
114911,ACH-000352
115382,ACH-000353
117421,ACH-000358
122780,ACH-000373
129432,ACH-000390
132059,ACH-000396
133860,ACH-000401
137306,ACH-000410
147971,ACH-000436
148473,ACH-000438
150767,ACH-000444
157382,ACH-000460
160119,ACH-000467
160641,ACH-000468
160642,ACH-000468
163861,ACH-000476
167503,ACH-000485
168781,ACH-000488
170343,ACH-000491
177915,ACH-000511
180502,ACH-000516
184595,ACH-000526
188065,ACH-000536
189788,ACH-000541
195007,ACH-000552
198276,ACH-000559
200135,ACH-000562
201775,ACH-000565
208788,ACH-000582
209754,ACH-000584
219737,ACH-000605
227410,ACH-000621
228038,ACH-000622
235715,ACH-000638
238448,ACH-000643
238449,ACH-000643
243016,ACH-000652
243986,ACH-000654
243987,ACH-000654
248882,ACH-000663
254107,ACH-000672
254892,ACH-000673
256470,ACH-000676
256471,ACH-000676
257160,ACH-000677
261820,ACH-000686
267078,ACH-000697
270140,ACH-000701
272330,ACH-000705
276421,ACH-000714
278179,ACH-000717
282586,ACH-000725
284464,ACH-000728
304862,ACH-000764
308169,ACH-000769
308751,ACH-000770
321302,ACH-000786
321303,ACH-000786
321304,ACH-000786
321305,ACH-000786
321306,ACH-000786
321307,ACH-000786
321308,ACH-000786
321309,ACH-000786
321310,ACH-000786
321311,ACH-000786
321312,ACH-000786
321313,ACH-000786
321314,ACH-000786
321315,ACH-000786
321316,ACH-000786
321317,ACH-000786
321318,ACH-000786
321319,ACH-000786
321320,ACH-000786
321321,ACH-000786
321322,ACH-000786
356774,ACH-000787
359161,ACH-000790
370537,ACH-000805
370538,ACH-000805
371573,ACH-000806
374838,ACH-000810
380666,ACH-000817
382103,ACH-000819
385259,ACH-000823
387810,ACH-000826
392649,ACH-000832
393237,ACH-000833
395226,ACH-000836
395469,ACH-000837
396294,ACH-000838
398298,ACH-000841
398299,ACH-000841
416428,ACH-000862
416429,ACH-000862
416430,ACH-000862
416431,ACH-000862
416432,ACH-000862
418887,ACH-000865
421133,ACH-000867
421134,ACH-000867
423666,ACH-000870
427906,ACH-000873
440602,ACH-000884
440603,ACH-000884
455943,ACH-000897
462685,ACH-000903
462686,ACH-000903
465445,ACH-000906
472217,ACH-000911
472218,ACH-000911
477179,ACH-000914
479553,ACH-000915
484532,ACH-000918
484533,ACH-000918
484534,ACH-000918
486247,ACH-000919
486248,ACH-000919
488686,ACH-000920
488687,ACH-000920
488688,ACH-000920
494173,ACH-000922
495843,ACH-000923
498716,ACH-000925
498717,ACH-000925
498718,ACH-000925
498719,ACH-000925
503664,ACH-000928
503665,ACH-000928
503666,ACH-000928
508716,ACH-000930
508717,ACH-000930
516886,ACH-000934
519721,ACH-000936
521808,ACH-000937
521809,ACH-000937
521810,ACH-000937
526922,ACH-000938
529393,ACH-000939
544572,ACH-000944
551978,ACH-000947
551979,ACH-000947
554482,ACH-000948
557517,ACH-000949
559865,ACH-000950
559866,ACH-000950
562947,ACH-000951
565783,ACH-000952
565784,ACH-000952
565785,ACH-000952
565786,ACH-000952
579870,ACH-000956
579871,ACH-000956
582820,ACH-000957
585774,ACH-000958
589496,ACH-000959
592500,ACH-000960
592501,ACH-000960
595290,ACH-000961
598883,ACH-000962
602302,ACH-000963
602303,ACH-000963
606424,ACH-000964
608892,ACH-000965
608893,ACH-000965
608894,ACH-000965
608895,ACH-000965
612303,ACH-000966
616411,ACH-000967
623334,ACH-000969
627967,ACH-000970
