,ST8SIA1 (6489)
ACH-000004,-0.2211863131855836
ACH-000005,0.2901824292169247
ACH-000007,-0.16367665360406725
ACH-000009,-0.06499979249155963
ACH-000011,-0.03408965821540032
ACH-000012,0.16503849880843802
ACH-000013,0.03590755910630936
ACH-000014,0.112851406699604
ACH-000015,-0.06741140725224619
ACH-000017,-0.119424900687569
ACH-000018,0.009679114855189972
ACH-000019,0.009444219439077
ACH-000021,0.0008220356138112441
ACH-000022,0.08378482558694006
ACH-000025,-0.03342485232295731
ACH-000028,0.02365941359134437
ACH-000030,0.0670073766375965
ACH-000035,0.003940351500618669
ACH-000036,-0.07812749218324302
ACH-000037,0.10571011843794367
ACH-000039,0.04750558346784425
ACH-000040,0.08645610800915518
ACH-000041,-0.1082013138077905
ACH-000042,0.17045841881302606
ACH-000045,-0.041902635336991366
ACH-000047,-0.0034848766812786533
ACH-000052,0.13284125229374882
ACH-000053,0.09393816037489816
ACH-000054,-0.09553915564495312
ACH-000055,0.09008966568510793
ACH-000060,0.049319989046531634
ACH-000067,0.1176996110134383
ACH-000070,0.1731359851757675
ACH-000075,-0.020307044515052056
ACH-000078,0.07132409436478901
ACH-000082,-0.0297600462185293
ACH-000085,-0.05641280182463172
ACH-000086,-0.09447549932002487
ACH-000087,0.3398304505587337
ACH-000092,0.1293384621226337
ACH-000095,0.1171482074085626
ACH-000097,0.02932925174587742
ACH-000098,0.05395361973018005
ACH-000099,-0.02604907527729473
ACH-000108,0.08974241757313862
ACH-000113,-0.1529110627249402
ACH-000116,-0.02898489791743424
ACH-000118,-0.14018127075204995
ACH-000120,0.02599159419607584
ACH-000123,-0.037040879366233605
ACH-000127,-0.07008921183420183
ACH-000128,0.028503271251765924
ACH-000132,0.005323966428903472
ACH-000133,-0.009639070130363643
ACH-000137,-0.20540971437467165
ACH-000138,-0.013538628025612584
ACH-000142,-0.0561233033851535
ACH-000143,-0.2302498655689327
ACH-000146,-0.09735555664922547
ACH-000148,0.11795781947726047
ACH-000150,0.04395298056727048
ACH-000152,0.020540984266925875
ACH-000153,0.005725603302504378
ACH-000159,-0.032064823580753146
ACH-000160,-0.20939812654480924
ACH-000163,0.0714361885207204
ACH-000167,0.22458689317810054
ACH-000168,0.22090903509511906
ACH-000169,-0.07547648563649838
ACH-000178,-0.1625078943231756
ACH-000183,0.07720543986052666
ACH-000188,0.0473591206318327
ACH-000189,0.14672487545398244
ACH-000190,-0.15211565255236786
ACH-000198,0.05907963170714864
ACH-000203,-0.2448642972484092
ACH-000204,0.2224465772431756
