,STEAP3 (55240)
ACH-000004,-0.4194884554332604
ACH-000005,-0.4791678316648637
ACH-000007,-0.32799151124110426
ACH-000009,-0.24484207488201834
ACH-000011,0.09762973041340817
ACH-000012,-0.37677480054070106
ACH-000013,-0.05998080191877001
ACH-000014,-0.1613143974310448
ACH-000015,-0.0798286066970831
ACH-000017,-0.4838428643522238
ACH-000018,-0.4248538060296886
ACH-000019,-0.11963376920714393
ACH-000021,-0.082418336473655
ACH-000022,-0.053655374479746124
ACH-000025,-0.11880367478705008
ACH-000028,-0.1232125695445168
ACH-000030,-0.09050763590925072
ACH-000035,-0.2833341559991718
ACH-000036,-0.13617323159855635
ACH-000037,-0.11585526063472085
ACH-000039,-0.030918264673316095
ACH-000040,-0.0011558140651205051
ACH-000041,-0.10865433320522723
ACH-000042,-0.10039120899701542
ACH-000045,-0.2402916263129337
ACH-000047,-0.16110060057111786
ACH-000052,0.02439531037530212
ACH-000053,-0.03858547428897986
ACH-000054,-0.11631980709599905
ACH-000055,-0.2196233637038749
ACH-000060,-0.17948321336717504
ACH-000067,-0.13750279444321992
ACH-000070,-0.7262935890025093
ACH-000075,-0.14217293894010874
ACH-000078,-0.017031895598039876
ACH-000082,-0.08793051184388842
ACH-000085,-0.21412895162984724
ACH-000086,-0.2887322478932514
ACH-000087,0.031486416697678515
ACH-000092,-0.1635879611286497
ACH-000095,-0.08880880591611487
ACH-000097,-0.09102394144773887
ACH-000098,-0.30561920234539225
ACH-000099,-0.08507324009633094
ACH-000108,-0.20867493966516976
ACH-000113,-0.15360234399006864
ACH-000116,-0.14255454241909601
ACH-000118,-0.057263074045925975
ACH-000120,-0.1930621037619
ACH-000123,-0.044455112594498
ACH-000127,-0.3741234564561243
ACH-000128,-0.11305281117093385
ACH-000132,0.0228610380757295
ACH-000133,-0.28064977448919504
ACH-000137,-0.1643919438163523
ACH-000138,-0.04241242262099952
ACH-000142,-0.2357708895299121
ACH-000143,-0.022672529896715584
ACH-000146,-0.10542019575754864
ACH-000148,-0.09841987964636166
ACH-000150,0.05820782359601598
ACH-000152,-0.163968796580188
ACH-000153,-0.2418443552816124
ACH-000159,-0.02521619560341647
ACH-000160,-0.04777211732784222
ACH-000163,-0.06724660644429327
ACH-000167,-0.7922231985878336
ACH-000168,-0.1633346035848344
ACH-000169,-0.026956528568997367
ACH-000178,-0.039759923159860426
ACH-000183,-0.2509658596569381
ACH-000188,-0.08550811828835618
ACH-000189,-0.5632927187463312
ACH-000190,-0.07422376431586694
ACH-000198,-0.13351891504454694
ACH-000203,-0.71357688431076
ACH-000204,-0.20689810168578016
ACH-000206,-0.09374395290617686
ACH-000207,-0.1440691257784711
ACH-000208,-0.28066046320789223
ACH-000210,0.10155736217968672
ACH-000211,-0.11170701819504393
ACH-000215,-0.3193462309170663
ACH-000221,-0.20037114869507197
ACH-000222,0.055525974915306205
ACH-000223,-0.1586272702906672
ACH-000226,-0.05442563677467989
ACH-000227,-0.05947256559134693
ACH-000228,-0.18316346597761374
ACH-000231,-0.10445770799515387
ACH-000232,0.021843388872894
ACH-000233,-0.24165093148524255
ACH-000234,-0.18205797978097132
ACH-000235,-0.16911209219870493
ACH-000237,-0.3410421587040481
ACH-000238,-0.06591444425812178
ACH-000242,0.10075557069829323
ACH-000243,-0.08308250282264029
ACH-000244,-0.023771734946670797
ACH-000246,-0.2584717905241657
ACH-000248,-0.09597754297238373
ACH-000250,-0.6570363610947935
ACH-000251,0.035931257319949256
ACH-000252,-0.05845423388813557
ACH-000253,-0.12396831103764927
ACH-000255,-0.11653697843726672
ACH-000256,-0.4797850397286054
ACH-000257,-0.02732596974600304
ACH-000258,-0.03141618720637269
ACH-000259,-0.05298767160022911
ACH-000260,-0.12518348091781742
ACH-000261,-0.08653550747686525
ACH-000262,-0.41075814905781816
ACH-000263,-0.5623792796010908
ACH-000264,-0.04617869000624692
ACH-000265,-0.13535927291052538
ACH-000266,-0.03706051706544356
ACH-000272,-0.11685041243900032
ACH-000274,-0.08519777945272533
ACH-000277,0.004936245070985597
ACH-000278,-0.3577117239110229
ACH-000279,-0.14017921175140327
ACH-000280,0.03783365310649367
ACH-000281,-0.2231675328466536
ACH-000288,-0.5276485144783629
ACH-000291,-0.22284745905968287
ACH-000293,-0.045818406055999114
ACH-000294,-0.899981517455553
ACH-000295,-0.5008483112168508
ACH-000296,-0.3706983827994988
ACH-000302,-0.2990463575169218
ACH-000304,-0.18088720560096108
ACH-000307,-0.11812672768951167
ACH-000308,-0.1366700242644237
ACH-000310,-0.09089146377688297
ACH-000311,-0.15678840809206065
ACH-000312,-0.14760772226177013
ACH-000315,-0.07561819836497245
ACH-000316,-0.2166340103049456
ACH-000317,-0.2635124647116768
ACH-000318,-0.28023892413360474
ACH-000319,-0.04644982331128451
ACH-000320,-0.31188233533656706
ACH-000322,-0.11030072785487613
ACH-000323,-0.09064920471823797
ACH-000324,-0.07177596785363112
ACH-000329,-0.1112968246194442
ACH-000330,-0.3332668183830226
ACH-000331,-0.15510786491160766
ACH-000332,-0.06904662492384686
ACH-000334,0.0339215278468274
ACH-000335,-0.12285962626736713
ACH-000336,0.042024878956854035
ACH-000337,-0.2899219691335468
ACH-000338,-0.16864529740895995
ACH-000339,-0.2808042658739969
ACH-000341,-0.06773470304844842
ACH-000348,-0.1366392382431802
ACH-000350,-0.13225488324699725
ACH-000352,-0.03365468392871553
ACH-000356,-0.11743786751305943
ACH-000361,-0.2615721509149668
ACH-000362,-0.5351693795319667
ACH-000363,-0.048373484408058866
ACH-000364,-0.1899690734725772
ACH-000365,-0.15695424589170398
ACH-000366,-0.13032974448443882
ACH-000368,-0.21690872865194305
ACH-000374,-0.2191250366506726
ACH-000375,-0.06817385606742131
ACH-000376,-0.0824596696554441
ACH-000381,-0.06855481499552707
ACH-000383,-0.10614212725231932
ACH-000387,-0.4616867541904113
ACH-000389,-0.2383892733674066
ACH-000390,-0.06909687738040535
ACH-000393,-0.2444611272761379
ACH-000395,-0.156748300489904
ACH-000396,-0.2532599886030077
ACH-000397,-0.1836512958028685
ACH-000401,-0.18535298176789688
ACH-000402,0.1901405587090884
ACH-000403,-0.07245975766470035
ACH-000404,-0.4162694541005438
ACH-000406,-0.22160577118615526
ACH-000407,-0.04085385469155036
ACH-000408,-0.08099318258446245
ACH-000410,-0.4595399035542863
ACH-000411,-0.2254940297609508
ACH-000414,-0.030538810985899594
ACH-000415,-0.15716372983906188
ACH-000416,-0.08903503395235779
ACH-000420,0.013139116732913778
ACH-000421,-0.11899961767900405
ACH-000424,-0.15707592696162906
ACH-000425,-0.2757304732767939
ACH-000426,0.08908338298376857
ACH-000427,-0.1274072228683801
ACH-000433,-0.0531117145156344
ACH-000435,-0.6510483883934524
ACH-000436,-0.1058545590802308
ACH-000444,-0.059697570143819025
ACH-000445,-0.16682999520671907
ACH-000448,-0.18129191700628566
ACH-000450,-0.2307718320405664
ACH-000452,-0.15529925888364446
ACH-000454,-0.0002680333558605328
ACH-000458,-0.09435205511998053
ACH-000459,-0.011384643569281877
ACH-000460,-0.17794881948428595
ACH-000461,-0.025318964770071662
ACH-000463,-0.102387074632615
ACH-000464,0.0009200772687334196
ACH-000466,-0.17567236878421144
ACH-000467,-0.07819571392942255
ACH-000468,-0.2226761722030076
ACH-000469,-0.020985719971846832
ACH-000470,-0.10446690679010562
ACH-000471,-0.4375349361608398
ACH-000472,-0.1578872675284403
ACH-000473,-0.2305441652796527
ACH-000475,-0.16100214858658748
ACH-000476,-0.22439736742578195
ACH-000477,-0.0960752811957582
ACH-000479,0.36440136250617133
ACH-000480,-0.11672052137333094
ACH-000481,-0.1952343653578973
ACH-000483,-0.2218389714073009
ACH-000484,-0.17647620610794187
ACH-000485,0.04503729340774787
ACH-000486,-0.07944261873498185
ACH-000487,-0.2612225551296701
ACH-000488,0.028405202489612282
ACH-000490,-0.12076923215048252
ACH-000491,-0.03194167722338168
ACH-000495,-0.4430768042052022
ACH-000496,-0.2208697573658102
ACH-000499,-0.15683294618422922
ACH-000500,0.02369035976011376
ACH-000502,-0.041293811215909935
ACH-000503,-0.4107369123778216
ACH-000505,-0.17416830720538756
ACH-000507,0.06152451915764018
ACH-000510,-0.23252878347749456
ACH-000511,-0.032696874197037415
ACH-000512,-0.323110970891078
ACH-000516,-0.028716399407579106
ACH-000517,-0.13542738812049793
ACH-000518,-0.21886452249059715
ACH-000520,-0.3022387294859485
ACH-000521,-0.17602702197959658
ACH-000522,-0.0682121903168462
ACH-000524,-0.2240523342903094
ACH-000527,-0.1241187877217084
ACH-000528,-0.13634664963277396
ACH-000537,-0.1779477463381877
ACH-000541,-0.21118249194552635
ACH-000542,-0.015255761207022444
ACH-000544,-0.2235643014043739
ACH-000545,-0.2324480414708931
ACH-000547,-0.091237313137381
ACH-000548,-0.15603654568607764
ACH-000549,-0.08822679397409901
ACH-000550,-0.1905055327776639
ACH-000552,-0.1414174225875404
ACH-000556,0.01036733946705851
ACH-000557,-0.09138612759292672
ACH-000569,-0.11757940994292705
ACH-000570,-0.10307570480687517
ACH-000571,-0.10034132556322023
ACH-000573,-0.3155232473158109
ACH-000576,0.13162746968479005
ACH-000579,-0.17362176580987365
ACH-000580,-0.16899890623120956
ACH-000584,-0.2873123736130427
ACH-000585,-0.08570263023597093
ACH-000588,-0.15628599733985835
ACH-000589,-0.08011690726111474
ACH-000591,-0.1562762203712424
ACH-000593,-0.22111650171880068
ACH-000600,-0.236971901132318
ACH-000601,-0.05650985023750992
ACH-000605,-0.1052903952087972
ACH-000606,0.07412960965383733
ACH-000608,-0.1860370525010444
ACH-000614,-0.15300994208997887
ACH-000616,-0.08838888690137939
ACH-000618,-0.21737742503713425
ACH-000619,-0.10852435001473587
ACH-000620,0.019189184405919137
ACH-000621,-0.2440355323649709
ACH-000622,0.030515202714356187
ACH-000623,-0.2630471701627055
ACH-000624,-0.08374682258666019
ACH-000627,-0.34374391433482265
ACH-000630,-0.14985721570486515
ACH-000631,-0.33250620805070635
ACH-000632,-0.07220639839514292
ACH-000633,-0.4832320914385991
ACH-000637,-0.0284309336998206
ACH-000638,-0.1764246867955107
ACH-000646,-0.5640941240634301
ACH-000647,-0.13131393351234708
ACH-000648,-0.4328227103640073
ACH-000649,-0.8221248236761128
ACH-000651,-0.20794490792097525
ACH-000652,-0.15270706989903193
ACH-000653,-0.11765002406726975
ACH-000657,-0.03169012749257708
