,DepMap_ID
24917,ACH-000065
68881,ACH-000219
126249,ACH-000381
193779,ACH-000549
211756,ACH-000587
250454,ACH-000665
260802,ACH-000683
294430,ACH-000746
343055,ACH-000786
343056,ACH-000786
359706,ACH-000790
359707,ACH-000790
359708,ACH-000790
408534,ACH-000852
456772,ACH-000897
465959,ACH-000906
487745,ACH-000919
493418,ACH-000921
642240,ACH-000973
662291,ACH-000978
675859,ACH-000981
721530,ACH-000988
940798,ACH-001127
940799,ACH-001127
940800,ACH-001127
1075070,ACH-001642
1152416,ACH-002209
1234557,ACH-002387
