,TBXAS1 (6916)
ACH-000004,-0.06632046625747842
ACH-000005,0.04412635596593225
ACH-000007,-0.04112810379431567
ACH-000009,-0.03513720555488626
ACH-000011,0.03833496055159245
ACH-000012,0.11833207544956673
ACH-000013,0.08379105257279447
ACH-000014,-0.16686475221664793
ACH-000015,0.07644316856408485
ACH-000017,0.1850949100467551
ACH-000018,0.26606120150396656
ACH-000019,0.04842082438069639
ACH-000021,-0.25960544408304104
ACH-000022,0.026042512184571872
ACH-000025,0.3212051842379613
ACH-000028,0.08296274034000063
ACH-000030,0.08283449438043003
ACH-000035,-0.023304293090460542
ACH-000036,-0.0378250605845328
ACH-000037,-0.07323152806268354
ACH-000039,0.15111115513130455
ACH-000040,0.11092958459737236
ACH-000041,0.0995075931254614
ACH-000042,0.00851718423416057
ACH-000045,0.03814758328544249
ACH-000047,-0.03224334832746357
ACH-000052,-0.04199444315736226
ACH-000053,0.06844723661839545
ACH-000054,-0.05072999543342035
ACH-000055,0.0467436308824812
ACH-000060,0.01581997647461679
ACH-000067,-0.11346866384526635
ACH-000070,0.01651891125755434
ACH-000075,0.3137453072648557
ACH-000078,-0.014205763167587185
ACH-000082,-0.09878082052003463
ACH-000085,-0.08058861748326443
ACH-000086,0.19526301081557995
ACH-000087,-0.006069261400072114
ACH-000092,0.14716654504792626
ACH-000095,0.013346457344551664
ACH-000097,0.02242483906075769
ACH-000098,-0.058389673204708725
ACH-000099,-0.04100323720888897
ACH-000108,-0.07952385497249287
ACH-000113,0.061115223420849026
ACH-000116,0.012694113079381527
ACH-000118,0.15999157877104045
ACH-000120,-0.05766238696055428
ACH-000123,0.048550030707231975
ACH-000127,0.040637782751878335
ACH-000128,0.06931652360243491
ACH-000132,0.06478141357344656
ACH-000133,0.10659041151955853
ACH-000137,0.1215761084772036
ACH-000138,0.047026085600370734
ACH-000142,-0.031197677039906294
ACH-000143,0.013859613208016626
ACH-000146,-0.09273145116382536
ACH-000148,0.01862122100794468
ACH-000150,0.13609944110939606
ACH-000152,0.023170154463270583
ACH-000153,0.18172719114421626
ACH-000159,-0.043034181416598025
ACH-000160,0.13827235236304047
ACH-000163,0.002492339549571588
ACH-000167,-0.3166952090190439
ACH-000168,0.1264940764949049
ACH-000169,0.11867686623711605
ACH-000178,0.08154328222769443
ACH-000183,0.16905913640760015
ACH-000188,-0.02756981075937913
ACH-000189,0.1551515167983367
ACH-000190,0.014218871302486613
ACH-000198,-0.052833439893161915
ACH-000203,0.06364154642293914
ACH-000204,0.16731218001208858
ACH-000206,0.08451874927299248
ACH-000207,-0.09954585954796427
ACH-000208,0.15872543196852565
ACH-000210,-0.015809679288953188
ACH-000211,0.027470783132306338
ACH-000215,0.08171307245086347
ACH-000221,-0.06990597696360333
ACH-000222,-0.09705852957010884
ACH-000223,0.03249828707872389
ACH-000226,-0.0078267426041254
ACH-000227,-0.02158642210211901
ACH-000228,0.11869953139115
ACH-000231,-0.01998358291128329
ACH-000232,-0.036853902868930685
ACH-000233,0.10969783074202608
ACH-000234,0.05951963261224798
ACH-000235,0.03915774444107215
ACH-000237,-0.042579715987753466
ACH-000238,-0.10482584081844837
ACH-000242,-0.13777881543362286
ACH-000243,0.08158565116861348
ACH-000244,-0.11174146688749786
ACH-000246,0.11070011093819572
ACH-000248,0.12673858486488151
ACH-000250,0.06304550502230499
ACH-000251,-0.1856254169899194
ACH-000252,0.18420520377424204
ACH-000253,-0.042184337434406034
ACH-000255,0.08730788809254368
ACH-000256,0.03398804743515943
ACH-000257,0.003142919739144461
ACH-000258,-0.058093732883246985
ACH-000259,0.06367738213516233
ACH-000260,-0.0580581156595241
ACH-000261,0.035584242030139886
ACH-000262,0.02700004386255959
ACH-000263,0.14670058877311726
ACH-000264,0.05129136157536279
ACH-000265,0.15620569023315345
ACH-000266,0.07053179811539417
ACH-000272,-0.0597698516562373
ACH-000274,0.04153607653500958
ACH-000277,0.13776149201582655
ACH-000278,-0.08255834372809667
ACH-000279,-0.012288533313943051
ACH-000280,0.08799459252540537
ACH-000281,0.05625370487516165
ACH-000288,0.0005513060063909334
ACH-000291,0.11856453382713147
ACH-000293,0.03961921282965215
ACH-000294,-0.0024567648664532466
ACH-000295,0.25595838171807866
ACH-000296,-0.0102492369291967
ACH-000302,0.032605864575835634
ACH-000304,0.06173687626282511
ACH-000307,0.0510265199797148
ACH-000308,0.007956631954385136
ACH-000310,-0.17681594374449636
ACH-000311,-0.002932399009430309
ACH-000312,0.01690176979004014
ACH-000315,0.06568013201760485
ACH-000316,0.0136037747627797
ACH-000317,-0.18980585728781388
ACH-000318,0.020549109877013912
ACH-000319,0.17034932658157825
ACH-000320,-0.11494286365120218
ACH-000322,0.037868853558255686
ACH-000323,0.050948729992707824
ACH-000324,0.09124174101689038
ACH-000329,-0.005239777835247925
ACH-000330,0.020965472177027943
ACH-000331,0.04180692911506082
ACH-000332,-0.02432190977487556
ACH-000334,0.05609226683076719
ACH-000335,-0.10724524086697193
ACH-000336,-0.03516915967858625
ACH-000337,0.18588945965789308
ACH-000338,0.3331882593015609
ACH-000339,0.09883030203226788
ACH-000341,0.005029326231741008
ACH-000348,-0.04801884581476214
ACH-000350,-0.0773904025583518
ACH-000352,0.13804547461767214
ACH-000356,-0.047508614810651405
ACH-000361,0.21697233340847105
ACH-000362,-0.05250003374552052
ACH-000363,-0.032011235799755865
ACH-000364,0.014205618731022124
ACH-000365,-0.015781108722948998
ACH-000366,-0.0433483381979791
ACH-000368,0.10740488269661312
ACH-000374,0.012304566184661522
ACH-000375,0.012371265278014531
ACH-000376,-0.031862137908107734
ACH-000381,-0.12172237551561912
ACH-000383,0.029710739700033025
ACH-000387,-0.1492243775355463
ACH-000389,0.07053464653644105
ACH-000390,0.08645407987088302
ACH-000393,0.02610097125324061
ACH-000395,-0.20384692075305533
ACH-000396,0.009872790210671457
ACH-000397,0.09566963806062598
ACH-000401,-0.14819058889085454
ACH-000402,-0.347528438412877
ACH-000403,0.06797483084867204
ACH-000404,0.09818514685994696
ACH-000406,0.07560117328824395
ACH-000407,-0.09154351338956153
ACH-000408,-0.1389350053168986
ACH-000410,0.08614199487810506
ACH-000411,0.08032928119307332
ACH-000414,0.04703603429794067
ACH-000415,0.12119756280106447
ACH-000416,0.04224543810952687
ACH-000420,-0.1690120698914109
ACH-000421,0.02739461800694174
ACH-000424,0.2738735773642001
ACH-000425,-0.055937482148608116
ACH-000426,-0.009579528527708957
ACH-000427,-0.112883956398488
ACH-000433,-0.14285668480358435
ACH-000435,-0.2576593009884165
ACH-000436,0.0922278621529204
ACH-000444,-0.1871340951594984
ACH-000445,-0.0056363310317419524
ACH-000448,-0.054194721877473456
ACH-000450,-0.09348791856325897
ACH-000452,0.055418142592745
ACH-000454,0.14749052923437328
ACH-000458,0.05130758227665736
ACH-000459,0.14549039885708645
ACH-000460,-0.16992169592189754
ACH-000461,-0.039018066903132816
ACH-000463,-0.03323499593325587
ACH-000464,-0.1120171200053009
ACH-000466,-0.04360324698047558
ACH-000467,0.1628714899568763
ACH-000468,0.04141187515517986
ACH-000469,-0.08083755203550973
ACH-000470,0.06851518419453677
ACH-000471,-0.08415935906850923
ACH-000472,0.030153204494752013
ACH-000473,0.15464270847680064
ACH-000475,0.030435609552201426
ACH-000476,-0.04273422583409816
ACH-000477,-0.05343997804359761
ACH-000479,-0.041677445598527284
ACH-000480,0.007904496020945341
ACH-000481,-0.09745028101713513
ACH-000483,0.047805003225377084
ACH-000484,0.09540177887284744
ACH-000485,-0.07885651595142175
ACH-000486,0.06109915195316273
ACH-000487,0.052925098507994775
ACH-000488,0.014774500516698137
ACH-000490,-0.023467470307763548
ACH-000491,-0.16056620122730916
ACH-000495,-0.025863393397609638
ACH-000496,0.13098960552639025
ACH-000499,-0.04502501324404905
ACH-000500,0.20626152363911235
ACH-000502,0.009101911016119865
ACH-000503,0.08240565259755656
ACH-000505,0.013221988312527454
ACH-000507,0.005572413876796743
ACH-000510,0.0916497085213584
ACH-000511,-0.013895013890452869
ACH-000512,-0.09135534696399708
ACH-000516,-0.10450412080282198
ACH-000517,0.07241601077567003
ACH-000518,0.004268161128061162
ACH-000520,-0.04064944071233193
ACH-000521,0.050577818711598055
ACH-000522,0.0882276522938625
ACH-000524,-0.027856421038444882
ACH-000527,0.04691779546479067
ACH-000528,0.09686992702534028
ACH-000537,0.125499056003346
ACH-000541,0.005715811634341122
ACH-000542,-0.02320537129900777
ACH-000544,-0.041635219152359855
ACH-000545,0.0253753075702127
ACH-000547,0.12592951726046805
ACH-000548,0.07900803103677281
ACH-000549,0.05544522839881591
ACH-000550,-0.07411400417066552
ACH-000552,-0.07852838588909097
ACH-000556,0.1718077816826971
ACH-000557,0.03381769899688988
ACH-000569,-0.32999509882721845
ACH-000570,-0.08742054859157129
ACH-000571,-0.0509073785805788
ACH-000573,-0.012946414323550749
ACH-000576,0.0009440485392794984
ACH-000579,-0.05538257270158081
ACH-000580,-0.09360805791123096
ACH-000584,-0.05913894033062324
ACH-000585,0.013767204350816941
ACH-000588,0.07313644619499476
ACH-000589,-0.1183986524548209
ACH-000591,0.04023047002359119
ACH-000593,0.07248168437556707
ACH-000600,0.14499689349779135
ACH-000601,0.03697615953020257
ACH-000605,0.12402994206739773
ACH-000606,0.0012452777739516935
ACH-000608,-0.037287530299832096
ACH-000614,-0.2201787870202556
ACH-000616,-0.02728424429094633
ACH-000618,0.03832761325504815
ACH-000619,0.09173399056602437
ACH-000620,0.07392218002689817
ACH-000621,-0.07542697748949684
ACH-000622,-0.10040013070823127
ACH-000623,0.019819761580583885
ACH-000624,0.04048981442077136
ACH-000627,0.08857402920491278
ACH-000630,0.0032738626723244338
ACH-000631,0.08570813973147058
ACH-000632,-0.03673790176586926
ACH-000633,-0.03052023306451753
ACH-000637,0.17120945024873765
ACH-000638,0.11010341887461947
ACH-000646,0.01182080175962883
ACH-000647,0.08152072718313252
ACH-000648,0.0096925113197462
ACH-000649,-0.01986863161774256
ACH-000651,0.014790830468563944
ACH-000652,-0.11406850804730348
ACH-000653,0.01250420985920126
ACH-000657,0.007684171372344373
ACH-000658,0.1178449442485436
ACH-000661,0.019304173512543828
ACH-000662,-0.10353210299148838
ACH-000663,0.17702714109849824
ACH-000665,0.103459952637185
ACH-000671,-0.12111502264820505
