,TEX264 (51368)
ACH-000004,0.08482003861484044
ACH-000005,0.11676588289951495
ACH-000007,-0.06217061351550476
ACH-000009,-0.052810295874740384
ACH-000011,0.08801741834088057
ACH-000012,-0.004086926116532589
ACH-000013,-0.02733426574776128
ACH-000014,0.004058913974653943
ACH-000015,0.01888729522230894
ACH-000017,0.11362586966173342
ACH-000018,0.1171137922759124
ACH-000019,0.19489894000960545
ACH-000021,0.053370192798362234
ACH-000022,-0.0008064968011829352
ACH-000025,-0.031348828553994644
ACH-000028,-0.006971167308399196
ACH-000030,-0.0008116894088165816
ACH-000035,-0.01727832106800177
ACH-000036,0.16388897222149654
ACH-000037,0.04408237052047399
ACH-000039,0.09620801026841977
ACH-000040,0.03545841682749373
ACH-000041,0.15496320836486846
ACH-000042,-0.039821552797342896
ACH-000045,0.09273733686825936
ACH-000047,-0.06799867035532332
ACH-000052,-0.004547136221864698
ACH-000053,0.02901283481160968
ACH-000054,0.08752780053921286
ACH-000055,-0.042054314930118464
ACH-000060,-0.09577532628959287
ACH-000067,-0.005404805388545236
ACH-000070,0.12339079808177035
ACH-000075,0.059496433789076326
ACH-000078,0.11900402534475088
ACH-000082,0.11223751428290944
ACH-000085,0.04183382213280236
ACH-000086,0.11310290306621565
ACH-000087,0.046223956501565404
ACH-000092,0.035670417035697635
ACH-000095,0.01582267104093621
ACH-000097,0.02036794559467696
ACH-000098,0.02509287777296556
ACH-000099,-0.0019624945624736575
ACH-000108,-0.035029065239446704
ACH-000113,-0.12916483021056374
ACH-000116,0.07193818064265999
ACH-000118,0.04347724759282293
ACH-000120,-0.010204949345327969
ACH-000123,-0.04977422400681053
ACH-000127,0.08258510016320364
ACH-000128,-0.031060236512214817
ACH-000132,0.13167212057589806
ACH-000133,-0.0017258979508812016
ACH-000137,-0.14794003959484192
ACH-000138,-0.0426768444612148
ACH-000142,-0.11815873432487167
ACH-000143,0.06196949246499089
ACH-000146,0.014382719077149903
ACH-000148,0.08348303890065638
ACH-000150,-0.2556270501180484
ACH-000152,0.15935590926189144
ACH-000153,-0.07884262036524517
ACH-000159,0.0710919802934571
ACH-000160,0.0719881909305464
ACH-000163,-0.10316047161792503
ACH-000167,-0.0939292546962142
ACH-000168,0.2264951880912485
ACH-000169,0.021619520494648815
ACH-000178,0.06940860383171264
ACH-000183,0.0924338614469477
ACH-000188,-0.05375343673289027
ACH-000189,0.026298960508093185
ACH-000190,0.1107148476308241
ACH-000198,0.07229273613828874
ACH-000203,0.014881087059457548
ACH-000204,-0.014956613133188959
ACH-000206,0.16565561310777602
ACH-000207,-0.04446036322434385
ACH-000208,-0.10124815897376582
ACH-000210,0.16144621717334498
ACH-000211,-0.02957097147832017
ACH-000215,0.008254099336813203
ACH-000221,-0.0735916760840939
ACH-000222,-0.21192138467301802
ACH-000223,0.04227813632476413
ACH-000226,0.08927043107577418
ACH-000227,-0.003819215975495485
ACH-000228,0.026643234615725042
ACH-000231,0.01613961217695833
ACH-000232,0.05184847547371477
ACH-000233,-0.010301505149188116
ACH-000234,-0.07097772552562079
ACH-000235,-0.01929391043937991
ACH-000237,0.2071554698077444
ACH-000238,-0.0023918276233893107
ACH-000242,0.012188086707081762
ACH-000243,0.011070342366378836
ACH-000244,0.02048185574950829
ACH-000246,0.023549193874371575
ACH-000248,0.1330156629553411
ACH-000250,0.0015863236297966668
ACH-000251,-0.06457987790322922
ACH-000252,0.03169118618125535
ACH-000253,-0.02712505925633062
ACH-000255,-0.012441615739434758
ACH-000256,0.09261976101053818
ACH-000257,0.14847647447445894
ACH-000258,0.02516687643358756
ACH-000259,0.06284569717902387
ACH-000260,0.002768165748613607
ACH-000261,0.02457763400383794
ACH-000262,0.07702622151015047
ACH-000263,0.150905335110544
ACH-000264,-0.030339787578694467
ACH-000265,-0.003482209003355983
ACH-000266,0.029074670598545738
ACH-000272,-0.030529741213829814
ACH-000274,-0.1095795607516216
ACH-000277,0.01902942467252336
ACH-000278,-0.0830663648340299
ACH-000279,-0.04005055773505768
ACH-000280,0.03931433795053193
ACH-000281,0.11062239029748244
ACH-000288,0.10809660046814562
ACH-000291,-0.0837084097999216
ACH-000293,0.0662744089978836
ACH-000294,-0.14587684011755714
ACH-000295,0.2033456139241322
ACH-000296,0.05710365082619445
ACH-000302,0.09362045616033456
ACH-000304,-0.07044310809757319
ACH-000307,0.003602941343504115
ACH-000308,0.009980231023013543
ACH-000310,0.05529712956769936
ACH-000311,0.05184329063596229
ACH-000312,0.15280145174963605
