,TFEB (7942)
ACH-000004,0.07247986747411392
ACH-000005,-0.0007006496594972527
ACH-000007,0.06325469693299939
ACH-000009,-0.03251400641164212
ACH-000011,-0.041206659608352486
ACH-000012,-0.03645137641102512
ACH-000013,-0.008861259883529366
ACH-000014,-0.09156086097744924
ACH-000015,0.05094242938937473
ACH-000017,0.0424365724931866
ACH-000018,-0.039331694457733234
ACH-000019,-0.022122080573058724
ACH-000021,-0.03678582799278448
ACH-000022,0.06951768348964861
ACH-000025,0.04734311120300759
ACH-000028,0.0004765110998269212
ACH-000030,0.002863913607719793
ACH-000035,-0.15659372949380046
ACH-000036,-0.02388017078512875
ACH-000037,-0.030314510129117362
ACH-000039,0.013202056160427562
ACH-000040,-0.053425003814189236
ACH-000041,-0.1267161151442891
ACH-000042,0.0273300251127054
ACH-000045,0.0030983522401982736
ACH-000047,-0.13597171590201215
ACH-000052,-0.126514668836875
ACH-000053,-0.021749507493919608
ACH-000054,0.010940446963748678
ACH-000055,-0.07115405603122367
ACH-000060,-0.0384367828881512
ACH-000067,-0.10377131112297562
ACH-000070,-0.22318357627179386
ACH-000075,-0.006916196986627084
ACH-000078,0.02017942324525769
ACH-000082,-0.03600405565348886
ACH-000085,-0.09031309165497836
ACH-000086,-0.03646657199456151
ACH-000087,0.19381526209135952
ACH-000092,-0.04515922760116175
ACH-000095,0.01702703060774889
ACH-000097,0.022555876568336648
ACH-000098,-0.06642878651218312
ACH-000099,-0.041044436391174284
ACH-000108,-0.0225798432587968
ACH-000113,-0.01991695771850292
ACH-000116,-0.08513643641807075
ACH-000118,-0.03061055316953337
ACH-000120,0.0157490001812447
ACH-000123,-0.1164474198421695
ACH-000127,-0.04978660968788245
ACH-000128,-0.20064547584458434
ACH-000132,-0.030067219872521343
ACH-000133,-0.04601620940846424
ACH-000137,-0.13067032649911886
ACH-000138,-0.049857623660818216
ACH-000142,-0.006976746799468978
ACH-000143,0.17203922767434016
ACH-000146,-0.09832589260810058
ACH-000148,0.0785369347661404
ACH-000150,-0.00819467149155155
ACH-000152,-0.14807268903935905
ACH-000153,0.008226914239069903
ACH-000159,-0.029105630924631375
ACH-000160,-0.017481407407995208
ACH-000163,0.15980849037854186
ACH-000167,-0.13547109395675466
ACH-000168,0.07201137708518729
ACH-000169,-0.09259684900731956
ACH-000178,-0.02609892219796805
ACH-000183,-0.07693345095594335
ACH-000188,-0.023071522094892324
ACH-000189,0.07341178436192672
ACH-000190,-0.22017789279041408
ACH-000198,-0.10371696067429564
ACH-000203,0.1500460044017992
ACH-000204,-0.058634123326655525
ACH-000206,-0.0538370815884781
ACH-000207,-0.3134747320290749
ACH-000208,-0.052726155265117966
ACH-000210,0.06535507098988402
ACH-000211,-0.049467292436065485
ACH-000215,0.03574221844329749
ACH-000221,0.018091687570919127
ACH-000222,-0.07997574026415784
ACH-000223,-0.09081865803575208
ACH-000226,-0.0010498944337824095
ACH-000227,-0.05578560961249288
ACH-000228,-0.023467874821996502
ACH-000231,-0.052076668553916516
ACH-000232,-0.02433314401432805
ACH-000233,-0.07477653016345133
ACH-000234,0.1150593193075747
ACH-000235,-0.10767377524702798
ACH-000237,0.10469400991637773
ACH-000238,-0.09162490181460714
ACH-000242,0.018067992634155008
ACH-000243,-0.07353881720729986
ACH-000244,-0.010009479719615008
ACH-000246,0.035913399480897036
ACH-000248,-0.0749416320064944
ACH-000250,0.024886421846604192
ACH-000251,-0.13286921198279375
ACH-000252,0.10240951779353556
ACH-000253,-0.20347345177405265
ACH-000255,-0.08057527570015413
ACH-000256,0.12494278144190135
ACH-000257,0.2259123838670151
ACH-000258,0.16939402276891918
ACH-000259,-0.035813391207735926
ACH-000260,-0.0008475862703589766
ACH-000261,-0.066333409134241
ACH-000262,0.09776067854618692
ACH-000263,-0.0965445482988739
ACH-000264,-0.1150272905687698
ACH-000265,0.003180724440201933
ACH-000266,0.022435690145126364
ACH-000272,0.001763875765430946
ACH-000274,-0.031083666214539462
ACH-000277,0.12154418472469508
ACH-000278,0.04732753662204597
ACH-000279,-0.03679150860738183
ACH-000280,0.037992625448250536
ACH-000281,-0.06877732166628983
ACH-000288,-0.029874016589788492
ACH-000291,-0.06696690557910502
ACH-000293,-0.02435717355775412
ACH-000294,-0.02570010284994341
ACH-000295,-0.4470903424645653
ACH-000296,0.023970815911007085
ACH-000302,0.014389820540816481
ACH-000304,0.02700294343308381
ACH-000307,-0.04633942808744046
ACH-000308,-0.05943643401086724
ACH-000310,0.027072865817497432
ACH-000311,-0.15709515023006765
ACH-000312,-0.08645486683116897
ACH-000315,-0.06041950444250256
ACH-000316,-0.13569998743816022
ACH-000317,-0.04239988132025264
ACH-000318,0.028378852383737982
ACH-000319,-0.049843923822597135
ACH-000320,-0.1658810154389116
ACH-000322,-0.06377128936556002
ACH-000323,-0.006368114606404879
ACH-000324,0.02593366895230671
ACH-000329,0.01975420043013436
ACH-000330,-0.2173751885428248
ACH-000331,-0.02915598750369816
ACH-000332,-0.1141550781414618
ACH-000334,-0.060919035464929876
ACH-000335,-0.11135549094246946
ACH-000336,0.08447507391882828
ACH-000337,-0.07134647762817999
ACH-000338,-0.11528847980501235
ACH-000339,-0.0410149176309991
ACH-000341,0.04897747759504028
ACH-000348,0.056951670298883324
ACH-000350,0.1319128017330289
ACH-000352,0.05301794012648326
ACH-000356,-0.06575273793266458
ACH-000361,0.02755887563770673
ACH-000362,-0.056990625232351065
ACH-000363,0.03065203015436978
ACH-000364,-0.0914714714292852
ACH-000365,0.17439524393459302
ACH-000366,-0.012294219485483496
ACH-000368,-0.06866876414519774
ACH-000374,-0.12231588800399334
ACH-000375,0.017784254177261854
ACH-000376,0.05242679684908125
ACH-000381,0.03381266851617819
ACH-000383,-0.03308595174750177
ACH-000387,-0.0011511419239997873
ACH-000389,0.10763989211913184
ACH-000390,-0.08282960895566897
ACH-000393,-0.07079526910813454
ACH-000395,0.10002470365328793
ACH-000396,0.2468759944040805
ACH-000397,-0.03849180212303896
ACH-000401,0.022165265356297932
ACH-000402,-0.1875159054294665
ACH-000403,-0.05535224715926822
ACH-000404,-0.08920567504344427
ACH-000406,-0.1312905809511341
ACH-000407,0.05066803996799917
ACH-000408,-0.00021787921154932345
ACH-000410,0.045857921729309706
ACH-000411,0.04122283208664848
ACH-000414,0.04442907593901239
ACH-000415,-0.05734663724177769
ACH-000416,-0.08173442112692003
ACH-000420,-0.10142396725332027
ACH-000421,-0.03492537666248
ACH-000424,-0.08580010122004954
ACH-000425,0.0622204607798035
ACH-000426,-0.09514555001794094
ACH-000427,-0.017418538123847183
ACH-000433,-0.006663768783400353
ACH-000435,0.005345574368029404
ACH-000436,0.007958090594952623
ACH-000444,-0.05536284033295028
ACH-000445,0.12402325779656932
ACH-000448,-0.08214795181627149
ACH-000450,0.028505409785344906
ACH-000452,-0.07543509010399703
ACH-000454,-0.2014647359199564
ACH-000458,0.04961112173254311
ACH-000459,-0.034230452373396184
ACH-000460,0.029976487293018363
ACH-000461,-0.06532241385827023
ACH-000463,0.005389703587916684
ACH-000464,-0.04612641710267276
ACH-000466,-0.004228891050881927
ACH-000467,-0.08621565806283253
ACH-000468,0.029931825124637438
ACH-000469,-0.04459483939905104
ACH-000470,-0.05580330993473962
ACH-000471,-0.12100232452582176
ACH-000472,0.006142495076214431
ACH-000473,0.07659210222760085
ACH-000475,-0.012592354847953692
ACH-000476,-0.0578840194727132
ACH-000477,-0.08803034982351803
ACH-000479,0.01385381223757383
ACH-000480,-0.018620026589776708
ACH-000481,-0.06919361502487381
ACH-000483,-0.11925762234148132
ACH-000484,0.026787777235528425
ACH-000485,0.2025793927589486
ACH-000486,-0.061685399163739225
ACH-000487,-0.10729928469982404
ACH-000488,-0.06852398641743712
ACH-000490,0.0019280567583948801
ACH-000491,-0.12406234619406405
ACH-000495,0.004231851933282036
ACH-000496,-0.07851737635551233
ACH-000499,-0.22591022523987914
ACH-000500,0.2073964349185559
ACH-000502,-0.07482051156257867
ACH-000503,-0.06465676276214362
ACH-000505,-0.01111717163535728
ACH-000507,0.004592521184777776
ACH-000510,-0.06635203424499739
ACH-000511,0.006180189483837382
ACH-000512,-0.16260412259813978
ACH-000516,-0.039191921388685234
ACH-000517,0.02817042175512365
ACH-000518,-0.026645276486875997
ACH-000520,-0.08118107844533491
ACH-000521,0.00318034823828512
ACH-000522,-0.03889883229791581
ACH-000524,-0.04080920541209981
ACH-000527,0.06252294916504797
ACH-000528,0.027852816286540374
ACH-000537,-0.11224208819268656
ACH-000541,0.025906129284507425
ACH-000542,0.050843364211882826
ACH-000544,0.009293230223061454
ACH-000545,0.0723425539726165
ACH-000547,-0.14612782245838188
ACH-000548,-0.08022700293763617
ACH-000549,0.00861902585695644
ACH-000550,-0.08922783778219022
ACH-000552,0.09526610842068277
ACH-000556,-0.0060168403674180065
ACH-000557,-0.1953631793423372
ACH-000569,-0.01035539968993042
ACH-000570,0.0320210019715044
ACH-000571,-0.022077578305786747
ACH-000573,-0.051475798272843085
ACH-000576,-0.20925775338485567
ACH-000579,-0.02052260034294757
ACH-000580,0.031104649739916567
ACH-000584,0.023994980134741464
ACH-000585,-0.016712597992916214
ACH-000588,-0.04243803596302048
ACH-000589,0.020833713037042016
ACH-000591,-0.16970513728410014
ACH-000593,-0.016600939734054552
ACH-000600,0.04875339650970662
ACH-000601,0.0037950087479862015
ACH-000605,0.009950642094175512
ACH-000606,-0.18432226562891765
ACH-000608,0.014992855422024259
ACH-000614,0.13729241137230142
ACH-000616,-0.026779177727075144
ACH-000618,-0.02949831715431585
ACH-000619,-0.005899601380906981
ACH-000620,0.0718348511542694
ACH-000621,-0.02017923389830167
ACH-000622,-0.06345193279877039
ACH-000623,-0.05122477508585181
ACH-000624,-0.03789515039156552
ACH-000627,-0.061760542058615274
ACH-000630,-0.1654643714580266
ACH-000631,0.2569320440321369
ACH-000632,0.04112318651288548
ACH-000633,-0.06937074529061718
ACH-000637,-0.01956831712800929
ACH-000638,-0.11884112025692012
ACH-000646,-0.056448774891050525
ACH-000647,-0.08054449957437779
ACH-000648,0.03890256503206757
ACH-000649,-0.017487431358691314
ACH-000651,-0.05570604090484798
ACH-000652,-0.1865998193254368
ACH-000653,0.03834133649523391
ACH-000657,-0.03678238619095798
ACH-000658,-0.09954638434604132
ACH-000661,-0.0460793756275801
ACH-000662,0.1259333501293013
ACH-000663,0.1925673422939713
ACH-000665,-0.14580458407051172
ACH-000671,-0.19434320406542796
ACH-000672,-0.009760281797014127
ACH-000673,-0.059355728405487876
ACH-000676,0.02969547480320272
ACH-000677,-0.06356258602325479
ACH-000681,0.010398189612731252
ACH-000683,-0.0059920089523662744
ACH-000684,-0.09481368177201767
ACH-000688,-0.07260624477560461
ACH-000693,-0.0029138954077191355
ACH-000694,0.02295393546607133
ACH-000695,0.06928438586552857
ACH-000696,0.00997721365319792
ACH-000697,-0.15413366974534445
ACH-000699,-0.03442291145463472
ACH-000701,0.06253149859575119
ACH-000706,-0.05989530036690281
ACH-000711,-0.03295951204049975
ACH-000713,-0.00188621254596008
ACH-000714,0.02088987124007115
ACH-000718,-0.09106924119481008
ACH-000720,-0.05629206800473322
ACH-000721,-0.08901629675459513
ACH-000724,-0.09476876181968244
ACH-000725,0.01995132890888464
ACH-000732,0.047932784264360095
ACH-000734,-0.05653615840427405
ACH-000735,0.012187848270322241
ACH-000736,0.04534983116297182
ACH-000738,0.02885067843719405
ACH-000746,0.09006319942567705
ACH-000747,-0.040199365874388174
ACH-000748,0.04517783213797775
ACH-000753,-0.011505026902565895
ACH-000756,0.037825844372011454
ACH-000757,0.08884736437186816
ACH-000758,0.09201466768530868
ACH-000760,-0.013061283835721324
ACH-000762,-0.1925945407207168
ACH-000763,-0.009976800985478294
ACH-000764,-0.2671735699132945
ACH-000765,-0.06482857129459027
ACH-000766,-0.09670672121838156
ACH-000767,-0.05728619197021799
ACH-000768,-0.18277612183520564
ACH-000769,-0.2392152029610381
ACH-000770,-0.022330627531486957
ACH-000771,0.05168387901483903
ACH-000773,0.08606794454789576
ACH-000776,0.10273896144074426
ACH-000777,-0.06872059177457539
ACH-000778,-0.08003244249674178
ACH-000781,-0.046445779091281066
ACH-000782,-0.19236821612599755
ACH-000783,-0.11995591515270612
ACH-000784,0.02874467524253895
ACH-000785,0.0246534719274543
ACH-000787,-0.023468265283379044
ACH-000788,0.02266970531731259
ACH-000791,-0.0775249591452092
ACH-000792,-0.4528715145012479
ACH-000794,0.038253025465822994
ACH-000796,0.04083544016968056
ACH-000798,0.1356247232856244
ACH-000799,-0.13166847908034898
ACH-000800,0.2298192939671801
ACH-000802,-0.03858229931381461
ACH-000804,-0.009673379301888298
ACH-000805,-0.07226872505921934
ACH-000809,-0.004334935236239252
ACH-000810,-0.22973641124449395
ACH-000811,-0.04566816833595688
ACH-000817,-0.0036419141938932773
ACH-000819,-0.034943615224868316
ACH-000820,-0.17652950062197356
ACH-000821,0.1663239994421845
ACH-000822,-0.025580289155967783
ACH-000823,-0.03804179242749997
ACH-000824,0.05788744093546404
ACH-000827,-0.08583457438913521
ACH-000829,-0.08168626418952167
ACH-000831,0.01190124995638505
ACH-000832,-0.049767544412142116
ACH-000833,-0.16801602045752
ACH-000834,-0.1784605156991365
ACH-000835,0.06378170454605428
ACH-000836,0.0010462156747437323
ACH-000837,-0.017124374996184275
ACH-000838,-0.0999457491491176
ACH-000839,0.10036383760576184
ACH-000840,0.07775519648865911
ACH-000841,-0.1474613324626696
ACH-000843,0.003777060313346468
ACH-000846,-0.000980339868697848
ACH-000847,0.025033049423923856
ACH-000848,-0.1009118043552321
ACH-000849,0.1806831279518266
ACH-000851,-0.11806412978790197
ACH-000855,-0.15421772963540947
ACH-000856,0.004684197453960268
ACH-000858,0.058839420946016616
ACH-000859,-0.16788033437698172
ACH-000861,0.02499467559266228
ACH-000862,0.002845957594527999
ACH-000865,-0.04528295542081492
ACH-000866,-0.04605367825705557
ACH-000867,-0.01556618358170991
ACH-000869,0.000493117835190532
ACH-000872,0.05602574943877465
ACH-000873,-0.1233890761707107
ACH-000876,-0.08125519288349371
ACH-000878,-0.24628370885997275
ACH-000880,0.02451993510197026
ACH-000881,-0.05368026337625142
ACH-000882,-0.03194408868105395
ACH-000884,-0.06497095813659112
ACH-000885,0.006609387834056849
ACH-000887,0.06864541768944002
ACH-000889,-0.017115883484686262
ACH-000896,0.08216875311278858
ACH-000898,-0.04765963881326895
ACH-000900,0.02701865685674457
ACH-000901,-0.0006071519514643907
ACH-000905,-0.02712864482262526
ACH-000906,0.0079109337509851
ACH-000907,-0.016739583106135797
ACH-000910,0.0063978840069594
ACH-000911,-0.00796415217306817
ACH-000912,-0.020770361453877204
ACH-000913,0.06069635114761645
ACH-000915,-0.09025174182824017
ACH-000916,-0.010390494602978752
ACH-000917,-0.19234283230999194
ACH-000920,0.17822325407339026
ACH-000921,-0.01057838075270749
ACH-000924,-0.02941301320692546
ACH-000926,-0.15549676005242746
ACH-000928,0.1553440667355719
ACH-000929,0.2132934249192579
ACH-000932,-0.1264715057455714
ACH-000935,0.08798103848568505
ACH-000936,-0.02120632271329629
ACH-000937,-0.01364546435762447
ACH-000938,-0.11124605916110206
ACH-000939,0.019048639345794958
ACH-000941,-0.11198335529167916
ACH-000943,0.011718256098280257
ACH-000946,0.06251237444174669
ACH-000947,0.03405312856905041
ACH-000948,0.15488107080247518
ACH-000950,0.07140813585415354
ACH-000953,-0.12303178603021958
ACH-000954,-0.22088064413187464
ACH-000957,-0.004538781451551494
ACH-000958,-0.13132437090475904
ACH-000960,-0.06326642905593892
ACH-000963,-0.04478867474423783
ACH-000968,0.002229343159513143
ACH-000969,-0.005916071572175581
ACH-000972,-0.06944306637917624
ACH-000973,-0.13374229234553794
ACH-000974,0.05502182905047443
ACH-000978,-0.09786448569404292
ACH-000984,0.10347387525281716
ACH-000986,0.15640234131070568
ACH-000988,-0.12916935882472605
ACH-000993,0.16027159785232342
ACH-000994,-0.05584525728438575
ACH-000996,0.0846730278722114
ACH-001001,0.008608787939089153
ACH-001020,0.04457176325256858
ACH-001028,-0.05998807261668539
ACH-001031,-0.06940580731324801
ACH-001038,-0.019087070999048945
ACH-001048,0.009134634336347341
ACH-001050,0.008291578922321163
ACH-001053,0.00099950616521196
ACH-001054,0.007873466012481735
ACH-001061,-0.03783478354611392
ACH-001067,-0.15827754265700178
ACH-001075,-0.12150918051663867
ACH-001096,-0.10218207992187173
ACH-001111,0.049374871519189824
ACH-001119,-0.07299821790540725
ACH-001128,-0.1674580113918814
ACH-001134,-0.0036032701215236436
ACH-001151,-0.06714178411751717
ACH-001163,-0.00992641996224978
ACH-001164,0.04001494052045286
ACH-001183,-0.02738964149569774
ACH-001192,-0.12214453223995472
ACH-001193,-0.03699882176382525
ACH-001196,-0.2063455220891844
ACH-001197,-0.043734175874661496
ACH-001205,0.0815199899678553
ACH-001211,0.030129197493513494
ACH-001212,-0.04915864381658706
ACH-001228,-0.12419314412754046
ACH-001232,-0.07836343570537779
ACH-001239,0.046276933866102335
ACH-001270,0.0006264118601206982
ACH-001274,0.047021086078229406
ACH-001275,0.11247599728009844
ACH-001277,-0.3179887001025353
ACH-001278,0.027191763996535525
ACH-001280,0.03436549354146855
ACH-001283,-0.08064231427094913
ACH-001289,0.031793241049820994
ACH-001300,0.029553960295059342
ACH-001301,-0.01994514620737188
ACH-001302,-0.03957674925718226
ACH-001306,-0.015410935904407131
ACH-001318,-0.07107367734037245
ACH-001322,-0.11886234730196138
ACH-001328,-0.2079300870372353
ACH-001332,-0.2170255500035604
ACH-001336,-0.026990228629279564
ACH-001346,-0.11351234656393072
ACH-001353,-0.0604681966309406
ACH-001354,0.08998689826589941
ACH-001367,-0.09848714146042396
ACH-001368,-0.1105821031714076
ACH-001374,-0.16931748348386932
ACH-001377,-0.0072199097080528265
ACH-001380,-0.022300256825500957
ACH-001391,-0.15818648902334873
ACH-001408,-0.042382673500438166
ACH-001430,0.06861566039738265
ACH-001431,-0.08760323680107768
ACH-001450,-0.04901696186843778
ACH-001496,-0.12399656111049248
ACH-001500,0.05764875019679198
ACH-001523,0.008154897606347739
ACH-001532,0.08249931111020133
ACH-001550,0.002572816126795558
ACH-001552,0.007964196260248309
ACH-001554,-0.06539980070632542
ACH-001654,-0.012227704987246952
ACH-001735,-0.03741169489449683
ACH-001736,-0.09026211888238213
ACH-001737,-0.28513620674835377
ACH-001740,-0.05796078482481167
ACH-001745,0.04190163317658327
ACH-001765,-0.24939593964640644
