,DepMap_ID
1138,ACH-000005
3311,ACH-000011
3928,ACH-000013
8907,ACH-000026
9811,ACH-000029
15856,ACH-000041
16238,ACH-000043
16843,ACH-000046
17126,ACH-000047
17783,ACH-000050
18047,ACH-000051
27879,ACH-000066
32093,ACH-000086
32349,ACH-000087
34513,ACH-000096
40517,ACH-000119
44450,ACH-000135
45605,ACH-000140
47919,ACH-000148
52710,ACH-000165
57860,ACH-000184
60192,ACH-000193
62294,ACH-000199
62833,ACH-000201
63885,ACH-000204
65224,ACH-000208
65547,ACH-000209
69737,ACH-000221
78522,ACH-000249
80879,ACH-000256
82931,ACH-000262
84302,ACH-000266
85012,ACH-000268
86143,ACH-000271
100968,ACH-000314
101872,ACH-000315
105072,ACH-000324
106432,ACH-000328
107632,ACH-000332
110505,ACH-000340
110506,ACH-000340
129188,ACH-000389
132580,ACH-000397
135418,ACH-000405
138214,ACH-000412
145589,ACH-000430
146065,ACH-000431
159900,ACH-000466
170996,ACH-000492
179518,ACH-000514
186892,ACH-000532
187603,ACH-000534
206276,ACH-000576
207219,ACH-000578
214140,ACH-000592
218490,ACH-000602
221634,ACH-000608
225803,ACH-000617
228662,ACH-000623
237239,ACH-000640
239479,ACH-000645
247349,ACH-000660
249098,ACH-000663
267464,ACH-000697
270838,ACH-000702
274853,ACH-000709
286954,ACH-000732
291705,ACH-000741
293775,ACH-000745
302793,ACH-000760
305181,ACH-000764
309188,ACH-000770
360514,ACH-000791
363344,ACH-000795
365217,ACH-000798
365800,ACH-000799
367800,ACH-000801
383226,ACH-000820
385796,ACH-000823
393520,ACH-000833
394007,ACH-000834
407178,ACH-000851
414833,ACH-000860
420415,ACH-000866
434894,ACH-000879
443147,ACH-000885
447946,ACH-000889
449396,ACH-000890
450619,ACH-000891
455589,ACH-000896
456514,ACH-000897
459112,ACH-000899
466923,ACH-000907
468505,ACH-000908
472990,ACH-000911
476325,ACH-000913
497520,ACH-000924
499632,ACH-000925
499633,ACH-000925
499634,ACH-000925
501392,ACH-000926
515870,ACH-000933
515871,ACH-000933
524034,ACH-000937
524035,ACH-000937
530572,ACH-000939
533383,ACH-000940
542102,ACH-000943
550348,ACH-000946
550349,ACH-000946
561215,ACH-000950
569341,ACH-000953
577926,ACH-000955
577927,ACH-000955
587362,ACH-000958
590893,ACH-000959
637955,ACH-000972
645290,ACH-000974
649213,ACH-000975
660925,ACH-000978
727221,ACH-000989
727222,ACH-000989
727223,ACH-000989
737707,ACH-000990
834491,ACH-000994
834492,ACH-000994
834493,ACH-000994
834494,ACH-000994
844099,ACH-000995
844100,ACH-000995
864665,ACH-000997
864666,ACH-000997
864667,ACH-000997
892891,ACH-000999
892892,ACH-000999
892893,ACH-000999
892894,ACH-000999
892895,ACH-000999
892896,ACH-000999
910956,ACH-001029
911264,ACH-001030
912488,ACH-001034
915756,ACH-001057
917458,ACH-001063
920322,ACH-001068
920852,ACH-001075
935276,ACH-001119
939480,ACH-001127
939481,ACH-001127
942910,ACH-001128
944392,ACH-001134
947326,ACH-001143
953120,ACH-001163
955425,ACH-001189
956200,ACH-001190
957058,ACH-001192
957756,ACH-001196
958137,ACH-001197
962755,ACH-001203
964027,ACH-001205
965385,ACH-001212
965763,ACH-001228
966148,ACH-001232
967977,ACH-001270
970794,ACH-001283
972469,ACH-001303
973608,ACH-001310
974300,ACH-001318
974301,ACH-001318
975202,ACH-001321
976162,ACH-001328
976705,ACH-001329
982312,ACH-001340
983236,ACH-001344
996682,ACH-001367
997260,ACH-001368
1000789,ACH-001373
1002709,ACH-001377
1004192,ACH-001379
1004441,ACH-001380
1004681,ACH-001382
1006408,ACH-001390
1006888,ACH-001391
1008458,ACH-001400
1008995,ACH-001401
1009843,ACH-001402
1009844,ACH-001402
1009845,ACH-001402
1009846,ACH-001402
1016564,ACH-001416
1017895,ACH-001430
1022356,ACH-001460
1024201,ACH-001494
1029850,ACH-001517
1035424,ACH-001523
1038204,ACH-001529
1047199,ACH-001550
1051213,ACH-001551
1051214,ACH-001551
1053663,ACH-001554
1053905,ACH-001555
1055446,ACH-001561
1064150,ACH-001605
1067746,ACH-001610
1072648,ACH-001626
1086560,ACH-001711
1088134,ACH-001735
1091808,ACH-001738
1095022,ACH-001767
1102889,ACH-002059
1102890,ACH-002059
1122845,ACH-002147
1124234,ACH-002151
1131177,ACH-002165
1155011,ACH-002216
1181518,ACH-002256
1181519,ACH-002256
1181520,ACH-002256
1188368,ACH-002263
1192827,ACH-002272
1207498,ACH-002300
1213070,ACH-002309
1218714,ACH-002315
1226471,ACH-002348
1226799,ACH-002349
1228072,ACH-002355
1231942,ACH-002374
1232760,ACH-002379
