,DepMap_ID
4741,ACH-000014
9354,ACH-000027
11842,ACH-000036
122331,ACH-000371
129404,ACH-000389
135572,ACH-000405
158493,ACH-000462
185249,ACH-000527
190297,ACH-000541
195524,ACH-000552
282551,ACH-000724
285197,ACH-000728
287814,ACH-000733
360011,ACH-000790
390854,ACH-000829
432565,ACH-000876
445138,ACH-000886
455903,ACH-000896
462623,ACH-000902
518486,ACH-000934
518487,ACH-000934
544266,ACH-000943
545625,ACH-000944
551738,ACH-000946
557366,ACH-000948
582668,ACH-000956
606092,ACH-000963
647423,ACH-000974
657079,ACH-000977
677447,ACH-000981
694425,ACH-000984
701834,ACH-000985
829048,ACH-000993
859372,ACH-000996
859373,ACH-000996
905802,ACH-000999
918209,ACH-001063
982431,ACH-001340
1010443,ACH-001402
1036966,ACH-001525
1063002,ACH-001591
1070456,ACH-001610
1073136,ACH-001628
1165939,ACH-002232
1176884,ACH-002253
1191229,ACH-002270
1196220,ACH-002275
1203584,ACH-002287
1216303,ACH-002309
1221815,ACH-002338
1241947,ACH-002396
1243077,ACH-002397
