,TMEM95 (339168)
ACH-000004,-0.08567127325163636
ACH-000005,0.08681608034025717
ACH-000007,-0.14388318451908674
ACH-000009,-0.17948050051526587
ACH-000011,-0.02333179961884163
ACH-000012,-0.1641824895560407
ACH-000013,-0.10041619510706587
ACH-000014,0.029095365902316213
ACH-000015,-0.19004041486932
ACH-000017,-0.05630497440251694
ACH-000018,-0.0627300948709892
ACH-000019,-0.008472152046781008
ACH-000021,0.002157974749702358
ACH-000022,-0.04291882578760792
ACH-000025,-0.07627818338669749
ACH-000028,-0.11639652075487147
ACH-000030,-0.022933981416477175
ACH-000035,-0.054465864512142116
ACH-000036,-0.02713335295834061
ACH-000037,-0.033862555466987895
ACH-000039,-0.09197765291970424
ACH-000040,-0.1608532439340628
ACH-000041,-0.1670403576731006
ACH-000042,-0.08775827716622295
ACH-000045,-0.050348285110469716
ACH-000047,-0.03198684449858352
ACH-000052,-0.08149725124006704
ACH-000053,-0.08367171012546103
ACH-000054,0.006811270526171683
ACH-000055,0.051783302754184565
ACH-000060,-0.139630791216287
ACH-000067,0.055624524848796264
ACH-000070,-0.17652234982804887
ACH-000075,-0.08136607619687904
ACH-000078,-0.013560496961471479
ACH-000082,-0.13400852449013315
ACH-000085,0.18714817011359428
ACH-000086,-0.06921961487702287
ACH-000087,0.17937280562648364
ACH-000092,0.012287911171927679
ACH-000095,-0.0782654774787842
ACH-000097,-0.0836724002043958
ACH-000098,-0.17401905973507578
ACH-000099,-0.15491988405714285
ACH-000108,-0.03370853205042301
ACH-000113,-0.08541615241439103
ACH-000116,-0.08848826251545676
ACH-000118,-0.04202017312248549
ACH-000120,-0.0650374321788094
ACH-000123,-0.09533641140720747
ACH-000127,-0.06207346043744301
ACH-000128,-0.08530838988333797
ACH-000132,-0.13222153486230964
ACH-000133,-0.1657185138510084
ACH-000137,-0.037511263303034656
ACH-000138,-0.1633229234015854
ACH-000142,-0.1381888045682826
ACH-000143,0.07381573789446236
ACH-000146,-0.09875062083158764
ACH-000148,-0.0476162072803986
ACH-000150,-0.2611127888548319
ACH-000152,-0.0892302639384064
ACH-000153,-0.2334938695918256
ACH-000159,-0.20431236763067104
ACH-000160,-0.004964771292924524
ACH-000163,-0.08462702738922745
ACH-000167,-0.4522607502120581
ACH-000168,-0.19057173435383815
ACH-000169,0.05458984465819587
ACH-000178,-0.04592625098034128
ACH-000183,0.10642859970678327
ACH-000188,-0.09643591517072103
ACH-000189,-0.1406769691255271
ACH-000190,-0.10706291274290408
ACH-000198,0.02237349594612182
ACH-000203,0.08007769534095176
ACH-000204,-0.06396747444965817
ACH-000206,-0.08936750163456122
ACH-000207,-0.14346936587685566
ACH-000208,0.09279292989751628
ACH-000210,-0.2895363122567794
ACH-000211,-0.11305829240816208
ACH-000215,-0.06196757390914425
ACH-000221,0.07588231445373693
ACH-000222,-0.0049766195592874036
ACH-000223,-0.1370655997667717
ACH-000226,0.08213795788148684
ACH-000227,-0.056162478675511184
ACH-000228,0.05545134375554067
ACH-000231,-0.1388502689036316
ACH-000232,0.0567246146113871
ACH-000233,0.02682214441764072
ACH-000234,-0.04935954636621037
ACH-000235,-0.049222401322425294
ACH-000237,-0.04544036985501058
ACH-000238,-0.19586281306480133
ACH-000242,-0.20740298712163954
ACH-000243,-0.08793430557090283
ACH-000244,-0.1947293674641224
ACH-000246,-0.061457396160872764
ACH-000248,0.17073797508338442
