,TOMM20 (9804)
ACH-000004,-0.6434708203896866
ACH-000005,-0.7901476727536446
ACH-000007,-0.5183065085435923
ACH-000009,-0.8014477873259154
ACH-000011,-0.7826387188940137
ACH-000012,-0.8162679757685465
ACH-000013,-0.8836483924054069
ACH-000014,-0.7829320767190524
ACH-000015,-0.8446355134680514
ACH-000017,-0.8062081429482799
ACH-000018,-0.9060963955987824
ACH-000019,-0.7586589709208218
ACH-000021,-0.8409766356124291
ACH-000022,-0.8841646813505185
ACH-000025,-0.9569880773883822
ACH-000028,-0.7388056477254595
ACH-000030,-0.7921758751022273
ACH-000035,-0.8681111336008953
ACH-000036,-0.8376277785318942
ACH-000037,-0.5059581321520479
ACH-000039,-1.0070285045161782
ACH-000040,-0.8007786950979772
ACH-000041,-0.9032215078903979
ACH-000042,-0.5772089510620723
ACH-000045,-0.8670879525539018
ACH-000047,-0.7101325814834009
ACH-000052,-0.6583449179377197
ACH-000053,-0.7814647757698832
ACH-000054,-0.6588663995907071
ACH-000055,-0.7136917327369646
ACH-000060,-0.9059056861339616
ACH-000067,-0.7668712893123472
ACH-000070,-0.5438820529649451
ACH-000075,-0.7511051869784828
ACH-000078,-0.5007184022493644
ACH-000082,-0.6821615817954655
ACH-000085,-0.6582793243186954
ACH-000086,-0.9215943212038094
ACH-000087,-0.6940080432400202
ACH-000092,-0.7826261920620864
ACH-000095,-0.5119261476459628
ACH-000097,-0.5126766023256932
ACH-000098,-0.9183292535682194
ACH-000099,-0.7159525916073127
ACH-000108,-0.5959366034992856
ACH-000113,-0.6760768977117653
ACH-000116,-0.6030995542629467
ACH-000118,-0.8179322590471854
ACH-000120,-0.6364876947185278
ACH-000123,-0.7326571796764
ACH-000127,-0.8052513703468398
ACH-000128,-0.5202980623550255
ACH-000132,-0.9638423451726909
ACH-000133,-0.9539233370370898
ACH-000137,-0.7641077239898113
ACH-000138,-0.9380268943140732
ACH-000142,-0.807429219498343
ACH-000143,-0.9463174921540976
ACH-000146,-0.8997634137357975
ACH-000148,-0.7686653596012626
ACH-000150,-0.7844145676734419
ACH-000152,-0.6817498976770496
ACH-000153,-0.6552021654274636
ACH-000159,-0.4742556657986696
ACH-000160,-0.7673069439235042
ACH-000163,-0.9596835246761568
ACH-000167,-0.7255320856480638
ACH-000168,-0.7724668136361651
ACH-000169,-0.6974813636532673
ACH-000178,-0.7354959378011434
ACH-000183,-0.8742036793266655
ACH-000188,-0.7999003496567159
ACH-000189,-0.7731699310302167
ACH-000190,-1.057482676666135
ACH-000198,-0.7524013558044201
ACH-000203,-0.32140801460884616
ACH-000204,-1.1971252651769653
ACH-000206,-0.7518365684086992
ACH-000207,-0.8359788042234688
ACH-000208,-0.9347770521556306
ACH-000210,-0.8543399870629078
ACH-000211,-0.6068006897814596
ACH-000215,-0.7429160682630676
ACH-000221,-0.8701280024961958
ACH-000222,-0.7550056257085968
ACH-000223,-0.7851062195274188
ACH-000226,-0.7077819598036554
ACH-000227,-0.75866786879558
ACH-000228,-0.8282645955300283
ACH-000231,-0.890274192831091
ACH-000232,-0.8817351869804733
ACH-000233,-0.4834630288822104
ACH-000234,-0.7248894575140115
ACH-000235,-0.6702610569912657
ACH-000237,-0.8154299718276585
ACH-000238,-0.7189265629331433
ACH-000242,-0.7473427614706236
ACH-000243,-0.7480280289155861
ACH-000244,-0.9999211965657692
ACH-000246,-0.5659117156728765
ACH-000248,-0.7585257711348531
ACH-000250,-0.6750819751550133
ACH-000251,-0.9449629456981636
ACH-000252,-0.818112852029103
ACH-000253,-0.6948948954421474
ACH-000255,-0.8287402230809457
ACH-000256,-0.6669397308396123
ACH-000257,-0.798323775022292
ACH-000258,-1.0503852842073158
ACH-000259,-0.5727493604068954
ACH-000260,-0.7955733091520014
ACH-000261,-0.8702819784828009
ACH-000262,-0.5865436466609775
