,TRMT1 (55621)
ACH-000004,-0.21170393488198988
ACH-000005,-0.197501869680974
ACH-000007,0.017513199141824046
ACH-000009,-0.09550891258414246
ACH-000011,-0.12647393971878518
ACH-000012,-0.009326620193894495
ACH-000013,-0.242855526237064
ACH-000014,-0.42355195335729373
ACH-000015,-0.3403845965535996
ACH-000017,-0.24467916636536516
ACH-000018,-0.38353821213624173
ACH-000019,-0.4460546264566583
ACH-000021,-0.30920020516870445
ACH-000022,-0.1517354593094301
ACH-000025,-0.2055066709404576
ACH-000028,-0.20522848568879906
ACH-000030,-0.3141413980579297
ACH-000035,-0.2927316428419896
ACH-000036,-0.24631079911010084
ACH-000037,-0.11638123950116334
ACH-000039,-0.09483741783062508
ACH-000040,-0.2491642733045241
ACH-000041,-0.1973155095018503
ACH-000042,-0.2627584153308184
ACH-000045,-0.32042626951206504
ACH-000047,-0.2777271053490033
ACH-000052,-0.26088370596279564
ACH-000053,-0.09343570575254974
ACH-000054,-0.19266195755960253
ACH-000055,-0.2005699968341869
ACH-000060,-0.1344721168366014
ACH-000067,-0.28691589925706545
ACH-000070,-0.3693272878461838
ACH-000075,-0.3432599377529067
ACH-000078,-0.09180874541819804
ACH-000082,-0.23553601634217144
ACH-000085,-0.2886586377332677
ACH-000086,-0.27690269700711656
ACH-000087,-0.4273753088745713
ACH-000092,-0.21807140082474225
ACH-000095,-0.2716731134067677
ACH-000097,-0.12459848597214665
ACH-000098,-0.44182245211411264
ACH-000099,-0.1251012340714281
ACH-000108,-0.3607202809427606
ACH-000113,-0.29156838151193315
ACH-000116,-0.4042089200484095
ACH-000118,-0.2681850693685292
ACH-000120,-0.17290709372197896
ACH-000123,-0.2875865873907698
ACH-000127,-0.3927149191542281
ACH-000128,-0.19106735888368065
ACH-000132,-0.2292456374481723
ACH-000133,-0.36007325714210725
ACH-000137,-0.18147436106720344
ACH-000138,-0.257464303007214
ACH-000142,-0.3670448790636913
ACH-000143,-0.10075528467770152
ACH-000146,-0.14365602555093096
ACH-000148,-0.2222157848949116
ACH-000150,-0.29833983206041154
ACH-000152,-0.09375656247236357
ACH-000153,-0.07909586577304398
ACH-000159,-0.3448897629893989
ACH-000160,-0.16738594245019467
ACH-000163,-0.4550069029709583
ACH-000167,-0.1762490356591187
ACH-000168,-0.3174448481004992
ACH-000169,-0.20158935619519586
ACH-000178,-0.3585231917724845
ACH-000183,-0.4337039752739447
ACH-000188,-0.3840660924616975
ACH-000189,-0.07627213324018141
ACH-000190,-0.16084778204264705
ACH-000198,-0.1781130273056418
ACH-000203,-0.1480839697163079
ACH-000204,-0.2642478484047353
ACH-000206,-0.10459149034872348
ACH-000207,-0.1169843516409092
ACH-000208,-0.27929614011843074
ACH-000210,-0.026610453521258837
ACH-000211,-0.3648329811206584
ACH-000215,-0.20731788501467946
ACH-000221,-0.20781769749333026
ACH-000222,-0.36314522594205256
ACH-000223,-0.2405259278413444
ACH-000226,-0.10586433485970848
ACH-000227,-0.18143941055992946
ACH-000228,-0.6140183134298927
ACH-000231,-0.12054132960785155
ACH-000232,-0.3435017339463206
ACH-000233,-0.35380848689091443
ACH-000234,-0.4188406017881184
ACH-000235,-0.22346545720172573
ACH-000237,-0.1981105353969128
ACH-000238,-0.0364414897075272
ACH-000242,-0.08392593046632024
ACH-000243,-0.3279486484101269
ACH-000244,-0.3826539266623144
ACH-000246,-0.17088617247579624
ACH-000248,-0.26245056947010353
ACH-000250,-0.26623443953919945
ACH-000251,-0.3201372643635466
ACH-000252,-0.18899461610627835
ACH-000253,-0.29542324797064395
ACH-000255,-0.11965117612172795
ACH-000256,-0.15776347395722962
ACH-000257,-0.18378722546797505
ACH-000258,-0.2414023738374205
ACH-000259,-0.2996268127328419
ACH-000260,-0.12454446064167185
ACH-000261,-0.21892656260956128
ACH-000262,-0.2750270991230112
ACH-000263,-0.20425516226579776
ACH-000264,-0.14354931390786665
ACH-000265,-0.1525027274761382
ACH-000266,-0.288660134049878
ACH-000272,-0.21333595669010552
ACH-000274,-0.18645899176670985
ACH-000277,-0.3859375684282721
ACH-000278,-0.2726996365841911
ACH-000279,-0.14193925068688207
ACH-000280,-0.20419991499026324
ACH-000281,-0.2324290899235481
ACH-000288,-0.15034233553966966
ACH-000291,-0.3715071244988426
ACH-000293,-0.251031453261443
ACH-000294,-0.26186782416047005
ACH-000295,-0.3286832831782356
ACH-000296,-0.2284833537529773
ACH-000302,-0.3584532340879146
ACH-000304,-0.10091470465811588
ACH-000307,-0.3769189273631707
ACH-000308,-0.1594447343787966
ACH-000310,-0.1618975351547976
ACH-000311,-0.20096360154579904
ACH-000312,-0.2558977515630552
ACH-000315,-0.15661274745611786
ACH-000316,-0.2267131024216084
ACH-000317,-0.3105069100000104
ACH-000318,-0.4643900176392242
ACH-000319,-0.1985013813482072
ACH-000320,-0.12911051631920015
ACH-000322,-0.029859845924975308
ACH-000323,-0.12824169367884994
ACH-000324,-0.2969182202338622
ACH-000329,-0.2307601265304646
ACH-000330,-0.1222721870117746
ACH-000331,-0.21397434602432155
ACH-000332,-0.1900373160745096
ACH-000334,-0.3069223395501882
ACH-000335,-0.2430356743590285
ACH-000336,-0.2155244005046407
ACH-000337,-0.3054651044773948
ACH-000338,-0.312273728825076
ACH-000339,-0.11930283839092805
ACH-000341,-0.40901446320118456
ACH-000348,-0.3598921308908675
ACH-000350,-0.3118866262094124
ACH-000352,-0.24061046937722466
ACH-000356,-0.3305905070279851
ACH-000361,-0.38224237865576977
ACH-000362,-0.2329500135864693
ACH-000363,-0.30384507708548725
ACH-000364,-0.3715484206360605
ACH-000365,-0.10259970003753878
ACH-000366,-0.2374389964121493
ACH-000368,-0.27903542774884205
ACH-000374,-0.4172988024238367
ACH-000375,-0.2469029123497613
ACH-000376,-0.03871541313259877
ACH-000381,-0.2554832064529303
ACH-000383,-0.2144288956123304
ACH-000387,-0.2868955339151204
ACH-000389,-0.10679811496775736
ACH-000390,-0.2427219197158096
ACH-000393,-0.2209962713668168
ACH-000395,-0.2509928945800428
ACH-000396,-0.2357917753970032
ACH-000397,-0.18166903774178653
ACH-000401,-0.4213753029290303
ACH-000402,-0.3620334432860151
ACH-000403,-0.13558811938537466
ACH-000404,-0.2975042727166526
ACH-000406,-0.20737082098149046
ACH-000407,-0.3075443724724249
ACH-000408,-0.2339970080471221
ACH-000410,-0.2451253353307901
ACH-000411,-0.2547960248647189
ACH-000414,-0.31960898103899416
ACH-000415,-0.29847874169648664
ACH-000416,-0.2885970570055579
ACH-000420,-0.15472054167615487
ACH-000421,-0.34867984112529515
ACH-000424,-0.2159480704273717
ACH-000425,-0.2340416292057769
ACH-000426,-0.30457674767107895
ACH-000427,-0.15418948738936702
ACH-000433,-0.2946986493623205
ACH-000435,-0.31987730405919124
ACH-000436,-0.027516633616984358
ACH-000444,-0.2107895775763074
ACH-000445,-0.2631604832057871
ACH-000448,-0.3676228282398081
ACH-000450,-0.28470470129850345
ACH-000452,-0.25271068865039703
ACH-000454,-0.4732176453507434
ACH-000458,-0.33052027576422416
ACH-000459,-0.09741629474872704
ACH-000460,-0.3579082189899485
ACH-000461,-0.17688301108797766
ACH-000463,-0.11030534403292963
ACH-000464,-0.24103883722213304
ACH-000466,-0.2746709701392655
ACH-000467,-0.12940405936958302
ACH-000468,-0.19957512111385814
ACH-000469,-0.24885790803573105
ACH-000470,-0.2322236544062844
ACH-000471,-0.2404168733273785
ACH-000472,-0.26433585055266384
ACH-000473,-0.3456065629461646
ACH-000475,-0.2184874557660985
ACH-000476,-0.25079450547375665
ACH-000477,-0.2614918988017782
ACH-000479,-0.2787749025310806
ACH-000480,-0.2476090292360095
ACH-000481,-0.054085172946729904
ACH-000483,-0.3468323779957088
ACH-000484,-0.1312311731424273
ACH-000485,-0.16941066087891912
ACH-000486,-0.07078090973975885
ACH-000487,-0.34073729956250953
ACH-000488,-0.31220454867024805
ACH-000490,-0.5415862735652915
ACH-000491,-0.3071312814464112
ACH-000495,-0.3381382528830241
ACH-000496,-0.12547879457453914
ACH-000499,-0.2281549957759947
ACH-000500,-0.04182658495478652
ACH-000502,-0.191825058421469
ACH-000503,-0.4175312232992042
ACH-000505,-0.2820472221289219
ACH-000507,-0.1640675314348129
ACH-000510,-0.2154985037499811
ACH-000511,-0.061329162004025876
ACH-000512,-0.5438356587400606
ACH-000516,-0.3243769789528446
ACH-000517,-0.2817789471676374
ACH-000518,-0.18144620163229228
ACH-000520,-0.2360069298115405
ACH-000521,-0.2306795885242919
ACH-000522,-0.3884030705347416
ACH-000524,-0.23333141495411666
ACH-000527,-0.30893233305539536
ACH-000528,-0.26094793802964783
ACH-000537,-0.2711259427837793
ACH-000541,-0.2411749268195011
ACH-000542,-0.1384983633785137
ACH-000544,-0.22152394775197745
ACH-000545,-0.4534120548650935
ACH-000547,-0.34610334654325703
ACH-000548,-0.1552062352307786
ACH-000549,-0.25258500595007555
ACH-000550,-0.1202938666594712
ACH-000552,-0.09383908223640752
ACH-000556,-0.2504561542240049
ACH-000557,-0.17363130886933234
ACH-000569,0.04979934285585449
ACH-000570,-0.2226857916804873
ACH-000571,-0.2885500362022377
ACH-000573,-0.2552506725427946
ACH-000576,-0.16688598039275035
ACH-000579,-0.11924035826068966
ACH-000580,-0.31575129189982426
