,DepMap_ID
16453,ACH-000044
25255,ACH-000065
25256,ACH-000065
45925,ACH-000141
107425,ACH-000331
126740,ACH-000382
140436,ACH-000417
155125,ACH-000453
161791,ACH-000470
175774,ACH-000506
223629,ACH-000612
236160,ACH-000638
245867,ACH-000657
246889,ACH-000659
263962,ACH-000691
278053,ACH-000716
319907,ACH-000784
344921,ACH-000786
344922,ACH-000786
344923,ACH-000786
344924,ACH-000786
344925,ACH-000786
344926,ACH-000786
344927,ACH-000786
344928,ACH-000786
344929,ACH-000786
344930,ACH-000786
344931,ACH-000786
344932,ACH-000786
344933,ACH-000786
344934,ACH-000786
380385,ACH-000816
384270,ACH-000821
401940,ACH-000844
445465,ACH-000887
450780,ACH-000891
454797,ACH-000895
503174,ACH-000927
510718,ACH-000930
510719,ACH-000930
514204,ACH-000932
514205,ACH-000932
528638,ACH-000938
537107,ACH-000941
537108,ACH-000941
543123,ACH-000943
556591,ACH-000948
561963,ACH-000950
570105,ACH-000953
588295,ACH-000958
619282,ACH-000967
707102,ACH-000986
729045,ACH-000989
740970,ACH-000990
751209,ACH-000991
751210,ACH-000991
800597,ACH-000992
800598,ACH-000992
800599,ACH-000992
800600,ACH-000992
837099,ACH-000994
837100,ACH-000994
837101,ACH-000994
855940,ACH-000996
867264,ACH-000997
877563,ACH-000998
877564,ACH-000998
899256,ACH-000999
899257,ACH-000999
899258,ACH-000999
899259,ACH-000999
952797,ACH-001162
960651,ACH-001199
979667,ACH-001333
1005868,ACH-001386
1022764,ACH-001461
1027121,ACH-001500
1048707,ACH-001550
1048708,ACH-001550
1055803,ACH-001562
1057952,ACH-001566
1069165,ACH-001610
1081485,ACH-001654
1087063,ACH-001715
1090520,ACH-001737
1130892,ACH-002164
1133650,ACH-002166
1144460,ACH-002186
1160794,ACH-002222
1183368,ACH-002256
