,DepMap_ID
2367,ACH-000008
4528,ACH-000014
31213,ACH-000081
57266,ACH-000182
130732,ACH-000393
194256,ACH-000550
242068,ACH-000650
293133,ACH-000744
294396,ACH-000746
367918,ACH-000801
410930,ACH-000855
470431,ACH-000909
480413,ACH-000915
490651,ACH-000920
493304,ACH-000921
556241,ACH-000948
600868,ACH-000962
630181,ACH-000970
638575,ACH-000972
645882,ACH-000974
661913,ACH-000978
681871,ACH-000982
721123,ACH-000988
866120,ACH-000997
876506,ACH-000998
930398,ACH-001089
953160,ACH-001163
956381,ACH-001190
987268,ACH-001345
1043219,ACH-001546
1053713,ACH-001554
1078994,ACH-001650
1165211,ACH-002232
1166191,ACH-002233
1170211,ACH-002238
