,DepMap_ID
84869,ACH-000268
86641,ACH-000274
130951,ACH-000394
136304,ACH-000408
149655,ACH-000441
154791,ACH-000453
174439,ACH-000503
231932,ACH-000631
239616,ACH-000646
244014,ACH-000654
248905,ACH-000663
288896,ACH-000736
297121,ACH-000751
312473,ACH-000776
323515,ACH-000786
323516,ACH-000786
323517,ACH-000786
381425,ACH-000818
383798,ACH-000821
418953,ACH-000865
429073,ACH-000874
433187,ACH-000878
455356,ACH-000896
488834,ACH-000920
532090,ACH-000940
560009,ACH-000950
560010,ACH-000950
560011,ACH-000950
576479,ACH-000955
582989,ACH-000957
585961,ACH-000958
623585,ACH-000969
628131,ACH-000970
632045,ACH-000971
636242,ACH-000972
643508,ACH-000974
647918,ACH-000975
657860,ACH-000978
672669,ACH-000981
672670,ACH-000981
678388,ACH-000982
717403,ACH-000988
759201,ACH-000992
759202,ACH-000992
759203,ACH-000992
759204,ACH-000992
759205,ACH-000992
759206,ACH-000992
759207,ACH-000992
759208,ACH-000992
830270,ACH-000994
870979,ACH-000998
882606,ACH-000999
912129,ACH-001033
952993,ACH-001163
983922,ACH-001345
997634,ACH-001369
997635,ACH-001369
1044825,ACH-001550
1065586,ACH-001610
1073611,ACH-001638
1076613,ACH-001650
1102152,ACH-002059
1122432,ACH-002147
1166334,ACH-002234
1168085,ACH-002238
1178066,ACH-002256
1187434,ACH-002261
