,DepMap_ID
19775,ACH-000058
44468,ACH-000135
53815,ACH-000169
55826,ACH-000177
59351,ACH-000190
113415,ACH-000348
118410,ACH-000360
122975,ACH-000373
160898,ACH-000468
162174,ACH-000471
163574,ACH-000475
212243,ACH-000588
232175,ACH-000631
265878,ACH-000694
276920,ACH-000714
281354,ACH-000722
284055,ACH-000727
285507,ACH-000729
313804,ACH-000777
379392,ACH-000815
473061,ACH-000911
476436,ACH-000913
490445,ACH-000920
493150,ACH-000921
513723,ACH-000932
533566,ACH-000940
542353,ACH-000943
547505,ACH-000945
547506,ACH-000945
553303,ACH-000947
600628,ACH-000962
705737,ACH-000986
738551,ACH-000990
749558,ACH-000991
749559,ACH-000991
749560,ACH-000991
749561,ACH-000991
853966,ACH-000996
853967,ACH-000996
894694,ACH-000999
894695,ACH-000999
949542,ACH-001145
953141,ACH-001163
969993,ACH-001278
986793,ACH-001345
1014419,ACH-001413
1085867,ACH-001709
1095480,ACH-001790
1097320,ACH-001861
1112991,ACH-002108
1112992,ACH-002108
1122212,ACH-002146
1163485,ACH-002229
1185635,ACH-002257
1217529,ACH-002312
