,ZNF44 (51710)
ACH-000004,0.2318131906945156
ACH-000005,0.005333756802014058
ACH-000007,0.32630555664434024
ACH-000009,0.2448514343307784
ACH-000011,0.24688096007801155
ACH-000012,0.22444004637132334
ACH-000013,0.0993972041465304
ACH-000014,0.11229399198881636
ACH-000015,0.14553547144231305
ACH-000017,0.14239179859609874
ACH-000018,0.0675663158277559
ACH-000019,0.14438942709386746
ACH-000021,0.1772923496446262
ACH-000022,0.1661247352340062
ACH-000025,0.22594133188694926
ACH-000028,0.22096388361433447
ACH-000030,0.19896727429205996
ACH-000035,0.05113738582144898
ACH-000036,0.2880445453703158
ACH-000037,0.15418101011662988
ACH-000039,0.20217313174671453
ACH-000040,0.082801871042968
ACH-000041,0.10604008434946416
ACH-000042,0.21882776599805315
ACH-000045,0.13344674323077224
ACH-000047,0.21509795062815612
ACH-000052,0.10779741202548164
ACH-000053,0.1847012982196304
ACH-000054,0.15280679131860395
ACH-000055,0.20282013296399629
ACH-000060,0.2012415773124797
ACH-000067,0.21080164791889136
ACH-000070,0.2196803216998094
ACH-000075,0.1102519214071768
ACH-000078,0.09128438894076993
ACH-000082,0.10891346232827284
ACH-000085,0.04111053976959664
ACH-000086,0.1444896674820907
ACH-000087,0.1250830256597682
ACH-000092,0.16020910159028687
ACH-000095,0.18758389621199786
ACH-000097,0.10171444290978338
ACH-000098,0.04512027203440279
ACH-000099,0.2245575078237554
ACH-000108,0.1874949322121276
ACH-000113,0.1597040663720215
ACH-000116,0.09771551907821993
ACH-000118,0.20873924287434575
ACH-000120,0.17634412093387553
ACH-000123,0.13093737988711848
ACH-000127,0.14527522998623354
ACH-000128,0.08611265462954992
ACH-000132,0.2550778179329537
ACH-000133,0.1638218684410036
ACH-000137,0.08309015556346695
ACH-000138,0.2003165242867828
ACH-000142,0.14273157504748502
ACH-000143,0.19878996870835094
ACH-000146,0.14160345563276885
ACH-000148,0.2002355351099588
ACH-000150,0.1606764725775769
ACH-000152,0.15383539417459008
ACH-000153,0.13914672002844436
ACH-000159,0.16004566809157972
ACH-000160,0.16071221965107835
ACH-000163,0.1387944000133544
ACH-000167,0.016397946730074008
ACH-000168,0.16800132450909594
ACH-000169,0.21357010578841584
ACH-000178,0.17143759095757335
ACH-000183,0.2373892168399876
ACH-000188,0.06433279464020507
ACH-000189,0.26892658507290224
ACH-000190,0.1959178223644069
ACH-000198,0.17451140206104848
ACH-000203,0.9999979703017264
ACH-000204,0.0711264297246732
ACH-000206,0.0927039874893972
ACH-000207,0.1863954992653183
ACH-000208,0.1530972128470082
ACH-000210,0.4457716009917915
ACH-000211,0.17381096852889602
ACH-000215,0.20707752413774366
ACH-000221,0.14530342248037142
ACH-000222,0.018038552690911938
ACH-000223,0.22653009813588226
ACH-000226,0.1991530202774684
ACH-000227,0.15019934043060362
ACH-000228,0.13341539821605602
ACH-000231,0.17239464227435974
