,DepMap_ID
106050,ACH-000327
112106,ACH-000345
129948,ACH-000391
131175,ACH-000394
138896,ACH-000414
149820,ACH-000441
180229,ACH-000515
267524,ACH-000697
276917,ACH-000714
366825,ACH-000800
385893,ACH-000823
436248,ACH-000880
446485,ACH-000888
452519,ACH-000893
461612,ACH-000901
464248,ACH-000904
480277,ACH-000915
493142,ACH-000921
493143,ACH-000921
493144,ACH-000921
507415,ACH-000929
510092,ACH-000930
542344,ACH-000943
542345,ACH-000943
573716,ACH-000954
591072,ACH-000959
597224,ACH-000961
654621,ACH-000977
670969,ACH-000980
675173,ACH-000981
705713,ACH-000986
705714,ACH-000986
713366,ACH-000987
727765,ACH-000989
749529,ACH-000991
825205,ACH-000993
825206,ACH-000993
853931,ACH-000996
853932,ACH-000996
918790,ACH-001064
925290,ACH-001081
925291,ACH-001081
958181,ACH-001197
962889,ACH-001203
974383,ACH-001318
979180,ACH-001333
979181,ACH-001333
981177,ACH-001336
981178,ACH-001336
986774,ACH-001345
993491,ACH-001362
999153,ACH-001369
1015849,ACH-001415
1030199,ACH-001517
1039100,ACH-001530
1052538,ACH-001552
1052539,ACH-001552
1052540,ACH-001552
1138396,ACH-002175
1191130,ACH-002270
1217934,ACH-002313
1221927,ACH-002339
1229779,ACH-002363
1236676,ACH-002391
